infoStartAddr:	0x4540
numEntries:	0xB8	184
title:	ACTIONBUTTON_PARAM_ST
paramStartAddr:	0x00001180
entryID   	paramAddr 	infoAddr  	regionType	padding1[3]	dummyPoly1	dummyPoly2	radius	angle	depth	width	height	baseHeightOffset	angleCheckType	padding2[3]	allowAngle	textBoxType	padding3[3]	textId	invalidFlag	grayoutFlag	priority	execInvalidTime	execButtonCircle	padding4[3]
0x00001772	0x00001648	0x000046B8	0		-1	-1	4.000000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 5e83 7bc4 56f2 ff09
0x00001773	0x00001690	0x000046CE	0		-1	-1	1.500000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b 0028 4eba 5f62 306e 30d2 30ed 30a4 30f3 0029
0x00001774	0x000016D8	0x000046EC	0		-1	-1	2.400000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	4	0	1		 8abf 3079 308b 0028 4eba 5f62 306e 30d2 30ed 30a4 30f3 4eba 5f62 72b6 614b 0029
0x00001775	0x00001720	0x0000470E	0		-1	-1	10.000000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010210	-1	-1	4	0	1		 8dea 304f ff08 7a62 308c 305f 8840 65cf 306e 5973 738b ff09
0x00001776	0x00001768	0x00004728	0		-1	-1	10.000000	12	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 9580 756a 005f 6249 3092 958b 3051 308b 524d ff09
0x00001777	0x000017B0	0x0000474A	0		-1	-1	1.700000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 30af 30e2 7537 30d1 30c3 30c1 005f 6249 5f35 308a 4ed8 304d 72b6 614b ff09
0x00001778	0x000017F8	0x00004776	0		-1	-1	2.400000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b 0028 5b66 9577 0029
0x00001779	0x00001840	0x0000478A	0		-1	-1	1.900000	120	0.000000	0.000000	3.000000	-2.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 30cb 30bb 5973 533b ff09
0x0000177A	0x00001888	0x000047A2	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70000000	-1	-1	4	0	1		 5009 5eab
0x0000177B	0x000018D0	0x000047A8	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70000001	-1	-1	4	0	1		 935b 51b6 53f0
0x0000177C	0x00001918	0x000047B0	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70000008	-1	-1	4	0	1		 30dc 30c7 30a3 30b8 30a7 30e0
0x0000177D	0x00001960	0x000047BE	0		-1	-1	1.800000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		70000003	-1	-1	4	0	1		 9053 5177 8cfc 5165
0x0000177E	0x000019A8	0x000047C8	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70000004	-1	-1	4	0	1		 53f3 624b 6b66 5668 9078 629e
0x0000177F	0x000019F0	0x000047D6	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70000005	-1	-1	4	0	1		 5de6 624b 6b66 5668 9078 629e
0x00001780	0x00001A38	0x000047E4	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70000006	-1	-1	4	0	1		 30ad 30e3 30e9 30e1 30a4 30af 7de8 96c6
0x00001781	0x00001A80	0x000047F6	0		-1	-1	2.600000	180	0.000000	0.000000	3.000000	-2.000000	0		90	0		70000007	-1	-1	4	0	1		 30e1 30c3 30bb 30f3 30b8 30e3 30fc 7740 305b 66ff 3048
0x00001782	0x00001AC8	0x0000480E	0		-1	-1	1.800000	180	0.000000	0.000000	3.000000	-2.000000	0		90	0		15000150	-1	-1	4	0	1		 0053 0041 004e 5024 53d6 5f15
0x00001783	0x00001B10	0x0000481C	0		-1	-1	1.500000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	4	0	1		 8abf 3079 308b 0028 4eba 5f62 306e 30d2 30ed 30a4 30f3 6b7b 4ea1 72b6 614b 0029
0x00001784	0x00001B58	0x0000483E	0		-1	-1	2.400000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 30af 30e2 7537 30d1 30c3 30c1 005f 673a 306e 4e0a 306b 3044 308b 72b6 614b ff09
0x00001785	0x00001BA0	0x0000486C	0		-1	-1	1.600000	180	0.000000	0.000000	2.000000	-1.500000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 504f 5c48 306a 8001 4eba 7528 ff09
0x00001786	0x00001BE8	0x00004888	0		-1	-1	2.700000	35	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 5973 533b 002f 30cb 30bb 5973 533b 306e 6249 8d8a 3057 4f1a 8a71 ff09
0x00001787	0x00001C30	0x000048B2	0		-1	-1	2.900000	180	0.000000	0.000000	3.000000	-2.200000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b ff08 30af 30e2 7537 30d1 30c3 30c1 005f 30c0 30f3 30b8 30e7 30f3 7528 3000 7a7a 4e2d 306b 3044 308b ff09
0x00001788	0x00001C78	0x000048E8	0		-1	-1	2.000000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8a71 3057 304b 3051 308b 0028 5c11 5973 0029
0x00001789	0x00001CC0	0x000048FC	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70000009	-1	-1	4	0	1		 4f7f 8005 304b 3089 8d08 308a 7269 3092 53d7 3051 53d6 308b
0x0000178A	0x00001D08	0x00004916	0		-1	-1	1.600000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010200	-1	-1	4	0	1		 8abf 3079 308b ff08 30b8 30a7 30b9 30c1 30e3 30fc 53d6 5f97 7528 306e 4ea4 4fe1 4e2d 6b7b 4f53 7528 ff09
0x0000178E	0x00001D50	0x00004942	0		200	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010220	-1	-1	4	0	1		 30ce 30c3 30af 3059 308b ff08 6249 8d8a 3057 4f1a 8a71 ff09
0x0000178F	0x00001D98	0x0000495C	0		-1	-1	2.000000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	4	0	1		 8abf 3079 308b ff08 7a62 308c 305f 8840 65cf 306e 5973 738b 796d 58c7 ff09
0x000017D4	0x00001DE0	0x0000497C	0		-1	-1	1.400000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70011000	-1	-1	5	0	1		 6905 5b50 3092 8d77 52d5 3059 308b
0x000017D5	0x00001E28	0x0000498C	0		-1	-1	1.400000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70011001	-1	-1	5	0	1		 6905 5b50 306b 5ea7 308b
0x000017D6	0x00001E70	0x00004998	0		-1	-1	1.400000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		70011001	-1	-1	5	0	1		 6905 5b50 306b 5ea7 308b 005f 0033 0036 0030 5ea6
0x000017DE	0x00001EB8	0x000049AE	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010100	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30e4 30fc 30ca 30e0 ff09
0x000017DF	0x00001F00	0x000049C8	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010101	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 8fba 5883 ff09
0x000017E0	0x00001F48	0x000049DE	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010102	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 96a0 3055 308c 305f 5730 ff09
0x000017E1	0x00001F90	0x000049FA	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010103	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 9192 3081 306c 60aa 5922 ff09
0x000017E3	0x00001FD8	0x00004A16	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010210	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30af 30a4 30c3 30af 30c0 30f3 30b8 30e7 30f3 ff09
0x000017E4	0x00002020	0x00004A3A	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010220	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0031 ff09
0x000017E5	0x00002068	0x00004A60	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010221	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0032 ff09
0x000017E6	0x000020B0	0x00004A86	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010222	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0033 ff09
0x000017E7	0x000020F8	0x00004AAC	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010223	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0034 ff09
0x000017E8	0x00002140	0x00004AD2	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010224	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0035 ff09
0x000017E9	0x00002188	0x00004AF8	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010225	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30c1 30e3 30cd 30eb 30c0 30f3 30b8 30e7 30f3 0036 ff09
0x000017F2	0x000021D0	0x00004B1E	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010110	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 30e4 30fc 30ca 30e0 ff09 0020 30ef 30fc 30d7 5148 7121 3057
0x000017F3	0x00002218	0x00004B46	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010111	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 8fba 5883 ff09 0020 30ef 30fc 30d7 5148 7121 3057
0x000017F4	0x00002260	0x00004B6A	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010112	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 96a0 3055 308c 305f 5730 ff09 0020 30ef 30fc 30d7 5148 7121 3057
0x000017F5	0x000022A8	0x00004B94	0		-1	-1	2.000000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		70010113	-1	-1	5	0	1		 6b7b 4f53 306b 89e6 308c 308b ff08 9192 3081 306c 60aa 5922 ff09 0020 30ef 30fc 30d7 5148 7121 3057
0x00001B58	0x000022F0	0x00004BBE	0		100	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 6c4e 7528
0x00001B59	0x00002338	0x00004BD0	0		100	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010401	-1	-1	5	0	1		 6249 3092 9589 3081 308b 005f 6c4e 7528
0x00001B5A	0x00002380	0x00004BE2	0		100	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010402	-1	-1	5	0	1		 9580 3092 958b 3051 308b 005f 6c4e 7528
0x00001B62	0x000023C8	0x00004BF4	0		120	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 6301 3061 4e0a 3052 005f 30c0 30df 30dd 30ea 0031 0032 0030 65b9 5411
0x00001B63	0x00002410	0x00004C1E	0		122	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 6301 3061 4e0a 3052 005f 30c0 30df 30dd 30ea 0031 0032 0032 65b9 5411
0x00001B76	0x00002458	0x00004C48	0		100	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 5f15 304f 005f 30c0 30df 30dd 30ea 0031 0030 0030 65b9 5411
0x00001B77	0x000024A0	0x00004C6E	0		101	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 62bc 3059 005f 30c0 30df 30dd 30ea 0031 0030 0031 65b9 5411
0x00001BBC	0x000024E8	0x00004C94	0		192	-1	1.700000	45	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010501	-1	-1	5	0	1		 4ed5 639b 3051 3092 8d77 52d5 3059 308b
0x00001C20	0x00002530	0x00004CA6	0		100	-1	1.500000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010420	-1	-1	4	0	1		 5b9d 7bb1 3092 958b 3051 308b ff08 5c0f ff09
0x00001C21	0x00002578	0x00004CBA	0		100	-1	1.500000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010107	-1	-1	3	0	1		 5b9d 7269 3092 3068 308b ff08 5c0f ff09
0x00001C2A	0x000025C0	0x00004CCC	0		100	-1	1.600000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010420	-1	-1	4	0	1		 5b9d 7bb1 3092 958b 3051 308b ff08 4e2d ff09
0x00001C2B	0x00002608	0x00004CE0	0		100	-1	1.600000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010107	-1	-1	3	0	1		 5b9d 7269 3092 3068 308b ff08 4e2d ff09
0x00001C34	0x00002650	0x00004CF2	0		100	-1	1.700000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010420	-1	-1	4	0	1		 5b9d 7bb1 3092 958b 3051 308b ff08 5927 ff09
0x00001C35	0x00002698	0x00004D06	0		100	-1	1.700000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010107	-1	-1	3	0	1		 5b9d 7269 3092 3068 308b ff08 5927 ff09
0x00001C3E	0x000026E0	0x00004D18	0		100	-1	1.700000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010421	-1	-1	4	0	1		 68fa 3092 958b 3051 308b ff08 30c0 30f3 30b8 30e7 30f3 30d6 30ed 30c3 30af 5b9d 7bb1 ff09
0x00001C3F	0x00002728	0x00004D3E	0		100	-1	1.700000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010108	-1	-1	3	0	1		 68fa 3092 3068 308b ff08 5927 ff09
0x00001C84	0x00002770	0x00004D4E	0		90	-1	1.200000	90	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010101	-1	-1	3	0	1		 907a 54c1 3092 3068 308b 005f 524d 65b9 0031 0038 0030 5ea6 306e 307f
0x00001C8E	0x000027B8	0x00004D6C	0		90	-1	1.200000	180	0.000000	0.000000	2.500000	-1.500000	0		180	0		10010101	-1	-1	3	0	1		 907a 54c1 3092 3068 308b 005f 0031 002e 0035 0030 006d 4e0b 3052
0x00001C8F	0x00002800	0x00004D88	0		90	-1	1.200000	180	0.000000	0.000000	3.000000	-2.000000	0		180	0		10010101	-1	-1	3	0	1		 907a 54c1 3092 3068 308b 005f 0032 002e 0030 0030 006d 4e0b 3052
0x00001CE8	0x00002848	0x00004DA4	0		200	-1	1.500000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 005f 0030 0031 30b9 30bf 30fc 30c8 76f4 5f8c
0x00001CE9	0x00002890	0x00004DC8	0		200	-1	1.400000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0030 0033 8056 5802 8857 0042 3001 9928 306e 4e2d
0x00001CEA	0x000028D8	0x00004DEE	0		200	-1	1.500000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0030 0034 30aa 30c9 30f3 6559 4f1a 306e 72c2 3063 305f 30d2 30f3 30c8 005f 2460
0x00001CEB	0x00002920	0x00004E20	0		200	-1	1.500000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0030 0035 30aa 30c9 30f3 6559 4f1a 306e 72c2 3063 305f 30d2 30f3 30c8 005f 2461
0x00001CEC	0x00002968	0x00004E52	0		200	-1	1.500000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0030 0036 30aa 30c9 30f3 6559 4f1a 306e 72c2 3063 305f 30d2 30f3 30c8 005f 2462
0x00001CED	0x000029B0	0x00004E84	0		200	-1	1.700000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0031 5927 8056 5802 306e 8b66 53e5
0x00001CEE	0x000029F8	0x00004EA6	0		200	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0032 533b 7642 6559 4f1a 5de5 623f 306e 6a19 8a9e
0x00001CEF	0x00002A40	0x00004ECE	0		200	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0033 6559 5ba4 306e 843d 66f8 304d 2460
0x00001CF0	0x00002A88	0x00004EF2	0		200	-1	1.500000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0034 6559 5ba4 306e 843d 66f8 304d 2461
0x00001CF1	0x00002AD0	0x00004F16	0		200	-1	1.400000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0035 6559 5ba4 306e 843d 66f8 304d 2462
0x00001CF2	0x00002B18	0x00004F3A	0		200	-1	1.400000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0036 6559 5ba4 306e 843d 66f8 304d 2463
0x00001CF3	0x00002B60	0x00004F5E	0		200	-1	2.000000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0037 30d3 30eb 30b2 30f3 30ef 30fc 30b9 306e 30e1 30e2 2460
0x00001CF4	0x00002BA8	0x00004F8A	0		200	-1	1.500000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0038 30d3 30eb 30b2 30f3 30ef 30fc 30b9 306e 30e1 30e2 2461
0x00001CF5	0x00002BF0	0x00004FB6	0		200	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	5	0	1		 9032 884c 88dc 52a9 30d2 30f3 30c8 005f 0031 0039 751f 8d04 306e 8857
0x00001D4C	0x00002C38	0x00004FD4	0		200	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		180	0		10010100	-1	-1	3	0	1		 5149 6e90 30a2 30a4 30c6 30e0 53d6 5f97
0x00030D40	0x00002C80	0x00004FE6	0		-1	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		-1	-1	-1	5	0	1		 5186 67f1 30b5 30f3 30d7 30eb
0x00030D41	0x00002CC8	0x00004FF4	1		-1	-1	0.000000	0	1.200000	1.200000	2.000000	-1.000000	0		90	0		-1	-1	-1	5	0	1		 89d2 67f1 30b5 30f3 30d7 30eb
0x00030D4A	0x00002D10	0x00005002	1		-1	-1	0.000000	0	1.200000	3.200000	2.000000	-1.000000	1		90	0		10010403	-1	-1	5	0	1		 9727 306e 58c1 30b5 30f3 30d7 30eb
0x001EAB90	0x00002D58	0x00005012	1		191	-1	0.000000	0	1.200000	3.200000	2.000000	-1.000000	1		90	0		10010403	-1	-1	5	0	1		 9727 306e 58c1 005f 30dc 30b9 524d
0x001EAB9A	0x00002DA0	0x00005022	0		90	-1	1.700000	180	0.000000	0.000000	3.000000	-2.000000	0		180	0		10010101	-1	-1	3	0	1		 907a 54c1 3092 3068 308b 005f 68fa 5b9d 6b7b 4f53
0x001EABA4	0x00002DE8	0x00005038	0		101	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 30c0 30df 30dd 30ea 0031 0030 0031 65b9 5411
0x00200E40	0x00002E30	0x00005058	1		191	-1	0.000000	0	1.000000	0.800000	2.000000	-1.000000	1		90	0		10010403	-1	-1	5	0	1		 9727 306e 58c1 005f 30dc 30b9 524d
0x00203230	0x00002E78	0x00005068	0		-1	-1	1.800000	90	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	5	0	1		 4eba 5f62 3092 8abf 3079 308b
0x0020323A	0x00002EC0	0x00005076	0		200	-1	1.900000	45	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 68da 3092 8abf 3079 308b
0x0020323B	0x00002F08	0x00005082	0		200	-1	1.700000	180	0.000000	0.000000	2.000000	-2.000000	0		90	0		10010100	-1	-1	5	0	1		 796d 58c7 3092 8abf 3079 308b
0x0020323C	0x00002F50	0x00005090	0		200	-1	1.700000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010100	-1	-1	5	0	1		 5893 3092 8abf 3079 308b
0x002191C0	0x00002F98	0x0000509C	0		100	-1	1.200000	180	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 30c0 30df 30dd 30ea 0031 0030 0030 65b9 5411
0x002191C1	0x00002FE0	0x000050BC	0		101	-1	1.200000	60	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010400	-1	-1	5	0	1		 6249 3092 958b 3051 308b 005f 30c0 30df 30dd 30ea 0031 0030 0031 65b9 5411
0x002191CA	0x00003028	0x000050DC	0		200	-1	4.000000	30	0.000000	0.000000	2.000000	-1.000000	0		90	0		10010540	-1	-1	5	0	1		 99ac 8eca 30ef 30fc 30d7 7528
