infoStartAddr:	0x30D0
numEntries:	0x94	148
title:	DUNGEON_SUB_FEAT_LOT_PARAM
paramStartAddr:	0x00000E20
entryID   	paramAddr 	infoAddr  	subFeatureNameId	requiredMaterialId	subFeatureId_1	subFeatureId_2	subFeatureId_3	subFeatureId_4	subFeatureId_5	subFeatureId_6	subFeatureId_7	subFeatureId_8	subFeatureId_9	subFeatureId_10	pad_0[2]	rate_1	rate_2	rate_3	rate_4	rate_5	rate_6	rate_7	rate_8	rate_9	rate_10
0x00975E3C	0x00001078	0x000031DA	0	0	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15.00	79.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x00005212	0x000010B4	0x000031F2	280110	21010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 50fb 5893 ff1a 6575 5f37 5316
0x009761F3	0x000010F0	0x00003218	0	0	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 6bd2 30c0 30f3 30b8 30e7 30f3 ff1a 50fb 5893
0x00976206	0x0000112C	0x0000323A	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097620B	0x00001168	0x00003254	0	0	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097621A	0x000011A4	0x00003274	0	0	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x00976224	0x000011E0	0x00003284	0	0	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	15.00	79.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0000753A	0x0000121C	0x0000329C	280110	30010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb ff1a 6575 5f37 5316
0x00007544	0x00001258	0x000032C6	280120	30020	20	21	22	23	-1	-1	-1	-1	-1	-1	0	30.00	20.00	30.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb ff1a 7279 6b8a 5f37 6575
0x0097852E	0x00001294	0x000032F2	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x00978533	0x000012D0	0x0000330C	0	0	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x00978542	0x0000130C	0x0000332C	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097854C	0x00001348	0x0000333C	0	0	61	62	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x00007620	0x00001384	0x00003354	280140	30240	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x009785F6	0x000013C0	0x0000338A	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x009785FB	0x000013FC	0x000033A4	0	0	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097860A	0x00001438	0x000033C4	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x00978614	0x00001474	0x000033D4	0	0	61	62	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x00007922	0x000014B0	0x000033EC	280110	31010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893 ff1a 6575 5f37 5316
0x0000792C	0x000014EC	0x00003412	280120	31020	20	21	22	23	-1	-1	-1	-1	-1	-1	0	30.00	20.00	30.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893 ff1a 7279 6b8a 5f37 6575
0x00978903	0x00001528	0x0000343A	0	0	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 6bd2 30c0 30f3 30b8 30e7 30f3 ff1a 50fb 5893
0x00978916	0x00001564	0x0000345C	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097891B	0x000015A0	0x00003476	0	0	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097892A	0x000015DC	0x00003496	0	0	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x00978934	0x00001618	0x000034A6	0	0	63	64	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x00007A08	0x00001654	0x000034BE	280140	31240	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x009789CB	0x00001690	0x000034F0	0	0	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 6bd2 30c0 30f3 30b8 30e7 30f3 ff1a 50fb 5893
0x009789DE	0x000016CC	0x00003512	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x009789E3	0x00001708	0x0000352C	0	0	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x009789F2	0x00001744	0x0000354C	0	0	51	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x009789FC	0x00001780	0x0000355C	0	0	63	64	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x00009CAE	0x000017BC	0x00003574	280110	40110	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 6575 5f37 5316
0x00009CB8	0x000017F8	0x000035A4	280120	40120	20	21	22	23	24	25	26	27	28	29	0	20.00	15.00	20.00	15.00	5.00	5.00	5.00	5.00	5.00	5.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x00009CEA	0x00001834	0x000035D6	280170	40170	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 546a 3044
0x0097AC2B	0x00001870	0x00003604	0	0	13	14	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 6bd2 30c0 30f3 30b8 30e7 30f3 ff1a 30c8 30a5 30e1 30eb
0x0097AC3E	0x000018AC	0x0000362A	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097AC43	0x000018E8	0x00003644	0	0	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097AC52	0x00001924	0x00003664	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097AC5C	0x00001960	0x00003674	0	0	61	62	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0000A41A	0x0000199C	0x0000368C	280110	42010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30ed 30fc 30e9 30f3 ff1a 6575 5f37 5316
0x0000A424	0x000019D8	0x000036B6	280120	42020	20	21	22	23	24	25	26	27	28	29	0	20.00	15.00	20.00	15.00	5.00	5.00	5.00	5.00	5.00	5.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30ed 30fc 30e9 30f3 ff1a 7279 6b8a 5f37 6575
0x0097B40E	0x00001A14	0x000036E2	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097B413	0x00001A50	0x000036FC	0	0	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097B422	0x00001A8C	0x0000371C	0	0	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097B42C	0x00001AC8	0x0000372C	0	0	65	66	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0000C35A	0x00001B04	0x00003744	280110	50010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb ff1a 6575 5f37 5316
0x0000C364	0x00001B40	0x0000376E	280120	50020	20	21	22	23	24	25	26	27	28	29	0	20.00	15.00	20.00	15.00	5.00	5.00	5.00	5.00	5.00	5.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb ff1a 7279 6b8a 5f37 6575
0x0000C396	0x00001B7C	0x0000379A	280170	50070	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb ff1a 546a 3044
0x0097D33B	0x00001BB8	0x000037C2	0	0	13	14	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 6bd2 30c0 30f3 30b8 30e7 30f3 ff1a 30c8 30a5 30e1 30eb
0x0097D34E	0x00001BF4	0x000037E8	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097D353	0x00001C30	0x00003802	0	0	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097D362	0x00001C6C	0x00003822	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097D36C	0x00001CA8	0x00003832	0	0	61	62	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0000C440	0x00001CE4	0x0000384A	280140	50240	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x0097D416	0x00001D20	0x00003880	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097D41B	0x00001D5C	0x0000389A	0	0	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097D42A	0x00001D98	0x000038BA	0	0	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097D434	0x00001DD4	0x000038CA	0	0	61	62	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0000CB2A	0x00001E10	0x000038E2	280110	52010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3 ff1a 6575 5f37 5316
0x0000CB34	0x00001E4C	0x0000390C	280120	52020	20	21	22	23	24	25	26	27	28	29	0	20.00	15.00	20.00	15.00	5.00	5.00	5.00	5.00	5.00	5.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3 ff1a 7279 6b8a 5f37 6575
0x0000CB66	0x00001E88	0x00003938	280170	52070	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3 ff1a 546a 3044
0x0097DB1E	0x00001EC4	0x00003960	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097DB23	0x00001F00	0x0000397A	0	0	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097DB32	0x00001F3C	0x0000399A	0	0	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097DB3C	0x00001F78	0x000039AA	0	0	65	66	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0000CC10	0x00001FB4	0x000039C2	280140	52240	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x0097DBE6	0x00001FF0	0x000039F8	0	0	30	31	32	33	34	-1	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097DBEB	0x0000202C	0x00003A12	0	0	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097DBFA	0x00002068	0x00003A32	0	0	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097DC04	0x000020A4	0x00003A42	0	0	65	66	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0000CF12	0x000020E0	0x00003A5A	280110	53010	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba ff1a 6575 5f37 5316
0x0000CF1C	0x0000211C	0x00003A80	280120	53020	20	21	22	23	24	25	26	27	28	29	0	20.00	15.00	20.00	15.00	5.00	5.00	5.00	5.00	5.00	5.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba ff1a 7279 6b8a 5f37 6575
0x0000CF4E	0x00002158	0x00003AA8	280170	53070	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba ff1a 546a 3044
0x0097DF06	0x00002194	0x00003ACC	0	0	80	81	82	83	84	79	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
0x0097DF0B	0x000021D0	0x00003AE6	0	0	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 30e6 30cb 30fc 30af 30a2 30a4 30c6 30e0
0x0097DF1A	0x0000220C	0x00003B06	0	0	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 8056 676f 30bf 30a4 30d7 88dc 6b63
0x0097DF24	0x00002248	0x00003B16	0	0	67	68	-1	-1	-1	-1	-1	-1	-1	-1	0	20.00	80.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 0034 0046 958b 653e
0x0097DEF7	0x00002284	0x00003B2E	0	0	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 8056 676f 30bf 30a4 30d7 88dc 6b63 0032
0x0000CFF8	0x000022C0	0x00003B4E	280140	53240	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x0097DFCE	0x000022FC	0x00003B80	0	0	80	81	82	83	84	79	-1	-1	-1	-1	0	15.00	15.00	5.00	4.00	1.00	60.00	0.00	0.00	0.00	0.00	 30b5 30d6 7279 5fb4 5019 88dc ff1a 7279 6b8a 30ad 30e3 30e9
