infoStartAddr:	0x2DA00
numEntries:	0x458	1112
title:	GEM_GEN_PARAM_ST
paramStartAddr:	0x00006880
entryID   	paramAddr 	infoAddr  	isUnique:1	pad_0[4]	gemNameIdOffset	disableSlotRateModify:1	slotTypeRateA	slotTypeRateB	slotTypeRateC	slotTypeRateD	slotTypeRateE	slotTypeRateF	gemRankDoping	pad_1[3]	gemeffectGenParamType_0	gemeffectGenParam_0	manifestRate_0	negativizeRate_0	gemeffectGenParamType_1	gemeffectGenParam_1	manifestRate_1	negativizeRate_1	gemeffectGenParamType_2	gemeffectGenParam_2	manifestRate_2	negativizeRate_2	gemeffectGenParamType_3	gemeffectGenParam_3	manifestRate_3	negativizeRate_3	gemeffectGenParamType_4	gemeffectGenParam_4	manifestRate_4	negativizeRate_4	gemeffectGenParamType_5	gemeffectGenParam_5	manifestRate_5	negativizeRate_5	equipableSegmentBody:1	equipableSegmentWeapon:1	unremovable:1	isGuestDrop:1
0x00000014	0x00006E20	0x0002DB08	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	0	0.00	0.00	17096	0	0.00	0.00	17096	0	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 30b6 30b3 9b54 77f3
0x0000001E	0x00006EB0	0x0002DB1C	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	196608	0.00	0.00	17096	0	0.00	0.00	17096	0	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 5f37 6575 9b54 77f3
0x00000032	0x00006F40	0x0002DB30	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	131072	0.00	0.00	17096	262144	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 6392 4ed6 30b0 30eb 30fc 30d7 30c6 30b9 30c8 7528
0x00000033	0x00006FD0	0x0002DB50	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	131072	0.00	0.00	17096	262144	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 30ab 30c6 30b4 30ea 9593 76f8 6027 30c6 30b9 30c8 7528
0x00000034	0x00007060	0x0002DB72	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	262144	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 8056 676f 30bf 30a4 30d7 5f71 97ff 30c6 30b9 30c8 7528
0x00000035	0x000070F0	0x0002DB94	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	131072	0.00	0.00	17096	262144	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 30ab 30c6 30b4 30ea 30b0 30eb 30fc 30d7 30c6 30b9 30c8 7528
0x00000036	0x00007180	0x0002DBB8	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 53d6 308a 5916 3057 4e0d 53ef 30c6 30b9 30c8 7528 3000 ff08 53d6 308a 5916 3057 53ef ff09
0x00000037	0x00007210	0x0002DBE8	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	128	49024	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 53d6 308a 5916 3057 4e0d 53ef 30c6 30b9 30c8 7528 3000 ff08 53d6 308a 5916 3057 4e0d 53ef ff09
0x00000038	0x000072A0	0x0002DC1A	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 5f15 63db 5238 8ca9 58f2 30c6 30b9 30c8
0x00000039	0x00007330	0x0002DC3A	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 30dc 30c7 30a3 30b8 30a7 30e0 5f15 63db 5238 8ca9 58f2 30c6 30b9 30c8
0x0000003C	0x000073C0	0x0002DC62	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 8ca9 58f2 4fa1 683c 30c6 30b9 30c8 005f 9b54 77f3 0030 0030
0x0000003D	0x00007450	0x0002DC8A	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 8ca9 58f2 4fa1 683c 30c6 30b9 30c8 005f 9b54 77f3 0030 0031
0x0000003E	0x000074E0	0x0002DCB2	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 8ca9 58f2 4fa1 683c 30c6 30b9 30c8 005f 9b54 77f3 0030 0032
0x0000003F	0x00007570	0x0002DCDA	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 8ca9 58f2 4fa1 683c 30c6 30b9 30c8 005f 30dc 30c7 30a3 0030 0030
0x00000040	0x00007600	0x0002DD04	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 8ca9 58f2 4fa1 683c 30c6 30b9 30c8 005f 30dc 30c7 30a3 0030 0031
0x00000041	0x00007690	0x0002DD2E	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 8ca9 58f2 4fa1 683c 30c6 30b9 30c8 005f 30dc 30c7 30a3 0030 0032
0x00000042	0x00007720	0x0002DD58	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 9b54 77f3 0030 0030
0x00000043	0x000077B0	0x0002DD7E	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 9b54 77f3 0030 0031
0x00000044	0x00007840	0x0002DDA4	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 9b54 77f3 0030 0032
0x00000045	0x000078D0	0x0002DDCA	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 9b54 77f3 0030 0033
0x00000046	0x00007960	0x0002DDF0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 30dc 30c7 30a3 0030 0030
0x00000047	0x000079F0	0x0002DE18	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 30dc 30c7 30a3 0030 0031
0x00000048	0x00007A80	0x0002DE40	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 30dc 30c7 30a3 0030 0032
0x00000049	0x00007B10	0x0002DE68	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 30bd 30fc 30c8 30c6 30b9 30c8 005f 30dc 30c7 30a3 0030 0033
0x0000004A	0x00007BA0	0x0002DE90	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	131072	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 3010 30c6 30b9 30c8 3011 9b54 77f3 51fa 73fe 30e9 30f3 30af 7bc4 56f2 30c6 30b9 30c8
0x00000064	0x00007C30	0x0002DEB4	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 65ac 6483 3011 ff08 56fa 5b9a 5024 ff09
0x00000065	0x00007CC0	0x0002DEEA	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 6253 6483 3011 ff08 56fa 5b9a 5024 ff09
0x00000066	0x00007D50	0x0002DF20	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 523a 7a81 3011 ff08 56fa 5b9a 5024 ff09
0x00000067	0x00007DE0	0x0002DF56	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-0.01	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 9283 3011 ff08 56fa 5b9a 5024 ff09
0x00000068	0x00007E70	0x0002DF8A	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-1.47	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 9b54 6cd5 3011 ff08 56fa 5b9a 5024 ff09
0x00000069	0x00007F00	0x0002DFC0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-328.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 708e 3011 ff08 56fa 5b9a 5024 ff09
0x0000006A	0x00007F90	0x0002DFF4	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-71680.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 96f7 3011 ff08 56fa 5b9a 5024 ff09
0x0000006B	0x00008020	0x0002E028	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-15990784.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09
0x0000006C	0x000080B0	0x0002E05E	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-3690987520.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 5168 3011 ff08 56fa 5b9a 5024 ff09
0x0000006D	0x00008140	0x0002E092	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-841813590016.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 65ac 6483 3011 ff08 500d 7387 ff09
0x0000006E	0x000081D0	0x0002E0C6	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-189115999977472.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 6253 6483 3011 ff08 500d 7387 ff09
0x0000006F	0x00008260	0x0002E0FA	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-41658296553177088.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 523a 7a81 3011 ff08 500d 7387 ff09
0x00000070	0x000082F0	0x0002E12E	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-9079256848778919936.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 9283 3011 ff08 500d 7387 ff09
0x00000071	0x00008380	0x0002E160	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-2102928824402888884224.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 9b54 6cd5 3011 ff08 500d 7387 ff09
0x00000072	0x00008410	0x0002E194	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-481681381252703811796992.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09
0x00000073	0x000084A0	0x0002E1C6	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-108803323765316625723555840.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 96f7 3011 ff08 500d 7387 ff09
0x00000074	0x00008530	0x0002E1F8	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-24139830766064915360532922368.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 7269 7406 3011 ff08 500d 7387 ff09
0x00000075	0x000085C0	0x0002E22C	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-5229058725941446281173900722176.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 3010 5168 3011 ff08 500d 7387 ff09
0x00000076	0x00008650	0x0002E25E	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-275191733502345864312116305448665088.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 88dc 6b63 3010 7b4b 529b 3011 ff08 500d 7387 ff09
0x00000077	0x000086E0	0x0002E296	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	-62473715801891046026478931833176195072.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 88dc 6b63 3010 6280 91cf 3011 ff08 500d 7387 ff09
0x00000078	0x00008770	0x0002E2CE	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 88dc 6b63 3010 5c04 6483 3011 ff08 500d 7387 ff09
0x00000079	0x00008800	0x0002E306	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 653b 6483 529b 88dc 6b63 3010 9b54 6cd5 3011 ff08 500d 7387 ff09
0x0000007A	0x00008890	0x0002E33E	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 7279 653b 30c0 30e1 30fc 30b8 3010 7363 3011 ff08 500d 7387 ff09
0x0000007B	0x00008920	0x0002E376	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	-128	200	17096	65536	0.00	0.00	17096	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	-nan	0.00	0	0	0	0	 9b54 77f3 52b9 679c 30c6 30b9 30c8 005f 30d7 30e9 30b9 52b9 679c 005f 7279 653b 30c0 30e1 30fc 30b8 3010 6708 3011 ff08 500d 7387 ff09
