infoStartAddr:	0x1EA8
numEntries:	0x8B	139
title:	MENUPROPERTY_SPEC
paramStartAddr:	0x00000D48
entryID   	paramAddr 	infoAddr  	CaptionTextID	IconID	RequiredPropertyID	CompareType	FormatType	AdhocCaption[9]
0x00000196	0x000015A8	0x000024BE	12016	7054	0	2	3	0	 3010 9632 5177 3011 30c0 30e1 30fc 30b8 30ab 30c3 30c8 7387 ff1a 96f7
0x0000019A	0x000015C8	0x000024DC	12020	7056	0	1	0	0	 3010 9632 5177 3011 6bd2 8010 6027
0x0000019B	0x000015E8	0x000024EC	12021	7057	0	1	0	0	 3010 9632 5177 3011 51fa 8840 8010 6027
0x0000019C	0x00001608	0x000024FE	12022	7058	0	1	0	0	 3010 9632 5177 3011 767a 72c2 8010 6027
0x0000019D	0x00001628	0x00002510	12024	7059	0	1	0	0	 3010 9632 5177 3011 7363 5316 8010 6027
0x000001F4	0x00001648	0x00002522	14001	0	0	0	0	0	 3010 9b54 77f3 3011 8272
0x000001F5	0x00001668	0x0000252E	14002	7073	0	1	0	0	 3010 9b54 77f3 3011 30e9 30f3 30af
0x000001F6	0x00001688	0x0000253E	0	0	0	0	0	0	 3010 9b54 77f3 3011 52b9 679c 0030
0x000001F7	0x000016A8	0x0000254E	0	0	0	0	0	0	 3010 9b54 77f3 3011 52b9 679c 0031
0x000001F8	0x000016C8	0x0000255E	0	0	0	0	0	0	 3010 9b54 77f3 3011 52b9 679c 0032
0x000001F9	0x000016E8	0x0000256E	0	0	0	0	0	0	 3010 9b54 77f3 3011 52b9 679c 0033
0x000001FA	0x00001708	0x0000257E	0	0	0	0	0	0	 3010 9b54 77f3 3011 52b9 679c 0034
0x000001FB	0x00001728	0x0000258E	0	0	0	0	0	0	 3010 9b54 77f3 3011 52b9 679c 0035
0x00000258	0x00001748	0x0000259E	14003	7076	0	0	120	0	 3010 6b66 5668 9b54 77f3 3011 30b9 30ed 30c3 30c8 5f62 72b6
0x000002BC	0x00001768	0x000025B8	15001	7076	0	0	130	0	 3010 30dc 30c7 30a3 30b8 30a7 30e0 3011 7a2e 5225
0x00000320	0x00001788	0x000025CE	17001	7078	0	0	0	0	 3010 8056 676f 3011 30bf 30a4 30d7
0x00000321	0x000017A8	0x000025DE	17002	7077	0	0	140	0	 3010 8056 676f 3011 5100 5f0f 30ec 30d9 30eb
0x00000322	0x000017C8	0x000025F2	0	0	0	0	0	0	 3010 8056 676f 3011 30b5 30d6 7279 5fb4 5019 88dc 0031
0x00000323	0x000017E8	0x0000260A	0	0	0	0	0	0	 3010 8056 676f 3011 30b5 30d6 7279 5fb4 5019 88dc 0032
0x00000324	0x00001808	0x00002622	0	0	0	0	0	0	 3010 8056 676f 3011 30b5 30d6 7279 5fb4 5019 88dc 0033
0x00000325	0x00001828	0x0000263A	0	0	0	0	0	0	 3010 8056 676f 3011 30b5 30d6 7279 5fb4 5019 88dc 0034
0x00000326	0x00001848	0x00002652	0	0	0	0	0	0	 3010 8056 676f 3011 30b5 30d6 7279 5fb4 5019 88dc 0035
0x00002710	0x00001868	0x0000266A	0	0	0	0	0	0	 3010 0050 0043 57fa 672c 3011 540d 524d
0x00002711	0x00001888	0x0000267C	10102	0	0	0	0	0	 3010 0050 0043 57fa 672c 3011 7d20 6027
0x00002712	0x000018A8	0x0000268E	10103	0	0	0	0	0	 3010 0050 0043 57fa 672c 3011 8d08 308a 7269
0x00002713	0x000018C8	0x000026A2	10101	0	0	0	0	0	 3010 0050 0043 57fa 672c 3011 6027 5225
0x00002714	0x000018E8	0x000026B4	10200	6001	0	1	0	0	 3010 0050 0043 57fa 672c 3011 30ec 30d9 30eb
0x00002715	0x00001908	0x000026C8	10201	6000	0	1	0	0	 3010 0050 0043 57fa 672c 3011 6240 6301 30bd 30a6 30eb
0x00002716	0x00001928	0x000026E0	10300	0	0	0	0	0	 3010 0050 0043 57fa 672c 3011 8a93 7d04
0x00002717	0x00001948	0x000026F2	10210	6043	0	1	0	0	 3010 0050 0043 57fa 672c 3011 0053 0041 004e 5024
0x00002719	0x00001968	0x00002708	10202	6000	0	0	0	0	 3010 0050 0043 57fa 672c 3011 5fc5 8981 30bd 30a6 30eb
0x00002774	0x00001988	0x00002720	10400	6002	0	1	0	0	 3010 0050 0043 ff11 6b21 3011 4f53 529b
0x00002775	0x000019A8	0x00002732	10401	6003	0	1	0	0	 3010 0050 0043 ff11 6b21 3011 7cbe 795e 529b
0x00002776	0x000019C8	0x00002746	10402	6004	0	1	0	0	 3010 0050 0043 ff11 6b21 3011 7b4b 529b
0x00002777	0x000019E8	0x00002758	10403	6005	0	1	0	0	 3010 0050 0043 ff11 6b21 3011 6280 91cf
0x00002778	0x00001A08	0x0000276A	10404	6006	0	1	0	0	 3010 0050 0043 ff11 6b21 3011 5c04 6483
0x00002779	0x00001A28	0x0000277C	10405	6007	0	1	0	0	 3010 0050 0043 ff11 6b21 3011 9b54 6cd5
0x000027D8	0x00001A48	0x0000278E	10500	6008	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 0048 0050
0x000027D9	0x00001A68	0x000027A0	10500	6008	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 6700 5927 0048 0050
0x000027DA	0x00001A88	0x000027B6	10502	6009	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 30b9 30bf 30df 30ca
0x000027DB	0x00001AA8	0x000027CC	0	0	0	2	0	0	 3010 0050 0043 ff12 6b21 3011 88c5 5099 91cd 91cf
0x000027DC	0x00001AC8	0x000027E2	10512	6044	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 30a2 30a4 30c6 30e0 767a 898b 529b
0x000027DD	0x00001AE8	0x000027FE	10520	6013	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 53f3 6b66 5668 ff11 3000 653b 6483 529b
0x000027DE	0x00001B08	0x0000281C	10521	6014	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 53f3 6b66 5668 ff12 3000 653b 6483 529b
0x000027DF	0x00001B28	0x0000283A	10522	6015	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 5de6 6b66 5668 ff11 3000 653b 6483 529b
0x000027E0	0x00001B48	0x00002858	10523	6016	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 5de6 6b66 5668 ff12 3000 653b 6483 529b
0x000027E1	0x00001B68	0x00002876	10524	6017	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 65ac 6483 9632 5fa1 529b
0x000027E2	0x00001B88	0x0000288E	10525	6018	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 523a 7a81 9632 5fa1 529b
0x000027E3	0x00001BA8	0x000028A6	10526	6019	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 6253 6483 9632 5fa1 529b
0x000027E4	0x00001BC8	0x000028BE	10527	6020	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 9283 6483 9632 5fa1 529b
0x000027E5	0x00001BE8	0x000028D6	10528	6021	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 9b54 6cd5 9632 5fa1 529b
0x000027E6	0x00001C08	0x000028EE	10529	6022	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 708e 9632 5fa1 529b
0x000027E7	0x00001C28	0x00002904	10530	6023	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 96f7 9632 5fa1 529b
0x000027E8	0x00001C48	0x0000291A	10540	7048	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 65ac 6483 30ab 30c3 30c8 7387
0x000027E9	0x00001C68	0x00002934	10541	7049	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 523a 7a81 30ab 30c3 30c8 7387
0x000027EA	0x00001C88	0x0000294E	10542	7050	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 6253 6483 30ab 30c3 30c8 7387
0x000027EB	0x00001CA8	0x00002968	10543	7051	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 9283 6483 30ab 30c3 30c8 7387
0x000027EC	0x00001CC8	0x00002982	10544	7052	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 9b54 6cd5 30ab 30c3 30c8 7387
0x000027ED	0x00001CE8	0x0000299C	10545	7053	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 708e 30ab 30c3 30c8 7387
0x000027EE	0x00001D08	0x000029B4	10546	7054	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 96f7 30ab 30c3 30c8 7387
0x000027EF	0x00001D28	0x000029CC	10550	6038	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 6bd2 8010 6027
0x000027F0	0x00001D48	0x000029E0	10551	6039	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 51fa 8840 8010 6027
0x000027F1	0x00001D68	0x000029F6	10552	6040	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 767a 72c2 8010 6027
0x000027F2	0x00001D88	0x00002A0C	10554	6041	0	1	0	0	 3010 0050 0043 ff12 6b21 3011 7363 5316 8010 6027
0x0000283C	0x00001DA8	0x00002A22	0	0	0	0	0	0	 3010 0050 0043 3011 30dc 30c7 30a3 30b8 30a7 30e0 52b9 679c 0031
0x0000283D	0x00001DC8	0x00002A3E	0	0	0	0	0	0	 3010 0050 0043 3011 30dc 30c7 30a3 30b8 30a7 30e0 52b9 679c 0032
0x0000283E	0x00001DE8	0x00002A5A	0	0	0	0	0	0	 3010 0050 0043 3011 30dc 30c7 30a3 30b8 30a7 30e0 52b9 679c 0033
0x0000283F	0x00001E08	0x00002A76	0	0	0	0	0	0	 3010 0050 0043 3011 30dc 30c7 30a3 30b8 30a7 30e0 52b9 679c 0034
0x00002840	0x00001E28	0x00002A92	0	0	0	0	0	0	 3010 0050 0043 3011 30dc 30c7 30a3 30b8 30a7 30e0 52b9 679c 0035
0x00002841	0x00001E48	0x00002AAE	0	0	0	0	0	0	 3010 0050 0043 3011 30dc 30c7 30a3 30b8 30a7 30e0 52b9 679c 0036
0x00002842	0x00001E68	0x00002ACA	0	0	0	0	0	0	 3010 0050 0043 3011 30dc 30c7 30a3 30b8 30a7 30e0 52b9 679c 0037
