infoStartAddr:	0x3058
numEntries:	0xAB	171
title:	OBJ_ACT_PARAM_ST
paramStartAddr:	0x00001048
entryID   	paramAddr 	infoAddr  	actionEnableMsgId	actionFailedMsgId	spQualifiedPassEventFlag	playerAnimId	chrAnimId	validDist	spQualifiedId	spQualifiedId2	objDummyId	pad0[1]	objAnimId	validPlayerAngle	spQualifiedType	spQualifiedType2	validObjAngle	chrSorbType	eventKickTiming	pad1[2]	actionButtonParamId	actionSuccessMsgId
0x00000BC3	0x00001708	0x0000341A	10010502	-1	-1	8022	7100	110	0	0	191		1	45	0	0	45	0	1		-1	-1	 006d 0031 0033 005f 0030 0030 005f 5893 5730 30ec 30d0 30fc ff08 62bc 3059 ff09
0x00000BC4	0x00001738	0x0000343C	10010501	-1	-1	8023	7100	90	0	0	192		3	45	0	0	45	0	1		-1	-1	 006d 0031 0033 005f 0030 0030 005f 5893 5730 30ec 30d0 30fc ff08 5f15 304f ff09
0x00000BF4	0x00001768	0x0000345E	10010504	-1	-1	7150	7100	120	0	0	191		0	60	0	0	45	0	0		-1	-1	 006d 0031 0033 005f 0030 0030 005f 68fa 0028 5165 308b 0029
0x00000BF5	0x00001798	0x00003478	10010505	-1	-1	7152	7100	20	0	0	192		0	180	0	0	180	0	1		-1	-1	 006d 0031 0033 005f 0030 0030 005f 68fa ff08 51fa 308b ff09
0x000011D0	0x000017C8	0x00003492	10010501	-1	-1	101150	7100	90	0	0	191		0	45	0	0	45	0	0		-1	-1	 006d 0031 0034 005f 0030 0030 005f 9418 30ec 30d0 30fc
0x000014BE	0x000017F8	0x000034AA	10010400	10010163	11500110	101101	7111	90	2003	2100	120		0	60	1	1	60	0	1		-1	-1	 006d 0031 0035 005f 0030 0030 005f 7c60 7262
0x00001658	0x00001828	0x000034BE	10010400	-1	-1	101100	7110	60	0	0	100		0	60	0	0	60	0	1		-1	-1	 006d 0031 0035 005f 0030 0031 005f 5ba4 5185 6249
0x00001659	0x00001858	0x000034D4	10010400	10010161	-1	101100	7110	60	4150	0	100		0	60	2	0	60	0	1		-1	-1	 006d 0031 0035 005f 0030 0031 005f 5ba4 5185 6249 ff08 5185 9375 ff09
0x000017D4	0x00001888	0x000034F2	10010501	-1	-1	101150	7100	90	0	0	191		0	45	0	0	45	0	0		-1	-1	 006d 0031 0036 005f 0030 0030 005f 6c34 9580 30ec 30d0 30fc
0x000017D5	0x000018B8	0x0000350C	10010501	-1	-1	101150	7100	90	0	0	191		1	45	0	0	45	0	0		-1	-1	 006d 0031 0036 005f 0030 0030 005f 6df1 6df5 306e 6c4e 7528 30ec 30d0 30fc
0x0000177A	0x000018E8	0x0000352C	10010400	10010163	11600120	101100	7110	60	2008	2100	100		0	60	1	1	60	0	1		-1	-1	 006d 0031 0036 005f 0030 0030 005f 5c0f 30ed 30f3 30c9 907a 8de1 306e 6249
0x00001C21	0x00001918	0x0000354C	10010501	-1	-1	101150	7100	90	0	0	191		1	45	0	0	45	0	0		-1	-1	 006d 0031 0037 005f 0030 0030 005f 7d50 6676 5854 306e 6c4e 7528 30ec 30d0 30fc
0x00001C22	0x00001948	0x0000356E	10010501	-1	-1	101150	7100	90	0	0	191		1	45	0	0	45	0	0		-1	-1	 006d 0031 0037 005f 0030 0030 005f 8b66 5831 30ec 30d0 30fc
0x00001CE9	0x00001978	0x00003588	10010400	10010163	11700300	101100	7110	60	2004	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0037 005f 0030 0030 005f 7262 5c4b 306e 6249 0041
0x00002159	0x000019A8	0x000035A2	10010400	10010163	11810106	101100	7110	60	2012	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0038 005f 0030 0031 005f 6c4e 7528 6249 ff08 0032 0046 624b 524d ff09
0x0000215A	0x000019D8	0x000035C4	10010400	10010161	-1	101100	7110	60	4150	0	100		0	60	2	0	60	0	1		-1	-1	 006d 0031 0038 005f 0030 0031 005f 6c4e 7528 6249 ff08 5185 9375 ff09
0x0000215B	0x00001A08	0x000035E2	10010400	10010163	11810104	101100	7110	60	2016	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0038 005f 0030 0031 005f 6c4e 7528 6249 ff08 0032 0046 5965 ff09
0x0000215C	0x00001A38	0x00003602	10010400	10010163	11810100	101100	7110	60	2010	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0038 005f 0030 0031 005f 6c4e 7528 6249
0x0000215D	0x00001A68	0x00003618	10010400	-1	-1	101110	7120	70	0	0	120		1	60	0	0	60	0	1		-1	-1	 006d 0031 0038 005f 0030 0031 005f 6559 4f1a 306e 6249 ff08 5927 ff09
0x00002160	0x00001A98	0x00003636	10010400	10010163	11810110	101110	7120	70	2011	0	120		1	60	1	0	60	0	1		-1	-1	 006d 0031 0038 005f 0030 0031 005f 6559 4f1a 306e 6249 ff08 5c0f ff09
0x00002648	0x00001AC8	0x00003654	0	0	-1	101240	3050	0	0	0	191		0	0	0	0	0	0	1		7100	-1	 5927 7832
0x000026AE	0x00001AF8	0x0000365A	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	0		7100	-1	 006d 0032 0030 005f 0030 0030 0020 30a8 30ec 30d9 30fc 30bf 547c 3073 51fa 3057 30ec 30d0 30fc
0x000026C0	0x00001B28	0x00003682	0	10010163	12000110	101120	7110	0	2003	0	100		0	0	1	0	0	0	1		7000	-1	 006d 0032 0030 005f 0030 0030 0020 0042 0032 3078 306e 6249
0x000026C1	0x00001B58	0x0000369C	0	10010163	-1	101121	7110	0	0	0	121		0	0	0	0	0	0	1		7010	-1	 006d 0032 0030 005f 0030 0030 0020 6249 6301 3061 4e0a 3052
0x000026C2	0x00001B88	0x000036B6	0	10010163	12000112	101120	7110	0	2004	0	100		0	0	1	0	0	0	1		7000	-1	 006d 0032 0030 005f 0030 0030 0020 0042 0034 3078 306e 6249
0x000026C3	0x00001BB8	0x000036D0	0	-1	-1	101100	7110	0	0	0	100		0	0	0	0	0	0	1		7000	-1	 006d 0032 0030 005f 0030 0030 0020 30dc 30b9 90e8 5c4b 524d
0x000026C4	0x00001BE8	0x000036EA	0	10010163	12000110	101120	7110	0	2003	0	123		0	0	1	0	0	0	1		7011	-1	 006d 0032 0030 005f 0030 0030 0020 0042 0032 3078 306e 6249
0x000026C7	0x00001C18	0x00003704	0	10010163	-1	101120	7110	0	2001	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 0030 0032 0020 0031 0046 3000 9375 4ed8 304d 6249
0x000026C8	0x00001C48	0x00003722	0	10010163	-1	101120	7110	0	2003	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 0030 0032 0020 0032 0046 3000 9375 4ed8 304d 6249
0x000026C9	0x00001C78	0x00003740	0	10010163	-1	101120	7110	0	2004	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 0030 0032 0020 0033 0046 3000 9375 4ed8 304d 6249
0x000026CA	0x00001CA8	0x0000375E	0	10010163	12910440	101120	7110	0	10	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 30c0 30f3 30b8 30e7 30f3 0020 9375 4ed8 304d 6249
0x000026CB	0x00001CD8	0x0000377C	0	10010163	12910441	101120	7110	0	2002	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 0030 0031 0020 0031 0046 4e0a 6bb5 9375 4ed8 304d 6249
0x000026CC	0x00001D08	0x0000379C	0	10010163	12910442	101120	7110	0	2003	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 0030 0031 0020 0032 0046 4e2d 6bb5 9375 4ed8 304d 6249
0x000026CD	0x00001D38	0x000037BC	0	10010163	12910443	101120	7110	0	2004	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 0030 0031 0020 0033 0046 4e2d 6bb5 9375 4ed8 304d 6249
0x000026CE	0x00001D68	0x000037DC	0	10010163	12910444	101120	7110	0	2005	0	121		0	0	1	0	0	0	1		7010	-1	 006d 0032 0039 005f 0030 0031 0020 0033 0046 30dc 30b9 524d 9375 4ed8 304d 6249
0x000026D5	0x00001D98	0x000037FE	0	-1	-1	101142	7523	0	0	0	191		0	0	0	0	0	0	1		7200	-1	 5b9d 7bb1 ff08 5c0f ff09
0x000026D6	0x00001DC8	0x0000380A	0	-1	-1	101141	7521	0	0	0	191		0	0	0	0	0	0	1		7210	-1	 5b9d 7bb1 ff08 4e2d ff09
0x000026D7	0x00001DF8	0x00003816	0	-1	-1	101143	7524	0	0	0	191		0	0	0	0	0	0	1		7220	-1	 5b9d 7bb1 ff08 5927 ff09
0x00002710	0x00001E28	0x00003822	10010500	-1	-1	101150	7100	150	0	0	191		1	60	0	0	30	0	0		-1	-1	 30c7 30d5 30a9 30eb 30c8 ff08 524a 9664 4e88 5b9a ff09
0x00002C29	0x00001E58	0x0000383A	10010400	10010163	11010192	101100	7110	60	2019	2100	100		0	60	1	1	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 30cf 30f3 30de 30fc 5854 6249 ff08 4e0b ff09
0x00002C30	0x00001E88	0x0000385C	10010400	10010163	11010172	101100	7110	60	2001	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0031 005f 6c4e 7528 6249 ff08 9375 ff09
0x00002C33	0x00001EB8	0x00003878	10010400	10010163	11000120	101100	7110	60	2018	2100	100		0	60	1	1	60	0	1		-1	-1	 006d 0031 0030 005f 0030 0030 005f 6c4e 7528 6249 ff08 9375 ff09
0x00003E8A	0x00001EE8	0x00003894	10010400	10010163	11600110	101100	7110	60	2013	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0036 005f 0030 0030 0020 6c34 9580 30ec 30d0 30fc 306e 6249
0x000043F9	0x00001F18	0x000038B2	10010400	10010163	11700311	101120	7110	60	2020	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0037 005f 0030 0030 005f 7262 5c4b 306e 6249 0042
0x00004DD1	0x00001F48	0x000038CC	0	10010163	-1	101121	7110	0	0	0	123		0	0	0	0	0	0	1		7011	-1	 006d 0032 0030 005f 0031 0030 0020 6249 6301 3061 4e0a 3052
0x00004DD2	0x00001F78	0x000038E6	0	10010163	12000112	101120	7110	0	2004	0	122		0	0	1	0	0	0	1		7000	-1	 006d 0032 0030 005f 0030 0030 0020 0042 0034 3078 306e 6249
0x00004DD3	0x00001FA8	0x00003900	0	10010161	-1	101120	7110	0	4150	0	123		0	0	2	0	0	0	1		7011	-1	 006d 0032 0030 005f 0031 0030 0020 6249 6301 3061 4e0a 3052 0028 4e00 65b9 901a 884c 0029
0x00004DD4	0x00001FD8	0x00003926	0	10010163	-1	101120	7110	0	0	0	120		0	0	0	0	0	0	1		7000	-1	 006d 0032 0030 005f 0031 0030 0020 6249 6301 3061 4e0a 3052
0x00004DDA	0x00002008	0x00003940	0	10010163	12910440	101120	7110	0	10	0	123		0	0	1	0	0	0	1		7011	-1	 006d 0032 0039 005f 30c0 30f3 30b8 30e7 30f3 0020 9375 4ed8 304d 6249
0x00004DDB	0x00002038	0x0000395E	0	10010163	12910441	101120	7110	0	2002	0	123		0	0	1	0	0	0	1		7011	-1	 006d 0032 0039 005f 0030 0031 0020 0031 0046 4e0a 6bb5 9375 4ed8 304d 6249
0x00004DDC	0x00002068	0x0000397E	0	10010163	12910442	101120	7110	0	2003	0	123		0	0	1	0	0	0	1		7011	-1	 006d 0032 0039 005f 0030 0031 0020 0032 0046 4e2d 6bb5 9375 4ed8 304d 6249
0x00004DDD	0x00002098	0x0000399E	0	10010163	12910443	101120	7110	0	2004	0	123		0	0	1	0	0	0	1		7011	-1	 006d 0032 0039 005f 0030 0031 0020 0033 0046 4e2d 6bb5 9375 4ed8 304d 6249
0x00004DDE	0x000020C8	0x000039BE	0	10010163	12910444	101120	7110	0	2005	0	123		0	0	1	0	0	0	1		7011	-1	 006d 0032 0039 005f 0030 0031 0020 0033 0046 30dc 30b9 524d 9375 4ed8 304d 6249
0x00006B09	0x000020F8	0x000039E0	10010400	10010163	11700320	101100	7110	60	2006	0	100		0	60	1	0	60	0	1		-1	-1	 006d 0031 0037 005f 0030 0030 005f 5927 7262 5c4b
0x000F4240	0x00002128	0x000039F6	10010500	-1	-1	101150	7100	150	0	0	191		1	60	0	0	30	0	0		-1	-1	 30c7 30d5 30a9 30eb 30c8
0x001EAB90	0x00002158	0x00003A02	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	0		7100	-1	 30ec 30d0 30fc ff08 5b64 5150 9662 5916 002f 30a8 30ec 30d9 30fc 30bf 30fc 4e0a 4e0b ff09
0x001EAB9A	0x00002188	0x00003A28	0	-1	-1	101111	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 6249 ff08 30b9 30bf 30fc 30c8 90e8 5c4b ff09
0x001EABA4	0x000021B8	0x00003A3C	0	-1	-1	101112	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 6249 ff08 8056 5802 ff09
0x001EABAE	0x000021E8	0x00003A48	0	-1	-1	101110	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 6249 ff08 5b64 5150 9662 0031 0046 002f 0032 0046 ff09
0x002191CA	0x00002218	0x00003A60	0	-1	-1	101112	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0032 005f 0030 0030 005f 6249 005f 5165 53e3
0x002191D4	0x00002248	0x00003A78	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	0		7100	-1	 006d 0032 0032 005f 0030 0030 005f 30ec 30d0 30fc
0x002191DE	0x00002278	0x00003A8E	0	10010163	-1	101104	7110	0	0	0	121		0	0	0	0	0	0	1		2200030	-1	 006d 0032 0032 005f 0030 0030 005f 6249 005f 30dc 30b9 90e8 5c4b 5f8c
0x00231860	0x000022A8	0x00003AAC	0	10010161	-1	101105	7112	0	0	0	120		1	0	0	0	0	0	1		2300011	-1	 006d 0032 0033 005f 0030 0030 005f 4e00 65b9 901a 884c 6249 005f 5f15 3044 3066 958b 3051 308b
0x00231861	0x000022D8	0x00003AD4	0	10010161	-1	101104	7110	0	0	0	121		1	0	0	0	0	0	1		2300010	-1	 006d 0032 0033 005f 0030 0030 005f 4e00 65b9 901a 884c 6249 005f 62bc 3057 3066 958b 3051 308b
0x0023186A	0x00002308	0x00003AFC	0	10010161	-1	101112	7120	0	0	0	121		1	0	0	0	0	0	1		2300010	-1	 006d 0032 0033 005f 0030 0030 005f 4e21 958b 304d 005f 4e00 65b9 901a 884c 6249
0x0023186B	0x00002338	0x00003B1E	0	10010161	-1	101112	7120	0	0	0	120		1	0	0	0	0	0	1		2300011	-1	 006d 0032 0033 005f 0030 0030 005f 4e21 958b 304d 005f 8b66 544a 306e 6249
0x00249F00	0x00002368	0x00003B3E	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	0		7100	-1	 006d 0032 0034 005f 0030 0030 005f 30ec 30d0 30fc 005f 5b64 5150 9662 005f 5916
0x00249F0A	0x00002398	0x00003B60	0	-1	-1	101112	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 8056 5802
0x00249F14	0x000023C8	0x00003B78	0	-1	-1	101110	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 5b64 5150 9662 0032 0046
0x00249F1E	0x000023F8	0x00003B96	0	-1	-1	101110	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 5b64 5150 9662 0031 0046
0x00249F28	0x00002428	0x00003BB4	0	10010163	-1	101110	7120	0	2006	0	120		1	0	1	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 8056 5802 5927 9580 9375 4ed8 304d
0x00249F32	0x00002458	0x00003BD6	0	-1	-1	0	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 5f8c 534a 6700 521d 306e 6249
0x00249F3C	0x00002488	0x00003BF2	0	-1	-1	101141	7521	0	0	0	100		0	0	0	0	0	0	1		7210	-1	 5b9d 7bb1 ff08 4e2d ff09
0x00249F46	0x000024B8	0x00003BFE	0	-1	-1	101143	7524	0	0	0	100		0	0	0	0	0	0	1		7220	-1	 5b9d 7bb1 ff08 5927 ff09
0x00249F50	0x000024E8	0x00003C0A	0	10010163	-1	101110	7120	0	4001	0	120		1	0	1	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 68ee 306e 6249
0x00249F5A	0x00002518	0x00003C20	0	-1	-1	101111	7110	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 73fe 5b9f 62e0 70b9 5165 53e3
0x00249F5B	0x00002548	0x00003C40	0	-1	-1	101111	7110	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0030 005f 6249 005f 8056 5802 8857 0041 0043 63a5 7d9a 5854 6700 4e0b 5c64
0x00249F64	0x00002578	0x00003C6A	0	10010163	-1	101111	7110	0	4010	0	120		1	0	1	0	0	0	1		7000	10010874	 006d 0032 0034 005f 0030 0030 005f 6249 005f 8056 5802 8857 0043 5f8c 534a 5165 53e3
0x00249F6E	0x000025A8	0x00003C8E	0	-1	-1	101104	7110	0	0	0	121		1	0	0	0	0	0	1		7031	-1	 006d 0032 0034 005f 0030 0030 0020 6249 005f 8056 5802 8857 0041 3068 5ec3 589f 3068 306e 3064 306a 304e 6249
0x0024A2E7	0x000025D8	0x00003CBC	0	0	-1	101200	7010	0	0	0	191		1	0	0	0	0	0	0		7100	-1	 006d 0032 0034 005f 0030 0030 005f 5927 7832 767a 5c04 ff08 4eee ff09
0x0024C610	0x00002608	0x00003CDA	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	0		2410001	-1	 006d 0032 0034 005f 0030 0031 005f 30ec 30d0 30fc 005f 6c4e 7528
0x0024C611	0x00002638	0x00003CF6	0	10010163	-1	101150	7100	0	4000	0	191		1	0	1	0	0	0	0		2410001	-1	 006d 0032 0034 005f 0030 0031 005f 30ec 30d0 30fc 005f 30dc 30b9 9375
0x0024C61A	0x00002668	0x00003D14	0	-1	-1	101111	7120	0	0	0	120		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0031 005f 4e21 958b 304d 6249
0x0024C624	0x00002698	0x00003D2C	0	-1	-1	101150	7100	0	0	0	191		1	0	0	0	0	0	1		7100	-1	 006d 0032 0034 005f 0030 0031 005f 5927 7832 767a 5c04
0x0024C62E	0x000026C8	0x00003D44	0	-1	-1	101110	7120	0	0	0	120		1	0	0	0	0	0	1		7002	-1	 006d 0032 0034 005f 0030 0031 005f 4e21 958b 304d 6249 005f 0045 0033 7248 958b 59cb 5730 70b9
0x0024C638	0x000026F8	0x00003D6C	0	-1	-1	101113	7110	0	0	0	121		1	0	0	0	0	0	1		2410050	-1	 006d 0032 0034 005f 0030 0031 005f 5c0f 6249 005f 62bc 3057 3066 958b 3051 308b
0x0024C642	0x00002728	0x00003D8E	0	-1	-1	101100	7110	0	0	0	100		1	0	0	0	0	0	1		7000	-1	 006d 0032 0034 005f 0030 0031 005f 5c0f 6249 005f 958b 9589 53ef 80fd
0x0024C64C	0x00002758	0x00003DAC	0	-1	-1	101104	7110	0	0	0	121		1	0	0	0	0	0	1		2410011	-1	 006d 0032 0034 005f 0030 0031 005f 6249 005f 5927 6a4b 5965
