infoStartAddr:	0xEBA68
numEntries:	0x3ED6	16086
title:	GEMEFFECT_PARAM_ST
paramStartAddr:	0x0005E450
entryID   	paramAddr 	infoAddr  	speffectId	categoryId	effectRank	rankMin	rankMax	disposalPrice	gemIconIdOffset	pad0[2]	gemNameIdOffset	speffectId_forAtk
0x000003EA	0x0005E6B4	0x000EBBBC	12620	200	1	0	100	10	3	3	3	-1	 653b 6483 529b 3010 523a 7a81 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003EB	0x0005E6D8	0x000EBBDA	13620	200	1	0	100	10	4	4	4	-1	 653b 6483 529b 3010 9283 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003EC	0x0005E6FC	0x000EBBF6	14620	200	1	0	100	10	5	5	5	-1	 653b 6483 529b 3010 9b54 6cd5 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003ED	0x0005E720	0x000EBC14	15620	200	1	0	100	10	6	6	6	-1	 653b 6483 529b 3010 708e 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003EE	0x0005E744	0x000EBC30	16620	200	1	0	100	10	7	7	7	-1	 653b 6483 529b 3010 96f7 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003EF	0x0005E768	0x000EBC4C	17620	200	1	0	100	10	8	8	8	-1	 653b 6483 529b 3010 7269 7406 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003F0	0x0005E78C	0x000EBC6A	18620	200	1	0	100	10	9	9	9	-1	 653b 6483 529b 3010 5168 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x000003F1	0x0005E7B0	0x000EBC86	19620	200	1	0	100	10	10	10	10	-1	 653b 6483 529b 3010 65ac 6483 3011 500d 7387 002b 0031 0030 0025
0x000003F2	0x0005E7D4	0x000EBCA2	20620	200	1	0	100	10	11	11	11	-1	 653b 6483 529b 3010 6253 6483 3011 500d 7387 002b 0031 0030 0025
0x000003F3	0x0005E7F8	0x000EBCBE	21620	200	1	0	100	10	12	12	12	-1	 653b 6483 529b 3010 523a 7a81 3011 500d 7387 002b 0031 0030 0025
0x000003F4	0x0005E81C	0x000EBCDA	22620	200	1	0	100	10	13	13	13	-1	 653b 6483 529b 3010 9283 3011 500d 7387 002b 0031 0030 0025
0x000003F5	0x0005E840	0x000EBCF4	23620	200	1	0	100	10	14	14	14	-1	 653b 6483 529b 3010 9b54 6cd5 3011 500d 7387 002b 0031 0030 0025
0x000003F6	0x0005E864	0x000EBD10	24620	200	1	0	100	10	15	15	15	-1	 653b 6483 529b 3010 708e 3011 500d 7387 002b 0031 0030 0025
0x000003F7	0x0005E888	0x000EBD2A	25620	200	1	0	100	10	16	16	16	-1	 653b 6483 529b 3010 96f7 3011 500d 7387 002b 0031 0030 0025
0x000003F8	0x0005E8AC	0x000EBD44	26620	200	1	0	100	10	17	17	17	-1	 653b 6483 529b 3010 7269 7406 3011 500d 7387 002b 0031 0030 0025
0x000003F9	0x0005E8D0	0x000EBD60	27620	200	1	0	100	10	18	18	18	-1	 653b 6483 529b 3010 5168 3011 500d 7387 002b 0031 0030 0025
0x000003FA	0x0005E8F4	0x000EBD7A	29620	200	1	0	100	10	19	19	19	-1	 6b66 5668 88dc 6b63 3010 7b4b 529b 3011 002b 0031 0030 0030
0x000003FB	0x0005E918	0x000EBD94	30620	200	1	0	100	10	20	20	20	-1	 6b66 5668 88dc 6b63 3010 6280 91cf 3011 002b 0031 0030 0030
0x000003FC	0x0005E93C	0x000EBDAE	31620	200	1	0	100	10	21	21	21	-1	 6b66 5668 88dc 6b63 3010 5c04 6483 3011 002b 0031 0030 0030
0x000003FD	0x0005E960	0x000EBDC8	32620	200	1	0	100	10	22	22	22	-1	 6b66 5668 88dc 6b63 3010 9b54 6cd5 3011 002b 0031 0030 0030
0x000003FE	0x0005E984	0x000EBDE2	33620	200	1	0	100	10	23	23	23	-1	 7279 653b 3010 7363 3011 500d 7387 002b 0031 0030 0025
0x000003FF	0x0005E9A8	0x000EBDFA	35620	200	1	0	100	10	24	24	24	-1	 7279 653b 3010 6708 3011 500d 7387 002b 0031 0030 0025
0x00000400	0x0005E9CC	0x000EBE12	-1	200	1	0	100	10	25	25	25	37620	 72b6 614b 7570 5e38 653b 6483 529b 3010 6bd2 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x00000401	0x0005E9F0	0x000EBE36	-1	200	1	0	100	10	26	26	26	38620	 72b6 614b 7570 5e38 653b 6483 529b 3010 51fa 8840 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x00000402	0x0005EA14	0x000EBE5C	39620	200	1	0	100	10	27	27	27	-1	 30ab 30a6 30f3 30bf 30fc 30c0 30e1 30fc 30b8 500d 7387 002b 0031 0030 0025
0x00000403	0x0005EA38	0x000EBE7C	40620	200	1	0	100	10	28	28	28	-1	 653b 6483 6642 30b9 30bf 30df 30ca 6d88 8cbb 002d 0031 0030 0025
0x00000404	0x0005EA5C	0x000EBE98	42620	200	1	0	100	10	29	29	29	-1	 653b 6483 529b 3010 6e9c 3081 3011 500d 7387 002b 0031 0030 0025
0x00000405	0x0005EA80	0x000EBEB4	43620	200	1	0	100	10	30	30	30	-1	 0048 0050 30ea 30b8 30a7 30cd 002b 0031 0030
0x00000406	0x0005EAA4	0x000EBEC8	45620	200	1	0	100	10	31	31	31	-1	 30ea 30b2 30a4 30f3 56de 5fa9 91cf 002b 0031 0030
0x00000407	0x0005EAC8	0x000EBEDE	46620	200	1	0	100	10	32	32	32	-1	 6b66 5668 8010 4e45 5ea6 3011 002b 0031 0030
0x00000408	0x0005EAEC	0x000EBEF2	48620	200	1	0	100	10	33	33	33	-1	 653b 6483 529b 3010 7269 7406 3011 3010 0048 0050 6700 5927 6642 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x00000409	0x0005EB10	0x000EBF1E	49620	200	1	0	100	10	34	34	34	-1	 653b 6483 529b 3010 7269 7406 3011 3010 0048 0050 7015 6b7b 6642 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x0000040A	0x0005EB34	0x000EBF4A	50620	200	1	0	100	10	35	35	35	-1	 653b 6483 529b 3010 7269 7406 3011 3010 4ed6 0050 0043 30dc 30b9 6483 7834 914d 4fe1 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x0000040B	0x0005EB58	0x000EBF7E	51620	200	1	0	100	10	36	36	36	-1	 653b 6483 529b 3010 5168 3011 3010 0048 0050 6700 5927 6642 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x0000040C	0x0005EB7C	0x000EBFA8	52620	200	1	0	100	10	37	37	37	-1	 653b 6483 529b 3010 5168 3011 3010 0048 0050 7015 6b7b 6642 3011 56fa 5b9a 5024 002b 0031 0030 0030
0x0000040D	0x0005EBA0	0x000EBFD2	53620	200	1	0	100	10	38	38	38	-1	 653b 6483 529b 3010 5168 3011 3010 4ed6 0050 0043 30dc 30b9 6483 7834 914d 4fe1 3011 002b 0031 0030 0030
0x0000040E	0x0005EBC4	0x000EBFFE	54620	200	1	0	100	10	39	39	39	-1	 0048 0050 30ea 30b8 30a7 30cd 3010 7269 7406 3011 3010 0048 0050 6700 5927 6642 3011 002b 0031 0030
0x0000040F	0x0005EBE8	0x000EC028	55620	200	1	0	100	10	40	40	40	-1	 0048 0050 30ea 30b8 30a7 30cd 3010 7269 7406 3011 3010 0048 0050 7015 6b7b 6642 3011 002b 0031 0030
0x00000410	0x0005EC0C	0x000EC052	56620	200	1	0	100	10	41	41	41	-1	 0048 0050 30ea 30b8 30a7 30cd 3010 7269 7406 3011 3010 4ed6 0050 0043 30dc 30b9 6483 7834 914d 4fe1 3011 002b 0031 0030
0x00000411	0x0005EC30	0x000EC084	59000	200	1	0	100	10	42	42	42	-1	 653b 6483 97f3 6d88 53bb
0x00000412	0x0005EC54	0x000EC090	103002	200	1	0	100	10	43	43	43	-1	 6700 5927 0048 0050 ff08 500d 7387 ff09 002b 0031 0030 0025
0x00000413	0x0005EC78	0x000EC0AA	136004	200	1	0	100	10	44	44	44	-1	 6700 5927 5f3e 4e38 6240 6301 6570 002b 0031 0030
0x00000414	0x0005EC9C	0x000EC0C0	105002	200	1	0	100	10	45	45	45	-1	 6700 5927 30b9 30bf 30df 30ca 002b 0031 0030 0025
0x00000415	0x0005ECC0	0x000EC0D6	-1	200	1	0	100	10	46	46	46	-1	 9b54 6cd5 5c5e 6027 5909 63db
0x00000416	0x0005ECE4	0x000EC0E4	-1	200	1	0	100	10	47	47	47	-1	 708e 5c5e 6027 5909 63db
0x00000417	0x0005ED08	0x000EC0F0	-1	200	1	0	100	10	48	48	48	-1	 96f7 5c5e 6027 5909 63db
0x0000044C	0x0005ED2C	0x000EC0FC	28620	200	1	0	100	-10	0	0	0	-1	 653b 6483 529b 3010 5168 3011 500d 7387 002d 0031 0030 0025
0x0000044D	0x0005ED50	0x000EC116	34620	200	1	0	100	-10	0	0	0	-1	 7279 653b 3010 7363 3011 500d 7387 002d 0031 0030 0025
0x0000044E	0x0005ED74	0x000EC12E	36620	200	1	0	100	-10	0	0	0	-1	 7279 653b 3010 6708 3011 500d 7387 002d 0031 0030 0025
0x0000044F	0x0005ED98	0x000EC146	41620	200	1	0	100	-10	0	0	0	-1	 653b 6483 6642 30b9 30bf 30df 30ca 6d88 8cbb 002b 0031 0030 0025
0x00000450	0x0005EDBC	0x000EC162	43620	200	1	0	100	-10	0	0	0	-1	 0048 0050 30ea 30b8 30a7 30cd 002d 0031 0030
0x00000451	0x0005EDE0	0x000EC176	47620	200	1	0	100	-10	0	0	0	-1	 6b66 5668 8010 4e45 5ea6 002d 0031 0030
0x00000452	0x0005EE04	0x000EC188	57620	200	1	0	100	-10	0	0	0	-1	 653b 6483 6642 0048 0050 30c0 30e1 30fc 30b8 002d 0031 0030
0x00000453	0x0005EE28	0x000EC1A2	104620	200	1	0	100	-10	0	0	0	-1	 6700 5927 0048 0050 ff08 500d 7387 ff09 002d 0031 0030 0025
0x00000454	0x0005EE4C	0x000EC1BC	106620	200	1	0	100	-10	0	0	0	-1	 6700 5927 30b9 30bf 30df 30ca ff08 500d 7387 ff09 002d 0031 0030 0025
0x00000455	0x0005EE70	0x000EC1DA	137004	200	1	0	100	-10	0	0	0	-1	 6700 5927 5f3e 4e38 6240 6301 6570 002d 0031 0030
0x000004B0	0x0005EE94	0x000EC1F0	100002	200	1	0	100	10	0	0	0	-1	 53d6 5f97 30bd 30a6 30eb 91cf 002b 0031 0030 0025
0x000004B1	0x0005EEB8	0x000EC206	102002	200	1	0	100	10	0	0	0	-1	 30a2 30a4 30c6 30e0 30c9 30ed 30c3 30d7 7387 002b 0031 0030 0025
0x000004B2	0x0005EEDC	0x000EC222	103002	200	1	0	100	10	0	0	0	-1	 6700 5927 0048 0050 ff08 500d 7387 ff09 002b 0031 0030 0025
0x000004B3	0x0005EF00	0x000EC23C	105002	200	1	0	100	10	0	0	0	-1	 6700 5927 30b9 30bf 30df 30ca 002b 0031 0030 0025
0x000004B4	0x0005EF24	0x000EC252	107002	200	1	0	100	10	0	0	0	-1	 6295 3052 3010 30c0 30e1 30fc 30b8 3011 002b 0031 0030 0025
0x000004B5	0x0005EF48	0x000EC26C	108002	200	1	0	100	10	0	0	0	-1	 6295 3052 3010 0048 0050 56de 5fa9 3011 002b 0031 0030
0x000004B6	0x0005EF6C	0x000EC284	109002	200	1	0	100	10	0	0	0	-1	 6295 3052 3010 004d 0050 56de 5fa9 3011 002b 0031 0030
0x000004B7	0x0005EF90	0x000EC29C	-1	200	1	0	100	10	0	0	0	-1	 6295 3052 3010 30bd 30a6 30eb 53d6 5f97 3011 002b 0031 0030 0025
0x000004B8	0x0005EFB4	0x000EC2B8	114002	200	1	0	100	10	0	0	0	-1	 6295 3052 3010 72b6 614b 7570 5e38 56de 5fa9 3011
0x000004B9	0x0005EFD8	0x000EC2CE	115002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 65ac 6483 3011 002b 0031 0030 0025
0x000004BA	0x0005EFFC	0x000EC2EE	116002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 6253 6483 3011 002b 0031 0030 0025
0x000004BB	0x0005F020	0x000EC30E	117002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 523a 7a81 3011 002b 0031 0030 0025
0x000004BC	0x0005F044	0x000EC32E	118002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 9283 3011 002b 0031 0030 0025
0x000004BD	0x0005F068	0x000EC34C	119002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 708e 3011 002b 0031 0030 0025
0x000004BE	0x0005F08C	0x000EC36A	120002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 9b54 6cd5 3011 002b 0031 0030 0025
0x000004BF	0x0005F0B0	0x000EC38A	121002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 96f7 3011 002b 0031 0030 0025
0x000004C0	0x0005F0D4	0x000EC3A8	122002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 7269 7406 3011 002b 0031 0030 0025
0x000004C1	0x0005F0F8	0x000EC3C8	123002	200	1	0	100	10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 5168 3011 002b 0031 0030 0025
0x000004C2	0x0005F11C	0x000EC3E6	125002	200	1	0	100	10	0	0	0	-1	 8010 6027 5024 3010 6bd2 3011 002b 0031 0030
0x000004C3	0x0005F140	0x000EC3FA	126002	200	1	0	100	10	0	0	0	-1	 8010 6027 5024 3010 51fa 8840 3011 002b 0031 0030
0x000004C4	0x0005F164	0x000EC410	127002	200	1	0	100	10	0	0	0	-1	 8010 6027 5024 3010 72c2 6c17 3011 002b 0031 0030
0x000004C5	0x0005F188	0x000EC426	128002	200	1	0	100	10	0	0	0	-1	 8010 6027 5024 3010 5168 3011 002b 0031 0030
0x000004C6	0x0005F1AC	0x000EC43A	129002	200	1	0	100	10	0	0	0	-1	 7363 5316 5024 002b 0031 0030
0x000004C7	0x0005F1D0	0x000EC448	132002	200	1	0	100	10	0	0	0	-1	 30a8 30b9 30c8 52b9 679c 91cf 002b 0031 0030 0025
0x000004C8	0x0005F1F4	0x000EC45E	134004	200	1	0	100	10	0	0	0	-1	 30a8 30b9 30c8 6240 6301 4e0a 9650 002b 0031 0030
0x000004C9	0x0005F218	0x000EC474	138002	200	1	0	100	10	0	0	0	-1	 30b9 30bf 30df 30ca 56de 5fa9 901f 5ea6 002b 0031 0030
0x000004CA	0x0005F23C	0x000EC48C	140002	200	1	0	100	10	0	0	0	-1	 7740 5730 8efd 6e1b ff08 500d 7387 ff09 002d 0031 0030 0025
0x000004CB	0x0005F260	0x000EC4A6	136004	200	1	0	100	10	0	0	0	-1	 6700 5927 6240 6301 5f3e 4e38 002b 0031 0030
0x00000514	0x0005F284	0x000EC4BA	101002	200	1	0	100	-10	0	0	0	-1	 53d6 5f97 30bd 30a6 30eb 91cf 002d 0031 0030 0025
0x00000515	0x0005F2A8	0x000EC4D0	104620	200	1	0	100	-10	0	0	0	-1	 6700 5927 0048 0050 ff08 500d 7387 ff09 002d 0031 0030 0025
0x00000516	0x0005F2CC	0x000EC4EA	106620	200	1	0	100	-10	0	0	0	-1	 6700 5927 30b9 30bf 30df 30ca 002d 0031 0030 0025
0x00000517	0x0005F2F0	0x000EC500	120002	200	1	0	100	-10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 708e 3011 002d 0031 0030 0025
0x00000518	0x0005F314	0x000EC51E	124002	200	1	0	100	-10	0	0	0	-1	 30c0 30e1 30fc 30b8 30ab 30c3 30c8 3010 5168 3011 002d 0031 0030 0025
0x00000519	0x0005F338	0x000EC53C	-1	200	1	0	100	-10	0	0	0	-1	 8010 6027 5024 3010 5168 3011 002d 0031 0030
0x0000051A	0x0005F35C	0x000EC550	133002	200	1	0	100	-10	0	0	0	-1	 30a8 30b9 30c8 52b9 679c 91cf 002d 0031 0030 0025
0x0000051B	0x0005F380	0x000EC566	135004	200	1	0	100	-10	0	0	0	-1	 30a8 30b9 30c8 6240 6301 4e0a 9650 002d 0031 0030
0x0000051C	0x0005F3A4	0x000EC57C	139002	200	1	0	100	-10	0	0	0	-1	 30b9 30bf 30df 30ca 56de 5fa9 901f 5ea6 002d 0031 0030
0x0000051D	0x0005F3C8	0x000EC594	137004	200	1	0	100	-10	0	0	0	-1	 6700 5927 6240 6301 5f3e 4e38 002d 0031 0030
0x00002775	0x0005F3EC	0x000EC5A8	10101	10100	1	0	100	10	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031
0x00002776	0x0005F410	0x000EC5D8	10102	10100	2	0	100	20	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0032
0x00002777	0x0005F434	0x000EC608	10103	10100	3	0	100	30	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0033
0x00002778	0x0005F458	0x000EC638	10104	10100	4	0	100	40	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0034
0x00002779	0x0005F47C	0x000EC668	10105	10100	5	0	100	50	1	1	1	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0035
0x0000277A	0x0005F4A0	0x000EC698	10106	10100	6	0	100	60	1	1	1	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0036
0x0000277B	0x0005F4C4	0x000EC6C8	10107	10100	7	0	100	70	1	1	1	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0037
0x0000277C	0x0005F4E8	0x000EC6F8	10108	10100	8	0	100	80	2	2	2	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0038
0x0000277D	0x0005F50C	0x000EC728	10109	10100	9	0	100	90	2	2	2	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0039
0x0000277E	0x0005F530	0x000EC758	10110	10100	10	0	100	100	2	2	2	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0030
0x0000277F	0x0005F554	0x000EC78A	10111	10100	11	0	100	110	3	3	3	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0031
0x00002780	0x0005F578	0x000EC7BC	10112	10100	12	0	100	120	3	3	3	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0032
0x00002781	0x0005F59C	0x000EC7EE	10113	10100	13	0	100	130	3	3	3	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0033
0x00002782	0x0005F5C0	0x000EC820	10114	10100	14	0	100	140	4	4	4	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0034
0x00002783	0x0005F5E4	0x000EC852	10115	10100	15	0	100	150	4	4	4	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0035
0x00002784	0x0005F608	0x000EC884	10116	10100	16	0	100	160	4	4	4	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0036
0x00002785	0x0005F62C	0x000EC8B6	10117	10100	17	0	100	170	5	5	5	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0037
0x00002786	0x0005F650	0x000EC8E8	10118	10100	18	0	100	180	5	5	5	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0038
0x00002787	0x0005F674	0x000EC91A	10119	10100	19	0	100	190	5	5	5	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0031 0039
0x00002788	0x0005F698	0x000EC94C	10120	10100	20	0	100	200	6	6	6	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0031 0020 0072 0061 006e 006b 0032 0030
0x000027D9	0x0005F6BC	0x000EC97E	10201	10200	1	0	100	20	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0031
0x000027DA	0x0005F6E0	0x000EC9AE	10202	10200	2	0	100	40	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0032
0x000027DB	0x0005F704	0x000EC9DE	10203	10200	3	0	100	60	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0033
0x000027DC	0x0005F728	0x000ECA0E	10204	10200	4	0	100	80	0	0	0	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0034
0x000027DD	0x0005F74C	0x000ECA3E	10205	10200	5	0	100	100	1	1	1	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0035
0x000027DE	0x0005F770	0x000ECA6E	10206	10200	6	0	100	120	1	1	1	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0036
0x000027DF	0x0005F794	0x000ECA9E	10207	10200	7	0	100	140	1	1	1	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0037
0x000027E0	0x0005F7B8	0x000ECACE	10208	10200	8	0	100	160	2	2	2	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0038
0x000027E1	0x0005F7DC	0x000ECAFE	10209	10200	9	0	100	180	2	2	2	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0039
0x000027E2	0x0005F800	0x000ECB2E	10210	10200	10	0	100	200	2	2	2	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0031 0030
0x000027E3	0x0005F824	0x000ECB60	10211	10200	11	0	100	220	3	3	3	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0031 0031
0x000027E4	0x0005F848	0x000ECB92	10212	10200	12	0	100	240	3	3	3	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0031 0032
0x000027E5	0x0005F86C	0x000ECBC4	10213	10200	13	0	100	260	3	3	3	-1	 653b 6483 529b 3010 65ac 6483 3011 56fa 5b9a 5024 002b 0020 0063 006f 0073 0074 0032 0020 0072 0061 006e 006b 0031 0033
