infoStartAddr:	0xB710
numEntries:	0x28A	650
title:	WEAPON_GEN_PARAM_ST
paramStartAddr:	0x00003D30
entryID   	paramAddr 	infoAddr  	wepParamId	gemSlotType_0	gemGenId_0	gemSlotType_1	gemGenId_1	gemSlotType_2	gemGenId_2	gemSlotType_3	gemGenId_3	gemSlotType_4	gemGenId_4	equipableGemSegmentMask	reserveGemSlotNo_0	reserveGemSlotNo_1	reserveGemSlotNo_2
0x001E85AC	0x00003F10	0x0000B846	2000300	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff13
0x001E8610	0x00003F40	0x0000B852	2000400	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff14
0x001E8674	0x00003F70	0x0000B85E	2000500	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff15
0x001E86D8	0x00003FA0	0x0000B86A	2000600	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff16
0x001E873C	0x00003FD0	0x0000B876	2000700	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff17
0x001E87A0	0x00004000	0x0000B882	2000800	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff18
0x001E8804	0x00004030	0x0000B88E	2000900	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff19
0x001E8868	0x00004060	0x0000B89A	2001000	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65e5 672c 5200 ff0b ff11 ff10
0x001EAB90	0x00004090	0x0000B8A8	2010000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200
0x001EABF4	0x000040C0	0x0000B8B0	2010100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff11
0x001EAC58	0x000040F0	0x0000B8BC	2010200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff12
0x001EACBC	0x00004120	0x0000B8C8	2010300	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff13
0x001EAD20	0x00004150	0x0000B8D4	2010400	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff14
0x001EAD84	0x00004180	0x0000B8E0	2010500	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff15
0x001EADE8	0x000041B0	0x0000B8EC	2010600	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff16
0x001EAE4C	0x000041E0	0x0000B8F8	2010700	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff17
0x001EAEB0	0x00004210	0x0000B904	2010800	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff18
0x001EAF14	0x00004240	0x0000B910	2010900	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff19
0x001EAF78	0x00004270	0x0000B91C	2011000	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65e5 672c 5200 ff0b ff11 ff10
0x001ED2A0	0x000042A0	0x0000B92A	2020000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200
0x001ED304	0x000042D0	0x0000B932	2020100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff11
0x001ED368	0x00004300	0x0000B93E	2020200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff12
0x001ED3CC	0x00004330	0x0000B94A	2020300	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff13
0x001ED430	0x00004360	0x0000B956	2020400	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff14
0x001ED494	0x00004390	0x0000B962	2020500	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff15
0x001ED4F8	0x000043C0	0x0000B96E	2020600	00000001	-1	00000001	-1	00000008	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff16
0x001ED55C	0x000043F0	0x0000B97A	2020700	00000001	-1	00000001	-1	00000008	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff17
0x001ED5C0	0x00004420	0x0000B986	2020800	00000001	-1	00000001	-1	00000008	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff18
0x001ED624	0x00004450	0x0000B992	2020900	00000001	-1	00000001	-1	00000008	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff19
0x001ED688	0x00004480	0x0000B99E	2021000	00000001	-1	00000001	-1	00000008	-1	80000100	-1	80000100	-1	1	1	1	4	 65e5 672c 5200 ff0b ff11 ff10
0x001FE410	0x000044B0	0x0000B9AC	2090000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 5f98 5f8a 5200
0x003D0900	0x000044E0	0x0000B9B4	4000000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263
0x003D0964	0x00004510	0x0000B9BA	4000100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff11
0x003D09C8	0x00004540	0x0000B9C4	4000200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff12
0x003D0A2C	0x00004570	0x0000B9CE	4000300	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff13
0x003D0A90	0x000045A0	0x0000B9D8	4000400	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff14
0x003D0AF4	0x000045D0	0x0000B9E2	4000500	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff15
0x003D0B58	0x00004600	0x0000B9EC	4000600	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff16
0x003D0BBC	0x00004630	0x0000B9F6	4000700	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff17
0x003D0C20	0x00004660	0x0000BA00	4000800	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff18
0x003D0C84	0x00004690	0x0000BA0A	4000900	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff19
0x003D0CE8	0x000046C0	0x0000BA14	4001000	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 53cc 5263 ff0b ff11 ff10
0x003D3010	0x000046F0	0x0000BA20	4010000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263
0x003D3074	0x00004720	0x0000BA26	4010100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff11
0x003D30D8	0x00004750	0x0000BA30	4010200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff12
0x003D313C	0x00004780	0x0000BA3A	4010300	00000001	-1	00000004	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff13
0x003D31A0	0x000047B0	0x0000BA44	4010400	00000001	-1	00000004	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff14
0x003D3204	0x000047E0	0x0000BA4E	4010500	00000001	-1	00000004	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff15
0x003D3268	0x00004810	0x0000BA58	4010600	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff16
0x003D32CC	0x00004840	0x0000BA62	4010700	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff17
0x003D3330	0x00004870	0x0000BA6C	4010800	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff18
0x003D3394	0x000048A0	0x0000BA76	4010900	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff19
0x003D33F8	0x000048D0	0x0000BA80	4011000	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 53cc 5263 ff0b ff11 ff10
0x003D5720	0x00004900	0x0000BA8C	4020000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263
0x003D5784	0x00004930	0x0000BA92	4020100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff11
0x003D57E8	0x00004960	0x0000BA9C	4020200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff12
0x003D584C	0x00004990	0x0000BAA6	4020300	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff13
0x003D58B0	0x000049C0	0x0000BAB0	4020400	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff14
0x003D5914	0x000049F0	0x0000BABA	4020500	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff15
0x003D5978	0x00004A20	0x0000BAC4	4020600	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff16
0x003D59DC	0x00004A50	0x0000BACE	4020700	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff17
0x003D5A40	0x00004A80	0x0000BAD8	4020800	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff18
0x003D5AA4	0x00004AB0	0x0000BAE2	4020900	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff19
0x003D5B08	0x00004AE0	0x0000BAEC	4021000	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 53cc 5263 ff0b ff11 ff10
0x003E6890	0x00004B10	0x0000BAF8	4090000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 5f98 5f8a 53cc 5263
0x004C4B40	0x00004B40	0x0000BB02	5000000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff
0x004C4BA4	0x00004B70	0x0000BB08	5000100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff11
0x004C4C08	0x00004BA0	0x0000BB12	5000200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff12
0x004C4C6C	0x00004BD0	0x0000BB1C	5000300	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff13
0x004C4CD0	0x00004C00	0x0000BB26	5000400	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff14
0x004C4D34	0x00004C30	0x0000BB30	5000500	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff15
0x004C4D98	0x00004C60	0x0000BB3A	5000600	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff16
0x004C4DFC	0x00004C90	0x0000BB44	5000700	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff17
0x004C4E60	0x00004CC0	0x0000BB4E	5000800	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff18
0x004C4EC4	0x00004CF0	0x0000BB58	5000900	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff19
0x004C4F28	0x00004D20	0x0000BB62	5001000	00000001	-1	00000001	-1	00000002	-1	80000100	-1	80000100	-1	1	1	1	2	 65a7 7aff ff0b ff11 ff10
0x004C7250	0x00004D50	0x0000BB6E	5010000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff
0x004C72B4	0x00004D80	0x0000BB74	5010100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff11
0x004C7318	0x00004DB0	0x0000BB7E	5010200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff12
0x004C737C	0x00004DE0	0x0000BB88	5010300	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff13
0x004C73E0	0x00004E10	0x0000BB92	5010400	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff14
0x004C7444	0x00004E40	0x0000BB9C	5010500	00000001	-1	00000001	-1	80000100	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff15
0x004C74A8	0x00004E70	0x0000BBA6	5010600	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff16
0x004C750C	0x00004EA0	0x0000BBB0	5010700	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff17
0x004C7570	0x00004ED0	0x0000BBBA	5010800	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff18
0x004C75D4	0x00004F00	0x0000BBC4	5010900	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff19
0x004C7638	0x00004F30	0x0000BBCE	5011000	00000001	-1	00000001	-1	00000004	-1	80000100	-1	80000100	-1	1	1	1	3	 65a7 7aff ff0b ff11 ff10
0x004C9960	0x00004F60	0x0000BBDA	5020000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff
0x004C99C4	0x00004F90	0x0000BBE0	5020100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff11
0x004C9A28	0x00004FC0	0x0000BBEA	5020200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff12
0x004C9A8C	0x00004FF0	0x0000BBF4	5020300	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff13
0x004C9AF0	0x00005020	0x0000BBFE	5020400	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff14
0x004C9B54	0x00005050	0x0000BC08	5020500	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff15
0x004C9BB8	0x00005080	0x0000BC12	5020600	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff16
0x004C9C1C	0x000050B0	0x0000BC1C	5020700	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff17
0x004C9C80	0x000050E0	0x0000BC26	5020800	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff18
0x004C9CE4	0x00005110	0x0000BC30	5020900	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff19
0x004C9D48	0x00005140	0x0000BC3A	5021000	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 65a7 7aff ff0b ff11 ff10
0x004DAAD0	0x00005170	0x0000BC46	5090000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 5f98 5f8a 65a7 7aff
0x004DD1E0	0x000051A0	0x0000BC50	5100000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c
0x004DD244	0x000051D0	0x0000BC56	5100100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff11
0x004DD2A8	0x00005200	0x0000BC60	5100200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff12
0x004DD30C	0x00005230	0x0000BC6A	5100300	00000001	-1	00000004	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff13
0x004DD370	0x00005260	0x0000BC74	5100400	00000001	-1	00000004	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff14
0x004DD3D4	0x00005290	0x0000BC7E	5100500	00000001	-1	00000004	-1	80000100	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff15
0x004DD438	0x000052C0	0x0000BC88	5100600	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff16
0x004DD49C	0x000052F0	0x0000BC92	5100700	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff17
0x004DD500	0x00005320	0x0000BC9C	5100800	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff18
0x004DD564	0x00005350	0x0000BCA6	5100900	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff19
0x004DD5C8	0x00005380	0x0000BCB0	5101000	00000001	-1	00000004	-1	00000001	-1	80000100	-1	80000100	-1	1	1	3	1	 5263 938c ff0b ff11 ff10
0x004DF8F0	0x000053B0	0x0000BCBC	5110000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c
0x004DF954	0x000053E0	0x0000BCC2	5110100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff11
0x004DF9B8	0x00005410	0x0000BCCC	5110200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff12
0x004DFA1C	0x00005440	0x0000BCD6	5110300	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff13
0x004DFA80	0x00005470	0x0000BCE0	5110400	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff14
0x004DFAE4	0x000054A0	0x0000BCEA	5110500	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff15
0x004DFB48	0x000054D0	0x0000BCF4	5110600	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff16
0x004DFBAC	0x00005500	0x0000BCFE	5110700	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff17
0x004DFC10	0x00005530	0x0000BD08	5110800	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff18
0x004DFC74	0x00005560	0x0000BD12	5110900	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff19
0x004DFCD8	0x00005590	0x0000BD1C	5111000	00000001	-1	00000002	-1	00000001	-1	80000100	-1	80000100	-1	1	1	2	1	 5263 938c ff0b ff11 ff10
0x004E2000	0x000055C0	0x0000BD28	5120000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c
0x004E2064	0x000055F0	0x0000BD2E	5120100	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff11
0x004E20C8	0x00005620	0x0000BD38	5120200	00000001	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff12
0x004E212C	0x00005650	0x0000BD42	5120300	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff13
0x004E2190	0x00005680	0x0000BD4C	5120400	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff14
0x004E21F4	0x000056B0	0x0000BD56	5120500	00000001	-1	00000002	-1	80000100	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff15
0x004E2258	0x000056E0	0x0000BD60	5120600	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff16
0x004E22BC	0x00005710	0x0000BD6A	5120700	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff17
0x004E2320	0x00005740	0x0000BD74	5120800	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff18
0x004E2384	0x00005770	0x0000BD7E	5120900	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff19
0x004E23E8	0x000057A0	0x0000BD88	5121000	00000001	-1	00000002	-1	00000004	-1	80000100	-1	80000100	-1	1	1	2	3	 5263 938c ff0b ff11 ff10
0x004F3170	0x000057D0	0x0000BD94	5190000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	0	0	0	 5f98 5f8a 5263 938c
0x005B8D80	0x00005800	0x0000BD9E	6000000	80000100	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283
0x005B8DE4	0x00005830	0x0000BDA8	6000100	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff11
0x005B8E48	0x00005860	0x0000BDB6	6000200	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff12
0x005B8EAC	0x00005890	0x0000BDC4	6000300	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff13
0x005B8F10	0x000058C0	0x0000BDD2	6000400	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff14
0x005B8F74	0x000058F0	0x0000BDE0	6000500	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff15
0x005B8FD8	0x00005920	0x0000BDEE	6000600	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff16
0x005B903C	0x00005950	0x0000BDFC	6000700	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff17
0x005B90A0	0x00005980	0x0000BE0A	6000800	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff18
0x005B9104	0x000059B0	0x0000BE18	6000900	00000008	-1	80000100	-1	80000100	-1	80000100	-1	80000100	-1	1	4	0	0	 5de5 623f 9577 9283 ff0b ff19
