infoStartAddr:	0x19E0
numEntries:	0x29	41
title:	HOLYGRAIL_EX_PARAM_ST
paramStartAddr:	0x00000418
entryID   	paramAddr 	infoAddr  	ritualLv	attributeId	mapBaseId	holygrailTypeId	variationNum	mainFeature_1	pad_0	dungeonNameBaseId	uniqueBaseFlagId	uniqueItem00_head	uniqueItem00_tail	uniqueItem01_head	uniqueItem01_tail	uniqueItem02_head	uniqueItem02_tail	uniqueItem03_head	uniqueItem03_tail	directMapUid	requiredMaterialId	groupFrameNameId	uniqueItem04_head	uniqueItem04_tail	uniqueItem05_head	uniqueItem05_tail	uniqueItem06_head	uniqueItem06_tail	uniqueItem07_head	uniqueItem07_tail	uniqueItem08_head	uniqueItem08_tail	uniqueItem09_head	uniqueItem09_tail	uniqueItem10_head	uniqueItem10_tail	uniqueItem11_head	uniqueItem11_tail	uniqueItem12_head	uniqueItem12_tail	uniqueItem13_head	uniqueItem13_tail	fixedSf_1_subFeatureLotId	fixedSf_2_subFeatureLotId	fixedSf_3_subFeatureLotId	fixedSf_4_subFeatureLotId	fixedSf_5_subFeatureLotId	freeSf_1_subFeatureLotId	freeSf_2_subFeatureLotId	freeSf_3_subFeatureLotId	uniqueItem14_head	uniqueItem14_tail	isGenericHolygrail	releaseFlagIdOffset	pad_3[24]	groupSf_1_subFeatureLotId	groupSf_2_subFeatureLotId	groupSf_3_subFeatureLotId	groupSf_4_subFeatureLotId	groupSf_5_subFeatureLotId
0x0000198B	0x00000968	0x00001AFE	5	4	539	3	1	2	0	503000	0	255	255	255	255	255	255	255	255	-1	539	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	998900000	995010450	-1	-1	-1	-1	-1	255	255	0	95	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba
0x000019E5	0x000009F0	0x00001B18	6	2	629	2	1	3	0	602000	0	255	255	255	255	255	255	255	255	-1	629	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	-1	-1	-1	-1	-1	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0036 3011 30ed 30fc 30e9 30f3
0x000019EF	0x00000A78	0x00001B36	6	4	639	3	1	2	0	603000	0	255	255	255	255	255	255	255	255	-1	639	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	-1	-1	-1	-1	-1	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0036 3011 30a4 30ba
0x00001A99	0x00000B00	0x00001B50	8	0	809	0	1	4	0	800000	0	255	255	255	255	255	255	255	255	-1	809	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	-1	-1	-1	-1	-1	-1	-1	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0038 3011 30c8 30a5 30e1 30eb
0x000017D4	0x00000B88	0x00001B6E	1	0	100	0	100	0	0	100000	5100	0	19	20	39	40	59	60	79	-1	10000	0	80	99	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9910030	9910035	9910050	9910060	-1	-1	-1	-1	255	255	1	128	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0031 3011 30c8 30a5 30e1 30eb
0x00001838	0x00000C10	0x00001B90	2	0	200	0	100	0	0	200000	5120	0	19	20	39	40	59	60	79	-1	20000	0	80	99	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9920030	9920035	9920050	9920060	997700000	20010	-1	-1	255	255	1	135	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 30c8 30a5 30e1 30eb
0x00001842	0x00000C98	0x00001BB2	2	0	210	1	100	1	0	201000	5140	0	19	20	39	40	59	60	79	-1	21000	0	80	99	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9921030	9921035	9921050	9921060	9921011	21010	-1	-1	255	255	1	136	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0032 3011 50fb 5893
0x0000189C	0x00000D20	0x00001BD0	3	0	300	0	100	0	0	300000	5160	0	14	15	29	30	43	44	57	-1	30000	0	58	71	72	85	86	99	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9930030	9930035	9930050	9930060	-1	30010	30020	-1	255	255	1	142	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb
0x0000189E	0x00000DA8	0x00001BF2	3	0	302	0	100	0	0	300000	5160	0	14	15	29	30	43	44	57	-1	30200	0	58	71	72	85	86	99	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9930230	9930235	9930250	9930260	-1	30240	-1	-1	255	255	1	142	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x000018A6	0x00000E30	0x00001C1C	3	0	310	1	100	1	0	301000	5180	0	14	15	29	30	43	44	57	-1	31000	0	58	71	72	85	86	99	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9931030	9931035	9931050	9931060	9931011	31010	31020	-1	255	255	1	143	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893
0x000018A8	0x00000EB8	0x00001C3A	3	0	312	1	100	1	0	301000	5180	0	14	15	29	30	43	44	57	-1	31200	0	58	71	72	85	86	99	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9931230	9931235	9931250	9931260	9931211	31240	-1	-1	255	255	1	143	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893 005f 30de 30eb 30c1
0x00001901	0x00000F40	0x00001C60	4	0	401	0	200	4	0	400000	5200	0	29	30	59	60	87	88	115	-1	40100	0	116	143	144	171	172	199	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9940130	9940135	9940150	9940160	9940111	40110	40120	40170	255	255	1	149	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30c8 30a5 30e1 30eb 005f 546a 3044
0x00001914	0x00000FC8	0x00001C88	4	2	420	2	200	3	0	402000	5220	0	29	30	59	60	87	88	115	-1	42000	0	116	143	144	171	172	199	255	255	255	255	255	255	255	255	255	255	255	255	255	255	9942030	9942035	9942050	9942060	-1	42010	42020	-1	255	255	1	151	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30ed 30fc 30e9 30f3
0x00001964	0x00001050	0x00001CAA	5	0	500	0	200	4	0	500000	5240	0	13	14	27	28	41	42	55	-1	50000	0	56	69	70	83	84	97	98	111	112	125	126	139	140	151	152	163	164	175	176	187	9950030	9950035	9950050	9950060	9950011	50010	50020	50070	188	199	1	156	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb
0x00001966	0x000010D8	0x00001CCC	5	0	502	0	200	4	0	500000	5240	0	13	14	27	28	41	42	55	-1	50200	0	56	69	70	83	84	97	98	111	112	125	126	139	140	151	152	163	164	175	176	187	9950230	9950235	9950250	9950260	9950211	50240	-1	-1	188	199	1	156	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x00001978	0x00001160	0x00001CF6	5	2	520	2	200	3	0	502000	5260	0	13	14	27	28	41	42	55	-1	52000	0	56	69	70	83	84	97	98	111	112	125	126	139	140	151	152	163	164	175	176	187	9952030	9952035	9952050	9952060	-1	52010	52020	52070	188	199	1	158	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3
0x0000197A	0x000011E8	0x00001D18	5	2	522	2	200	3	0	502000	5260	0	13	14	27	28	41	42	55	-1	52200	0	56	69	70	83	84	97	98	111	112	125	126	139	140	151	152	163	164	175	176	187	9952230	9952235	9952250	9952260	-1	52240	-1	-1	188	199	1	158	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1
0x00001982	0x00001270	0x00001D42	5	4	530	3	200	2	0	503000	5280	0	17	18	35	36	53	54	71	-1	53000	0	72	87	88	103	104	119	120	135	136	151	152	167	168	183	184	199	255	255	255	255	9953030	9953035	9953050	9953060	9953015	53010	53020	53070	255	255	1	159	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba
0x00001984	0x000012F8	0x00001D60	5	4	532	3	200	2	0	503000	5280	0	17	18	35	36	53	54	71	-1	53000	0	72	87	88	103	104	119	120	135	136	151	152	167	168	183	184	199	255	255	255	255	9953230	9953235	9953250	9953260	9953215	53240	-1	-1	255	255	1	159	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba 005f 30de 30eb 30c1
0x000019C9	0x00001380	0x00001D86	6	0	601	0	200	4	0	600000	0	255	255	255	255	255	255	255	255	-1	60000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993060000	993560000	996060000	995400000	991060000	60110	60120	60170	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 30c8 30a5 30e1 30eb 005f 546a 3044
0x000019DD	0x00001408	0x00001DAE	6	2	621	2	200	3	0	602000	0	255	255	255	255	255	255	255	255	-1	62000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993060000	993560000	996060000	995200000	-1	62110	62120	62170	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 30ed 30fc 30e9 30f3 005f 546a 3044
0x000019E7	0x00001490	0x00001DD6	6	4	631	3	200	2	0	603000	0	255	255	255	255	255	255	255	255	-1	63000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993060000	993560000	996060000	995300000	-1	63110	63120	63170	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 30a4 30ba 005f 546a 3044
0x00001A2D	0x00001518	0x00001DFA	7	0	701	0	200	4	0	700000	0	255	255	255	255	255	255	255	255	-1	70000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995400000	991070000	70110	70120	70170	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30c8 30a5 30e1 30eb 005f 546a 3044
0x00001A2E	0x000015A0	0x00001E22	7	0	702	0	200	4	0	700000	0	255	255	255	255	255	255	255	255	-1	70000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995400000	991070000	70240	-1	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x00001A2F	0x00001628	0x00001E4C	7	0	703	0	200	4	0	700000	0	255	255	255	255	255	255	255	255	-1	70000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995400000	991070000	70310	70320	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30c8 30a5 30e1 30eb 005f 3072 3069 3044 546a 3044
0x00001A41	0x000016B0	0x00001E7A	7	2	721	2	200	3	0	702000	0	255	255	255	255	255	255	255	255	-1	72000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995200000	-1	72110	72120	72170	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30ed 30fc 30e9 30f3 005f 546a 3044
0x00001A42	0x00001738	0x00001EA2	7	2	722	2	200	3	0	702000	0	255	255	255	255	255	255	255	255	-1	72000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995200000	-1	72240	-1	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1
0x00001A43	0x000017C0	0x00001ECC	7	2	723	2	200	3	0	702000	0	255	255	255	255	255	255	255	255	-1	72000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995200000	-1	72310	72320	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30ed 30fc 30e9 30f3 005f 3072 3069 3044 546a 3044
0x00001A4B	0x00001848	0x00001EFA	7	4	731	3	200	2	0	703000	0	255	255	255	255	255	255	255	255	-1	73000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995300000	-1	73110	73120	73170	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30a4 30ba 005f 546a 3044
0x00001A4C	0x000018D0	0x00001F1E	7	4	732	3	200	2	0	703000	0	255	255	255	255	255	255	255	255	-1	73000	0	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	255	993070000	993570000	996070000	995300000	-1	73240	-1	-1	255	255	0	255	255	-1	-1	-1	-1	-1	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 30a4 30ba 005f 30de 30eb 30c1
