infoStartAddr:	0x1226C
numEntries:	0x17B	379
title:	FACE_PARAM_ST
paramStartAddr:	0x000023C8
entryID   	paramAddr 	infoAddr  	facePartsId	skinColor_R 	skinColor_G 	skinColor_B 	hairPartsId	hairColor_R 	hairColor_G 	hairColor_B 	eyeLPartsId	eyeLColor_R	eyeLColor_G	eyeLColor_B	eyeRPartsId	eyeRColor_R	eyeRColor_G	eyeRColor_B	eyebrowPartsId	eyebrowColor_R 	eyebrowColor_G 	eyebrowColor_B 	eyelashPartsId	eyelashColor_R 	eyelashColor_G 	eyelashColor_B 	beardPartsId	beardColor_R 	beardColor_G 	beardColor_B 	accessoriesPartsId	accessoriesColor_R 	accessoriesColor_G 	accessoriesColor_B 	decalPartsId	decalColor_R 	decalColor_G 	decalColor_B 	decalPosX	decalPosY	decalAngle	decalScale	chrBodyScaleHead	chrBodyScaleBreast	chrBodyScaleAbdomen	chrBodyScaleArm	chrBodyScaleLeg	age	gender	caricatureGeometry	caricatureTexture	faceGeoData00	faceGeoData01	faceGeoData02	faceGeoData03	faceGeoData04	faceGeoData05	faceGeoData06	faceGeoData07	faceGeoData08	faceGeoData09	faceGeoData10	faceGeoData11	faceGeoData12	faceGeoData13	faceGeoData14	faceGeoData15	faceGeoData16	faceGeoData17	faceGeoData18	faceGeoData19	faceGeoData20	faceGeoData21	faceGeoData22	faceGeoData23	faceGeoData24	faceGeoData25	faceGeoData26	faceGeoData27	faceGeoData28	faceGeoData29	faceGeoData30	faceGeoData31	faceGeoData32	faceGeoData33	faceGeoData34	faceGeoData35	faceGeoData36	faceGeoData37	faceGeoData38	faceGeoData39	faceGeoData40	faceGeoData41	faceGeoData42	faceGeoData43	faceGeoData44	faceGeoData45	faceGeoData46	faceGeoData47	faceGeoData48	faceGeoData49	faceGeoData50	faceGeoData51	faceGeoData52	faceGeoData53	faceGeoData54	faceGeoData55	faceGeoData56	faceGeoData57	faceGeoData58	faceGeoData59	faceGeoData60	faceTexData00	faceTexData01	faceTexData02	faceTexData03	faceTexData04	faceTexData05	faceTexData06	faceTexData07	faceTexData08	faceTexData09	faceTexData10	faceTexData11	faceTexData12	faceTexData13	faceTexData14	faceTexData15	faceTexData16	faceTexData17	faceTexData18	faceTexData19	faceTexData20	faceTexData21	faceTexData22	faceTexData23	faceTexData24	faceTexData25	faceTexData26	faceTexData27	faceTexData28	faceTexData29	faceTexData30	faceTexData31	faceTexData32	faceTexData33	faceTexData34	faceTexData35	faceGeoAsymData00	faceGeoAsymData01	faceGeoAsymData02	faceGeoAsymData03	faceGeoAsymData04	faceGeoAsymData05	faceGeoAsymData06	faceGeoAsymData07	faceGeoAsymData08	faceGeoAsymData09	faceGeoAsymData10	faceGeoAsymData11	faceGeoAsymData12	faceGeoAsymData13	faceGeoAsymData14	faceGeoAsymData15	faceGeoAsymData16	faceGeoAsymData17	faceGeoAsymData18	faceGeoAsymData19	faceGeoAsymData20	faceGeoAsymData21	faceGeoAsymData22	faceGeoAsymData23	faceGeoAsymData24	faceGeoAsymData25
0x000003EA	0x00002A80	0x0001238C	0	150	135	125	0	74	40	0	0	110	110	80	0	110	110	80	0	74	40	10	0	148	98	38	0	74	60	10	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	73	128	128	128	128	128	138	118	90	158	178	138	168	185	80	128	128	98	168	138	150	108	147	128	128	128	128	128	128	128	128	128	148	128	108	165	125	128	160	130	85	138	98	168	68	78	188	95	165	118	98	128	158	228	118	128	118	228	128	128	128	128	128	108	128	128	128	128	128	128	128	128	125	138	128	128	128	128	128	128	128	128	128	100	100	155	148	128	128	148	128	128	128	98	68	138	128	128	128	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0032
0x000003EB	0x00002B2C	0x000123AE	0	145	130	120	0	90	60	40	0	150	150	150	0	150	150	150	0	90	60	40	0	150	145	130	0	90	60	40	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	128	68	128	128	108	98	168	186	85	128	108	128	128	138	118	128	128	128	138	138	168	108	128	128	128	128	128	128	128	128	128	128	128	128	128	128	178	118	128	128	128	128	128	128	178	128	128	128	118	128	108	128	128	128	68	138	108	128	128	128	128	128	98	68	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	158	178	128	128	128	128	98	118	98	128	128	128	128	128	128	208	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0033
0x000003EC	0x00002BD8	0x000123D0	0	155	140	130	0	135	115	70	0	150	150	150	0	150	150	150	0	135	115	70	0	0	0	0	0	135	115	70	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	128	58	128	128	138	118	138	138	118	138	118	88	198	178	138	138	138	128	98	108	148	138	118	138	118	128	138	245	138	118	128	138	118	128	138	48	198	158	98	148	138	118	138	118	138	118	138	98	138	138	108	118	138	118	88	98	98	138	38	118	138	118	118	138	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	108	128	98	78	128	128	128	128	128	155	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0034
0x000003ED	0x00002C84	0x000123F2	0	101	93	86	0	110	80	50	0	60	30	0	0	60	30	0	0	50	20	20	0	150	145	130	0	110	80	50	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	98	58	128	128	135	128	118	130	128	158	128	118	168	158	108	118	128	108	128	138	118	110	168	128	128	128	128	175	88	38	128	138	148	128	128	88	138	138	188	198	188	38	108	198	138	128	138	88	108	108	88	138	178	128	118	128	58	118	148	128	128	138	128	138	128	128	128	128	128	128	128	128	148	138	128	128	128	128	128	128	128	128	128	88	108	128	138	128	128	128	128	118	148	98	78	128	128	128	128	128	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0035
0x000003EE	0x00002D30	0x00012414	0	138	118	103	0	90	50	30	0	70	70	40	0	70	70	40	0	90	50	30	0	0	0	0	0	90	50	30	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	62	10	135	128	140	133	152	118	185	168	118	108	135	158	208	118	98	158	118	210	117	58	78	109	85	128	145	165	77	207	128	107	130	128	158	118	148	128	98	158	158	128	68	158	125	175	168	158	98	138	108	118	148	125	128	137	108	108	100	155	94	122	130	138	128	128	128	128	128	128	128	128	150	128	128	128	128	128	128	128	128	128	128	128	108	198	158	128	128	128	128	108	138	118	158	128	128	158	178	143	205	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0036
0x000003EF	0x00002DDC	0x00012436	0	145	130	120	0	170	140	70	0	120	90	90	0	120	90	90	0	170	140	70	0	0	0	0	0	170	140	70	0	128	128	128	0	20	20	20	180	100	0	40	128	255	215	245	215	128	38	128	128	125	128	128	188	128	128	148	158	128	128	128	128	128	128	98	185	108	128	128	128	188	128	128	218	208	18	128	118	98	128	128	138	128	178	128	178	128	128	128	118	128	128	128	0	88	128	158	88	228	78	78	88	48	178	38	128	128	108	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	158	218	128	128	128	128	108	128	118	58	128	128	128	128	128	255	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0037
0x000003F0	0x00002E88	0x00012458	0	150	135	125	0	130	100	60	0	110	130	150	0	110	130	150	0	100	70	40	0	0	8	8	0	130	100	60	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	40	50	105	128	155	235	132	177	170	170	111	88	185	108	158	128	108	128	118	190	147	180	198	149	137	128	205	115	60	115	128	125	115	128	158	125	125	128	178	238	185	138	20	178	45	225	198	188	78	78	148	128	90	175	108	137	138	120	150	10	44	102	120	115	128	128	128	128	128	128	128	138	160	138	128	128	128	128	128	128	128	128	128	178	118	168	198	128	128	128	128	118	128	108	38	98	128	115	198	83	215	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0038
0x000003F1	0x00002F34	0x0001247A	0	140	125	110	0	0	0	0	0	80	50	40	0	80	50	40	0	0	0	0	0	0	0	0	0	0	0	0	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	118	50	128	128	128	148	128	158	98	128	58	88	128	128	128	128	128	98	128	158	138	128	138	128	128	128	128	128	128	128	128	128	128	128	118	128	178	128	128	128	128	128	128	128	158	128	118	68	138	188	68	208	198	100	132	118	88	158	128	128	128	128	130	90	128	128	128	128	128	128	128	128	128	148	128	128	128	128	128	128	128	128	128	88	128	168	148	128	128	128	128	118	138	108	128	128	128	128	128	188	225	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 7537 0039
0x000007D0	0x00002FE0	0x0001249C	0	150	135	125	0	0	0	0	0	110	110	80	0	110	110	80	0	74	40	10	0	148	98	38	0	124	60	10	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	73	178	128	128	128	128	138	118	90	158	178	138	168	185	80	128	118	78	168	98	160	108	147	128	128	128	118	138	145	128	128	128	148	128	88	165	185	118	160	130	85	138	98	168	68	78	188	95	165	118	98	128	158	228	118	128	118	228	128	128	128	128	128	108	128	128	128	128	128	128	128	128	135	148	128	128	128	128	128	128	128	128	128	80	150	155	148	128	128	148	128	98	128	108	128	168	128	128	108	245	108	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0030
0x000007D1	0x0000308C	0x000124BE	0	148	128	113	0	35	15	5	0	160	100	80	0	160	100	80	0	35	15	5	0	88	58	8	0	35	15	5	0	128	128	128	0	20	20	20	180	100	0	40	128	128	178	68	158	98	148	128	128	128	128	128	118	90	208	148	108	158	128	118	128	138	108	148	118	138	128	148	128	128	128	128	128	128	128	128	128	198	128	118	128	158	148	128	140	145	188	128	158	128	128	148	140	148	128	88	128	108	128	128	118	78	128	128	128	128	128	98	128	128	128	128	128	128	128	128	118	155	128	128	128	128	128	128	128	128	128	128	118	88	145	128	128	128	128	128	128	158	88	68	128	128	128	128	208	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0031
0x000007D2	0x00003138	0x000124E0	0	160	145	135	0	128	103	55	0	128	128	128	0	128	128	128	0	128	103	55	0	128	128	128	0	128	103	55	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	68	138	128	128	138	168	138	108	80	178	168	118	138	185	90	138	118	98	138	108	150	78	87	138	128	128	98	138	145	128	128	158	148	128	78	215	198	58	150	100	105	128	108	148	98	150	125	115	205	108	88	128	148	138	118	118	138	128	178	128	128	128	118	98	128	128	128	128	128	128	128	128	128	148	128	128	128	128	128	128	128	128	128	128	128	165	165	128	128	128	128	100	178	78	128	198	128	128	108	255	108	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0032
0x000007D3	0x000031E4	0x00012502	0	158	138	123	0	0	0	0	0	140	130	80	0	140	130	80	0	0	0	0	0	0	0	0	0	124	60	10	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	78	178	128	128	68	178	148	158	80	108	198	168	98	105	80	138	118	118	138	138	150	78	67	128	128	128	128	78	105	148	128	198	88	128	98	225	198	80	100	110	115	158	128	118	78	90	35	125	215	128	108	98	138	128	138	108	108	128	178	158	138	138	128	128	128	128	128	128	128	128	128	118	135	118	128	128	128	128	128	128	128	128	128	168	95	165	178	128	128	128	128	120	138	118	128	148	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0033
0x000007D4	0x00003290	0x00012524	0	160	145	135	0	140	110	40	0	160	100	80	0	160	100	80	0	130	110	40	0	88	58	8	0	130	110	40	0	128	128	128	0	20	20	20	180	100	0	40	128	128	178	68	158	133	158	128	128	128	158	128	178	50	208	148	108	188	138	138	168	138	128	158	138	128	248	208	128	128	128	128	138	145	128	128	128	198	128	118	118	158	138	108	130	115	138	98	88	128	88	158	55	168	188	58	128	128	128	128	128	108	128	128	128	128	198	128	128	128	128	128	128	128	128	128	128	155	128	128	128	128	128	128	128	128	128	128	148	88	105	148	128	128	128	128	118	178	98	68	128	128	128	88	178	88	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0034
0x000007D5	0x0000333C	0x00012546	0	101	93	86	0	214	160	80	0	110	70	80	0	110	70	80	0	74	40	10	0	148	98	38	0	124	60	10	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	133	128	128	128	128	128	138	108	100	178	158	98	198	175	150	138	118	108	178	98	130	88	137	128	128	128	128	128	128	128	128	128	198	128	118	205	138	108	130	140	185	68	68	218	98	88	178	145	185	98	88	108	138	128	138	128	68	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	148	128	128	128	128	128	128	128	128	128	108	108	148	128	128	128	128	128	118	158	108	88	128	128	128	128	208	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0035
0x000007D6	0x000033E8	0x00012568	0	138	118	103	0	60	30	10	0	110	70	80	0	110	70	80	0	20	20	20	0	148	98	38	0	20	20	20	0	128	128	128	0	20	20	20	180	100	0	40	128	128	128	128	128	63	158	128	128	98	158	158	98	120	158	178	118	178	165	110	148	118	118	168	118	130	98	137	128	128	128	148	158	105	118	128	138	128	128	118	185	168	98	100	120	145	118	108	158	98	88	188	75	175	118	88	128	148	148	128	128	118	128	128	128	128	118	128	128	128	128	128	128	128	128	128	128	128	138	128	128	128	128	128	128	128	128	128	98	108	158	148	128	128	128	128	118	168	108	68	128	128	128	128	208	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0036
0x000007D7	0x00003494	0x0001258A	0	145	130	120	0	160	100	50	0	160	100	80	0	160	100	80	0	100	70	0	0	88	58	8	0	190	150	70	0	128	128	128	0	20	20	20	180	100	0	40	128	128	178	68	158	93	148	128	128	128	128	128	118	90	208	148	108	158	128	118	118	138	88	138	138	118	168	178	128	128	128	128	138	145	128	128	128	198	128	128	98	128	138	128	140	145	188	128	158	88	128	148	135	148	158	88	128	138	128	108	128	98	128	128	128	128	175	128	128	128	128	128	128	128	128	128	138	155	128	128	128	128	128	128	128	128	128	128	118	78	145	138	128	128	128	128	118	178	88	128	148	128	128	128	208	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	128	 004e 0065 0077 0047 0061 006d 0065 30d7 30ea 30bb 30c3 30c8 9854 005f 5973 0037
