infoStartAddr:	0x10D8
numEntries:	0x3B	59
title:	SKELETON_PARAM_ST
paramStartAddr:	0x000005C8
entryID   	paramAddr 	infoAddr  	neckTurnGain	originalGroundHeightMS	minAnkleHeightMS	maxAnkleHeightMS	cosineMaxKneeAngle	cosineMinKneeAngle	footPlantedAnkleHeightMS	footRaisedAnkleHeightMS	raycastDistanceUp	raycastDistanceDown	footEndLS_X	footEndLS_Y	footEndLS_Z	onOffGain	groundAscendingGain	groundDescendingGain	footRaisedGain	footPlantedGain	footUnlockGain	kneeAxisType	useFootLocking	footPlacementOn	twistKneeAxisType	neckTurnPriority	neckTurnMaxAngle	pad1[2]
0x00000258	0x00000868	0x0000119A	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	50		 4eba 5f62 4f7f 3044
0x000002BC	0x00000898	0x000011A4	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	50		 4e5e 98df 5973
0x00000320	0x000008C8	0x000011AC	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	50		 30dc 30fc 30eb 30c9 30a6 30a3 30f3
0x00000384	0x000008F8	0x000011BC	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	40		 4e5e 98df 7537
0x000003E6	0x00000928	0x000011C4	0.000000	0	-200	230	-95	55	1	30	250	235	0	0	80	18	100	100	20	100	80	4	0	1	1	0	0		 30b3 30d4 30fc 005f 65e7 6c4e 7528 5de6 8db3
0x000003E7	0x00000958	0x000011D8	0.000000	0	-200	230	-95	55	1	30	250	235	0	0	80	18	100	100	20	100	80	4	0	1	1	0	0		 30b3 30d4 30fc 005f 65e7 6c4e 7528 53f3 8db3
0x000003E8	0x00000988	0x000011EC	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 731f 72ac 005f 5de6 5f8c 8db3
0x000003E9	0x000009B8	0x000011FA	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 731f 72ac 005f 53f3 5f8c 8db3
0x000003EA	0x000009E8	0x00001208	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 731f 72ac 005f 5de6 524d 8db3
0x000003EB	0x00000A18	0x00001216	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 731f 72ac 005f 53f3 524d 8db3
0x000003F2	0x00000A48	0x00001224	0.000000	2	-30	70	-95	55	1	30	70	55	0	0	10	18	100	100	20	100	80	4	0	1	1	0	0		 53f8 796d 005f 5de6 8db3
0x000003F3	0x00000A78	0x00001230	0.000000	2	-30	70	-95	55	1	30	70	55	0	0	10	18	100	100	20	100	80	4	0	1	1	0	0		 53f8 796d 005f 53f3 8db3
0x000003FE	0x00000AA8	0x0000123C	0.200000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	60		 7fa4 8846 ff21 005f 9996 632f 308a 8a2d 5b9a
0x00000406	0x00000AD8	0x00001250	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 7fa4 8846 ff22 005f 5de6 8db3
0x00000407	0x00000B08	0x0000125E	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 7fa4 8846 ff22 005f 53f3 8db3
0x00000442	0x00000B38	0x0000126C	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 7570 5f62 30d3 30fc 30b9 30c8 005f 5de6 8db3
0x00000443	0x00000B68	0x00001280	0.000000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	0		 7570 5f62 30d3 30fc 30b9 30c8 005f 53f3 8db3
0x00000444	0x00000B98	0x00001294	0.200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	4	0	1	1	0	180		 7570 5f62 30d3 30fc 30b9 30c8 005f 9996 632f 308a 8a2d 5b9a
0x000007D0	0x00000BC8	0x000012AE	0.000000	-10	-200	230	-95	55	1	30	250	235	0	0	80	18	100	100	20	100	80	4	0	1	1	0	0		 30e0 30ab 30c7 30fc 30e2 30f3 53f3 8db3
0x000007D1	0x00000BF8	0x000012C0	0.000000	-10	-200	230	-95	55	1	30	250	235	0	0	80	18	100	100	20	100	80	4	0	1	1	0	0		 30e0 30ab 30c7 30fc 30e2 30f3 5de6 8db3
0x000007DA	0x00000C28	0x000012D2	0.000000	10	-200	370	-95	55	1	3	250	235	0	0	20	80	100	100	100	100	80	4	0	1	1	0	0		 30ac 30fc 30b4 30a4 30eb 53f3 8db3
0x000007DB	0x00000C58	0x000012E2	0.000000	10	-200	370	-95	55	1	3	250	235	0	0	20	80	100	100	100	100	80	4	0	1	1	0	0		 30ac 30fc 30b4 30a4 30eb 5de6 8db3
0x000007E4	0x00000C88	0x000012F2	0.000000	0	-300	500	-95	55	0	2	250	235	0	0	10	60	100	100	10	60	80	4	1	1	1	0	0		 30a2 30a4 30a2 30f3 30b4 30fc 30ec 30e0 53f3 8db3
0x000007E5	0x00000CB8	0x00001308	0.000000	0	-300	500	-95	55	0	2	250	235	0	0	10	60	100	100	10	60	80	4	1	1	1	0	0		 30a2 30a4 30a2 30f3 30b4 30fc 30ec 30e0 5de6 8db3
0x000007E6	0x00000CE8	0x0000131E	0.000000	0	-200	370	-95	55	0	1	0	0	0	0	0	10	100	100	0	100	80	4	0	1	1	0	0		 30a2 30a4 30a2 30f3 30b4 30fc 30ec 30e0 53f3 624b
0x000007EE	0x00000D18	0x00001334	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30cf 30f3 30de 30fc 30c7 30fc 30e2 30f3 5de6 8db3
0x000007EF	0x00000D48	0x0000134A	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30cf 30f3 30de 30fc 30c7 30fc 30e2 30f3 53f3 8db3
0x00001392	0x00000D78	0x00001360	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 708e 306e 7363 005f 5de6 524d 811a
0x00001393	0x00000DA8	0x00001370	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 708e 306e 7363 005f 53f3 524d 811a
0x00001394	0x00000DD8	0x00001380	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 708e 306e 7363 005f 5de6 5f8c 811a
0x00001395	0x00000E08	0x00001390	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 708e 306e 7363 005f 53f3 5f8c 811a
0x00001396	0x00000E38	0x000013A0	0.300000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	4	15		 708e 306e 7363 005f 9996 632f 308a 005f 982d
0x00001397	0x00000E68	0x000013B4	0.300000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	3	15		 708e 306e 7363 005f 9996 632f 308a 005f 9996 0031
0x00001398	0x00000E98	0x000013CA	0.300000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	2	15		 708e 306e 7363 005f 9996 632f 308a 005f 9996 0032
0x00001399	0x00000EC8	0x000013E0	0.300000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	1	15		 708e 306e 7363 005f 9996 632f 308a 005f 9996 0033
0x0000139A	0x00000EF8	0x000013F6	0.300000	0	-30	70	-95	55	1	30	70	55	0	0	0	18	100	100	20	100	80	4	0	1	1	0	30		 708e 306e 7363 005f 9996 632f 308a 005f 9996 0034
0x00000BBC	0x00000F28	0x0000140C	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 2464
0x00000BBD	0x00000F58	0x00001418	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 2465
0x00000C1C	0x00000F88	0x00001424	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 2466
0x00000C1D	0x00000FB8	0x00001430	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 2467
0x00000C1E	0x00000FE8	0x0000143C	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 2468
0x00000C1F	0x00001018	0x00001448	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 2469
0x00000C20	0x00001048	0x00001454	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 246a
0x00000C21	0x00001078	0x00001460	0.000000	0	-300	500	-95	55	0	1	250	235	0	0	10	40	100	100	50	100	80	4	1	1	1	0	0		 30af 30e9 30b0 8db3 246b
