infoStartAddr:	0x106C
numEntries:	0x45	69
title:	DUNGEON_FEATURE_PARAM_ST
paramStartAddr:	0x000006B8
entryID   	paramAddr 	infoAddr  	featureNameId	subFeatureGroupId	eventflagId	dungeonNamePriority	releaseFlagIdOffset	npcParamIdOffset	itemLotParamIdOffset	eneSpeffectId	gemDropCorrectParamId	gemGenParamIdOffset	dungeonNameModifierId	dungeonShortNameId
0x00000051	0x00000DE4	0x0000169C	0	3	31	0	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 540c 58eb 8a0e 3061 5f37 6575
0x00000052	0x00000E08	0x000016B4	0	3	32	0	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30ec 30a2 30b7 30e7 30c3 30d7
0x00000053	0x00000E2C	0x000016CC	0	3	33	0	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30b7 30e7 30c3 30d7 ff0b 540c 58eb 8a0e 3061 5f37 6575
0x00000054	0x00000E50	0x000016EE	0	3	34	0	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 ff1a 30ec 30a2 30b7 30e7 30c3 30d7 ff0b 540c 58eb 8a0e 3061 5f37 6575
0x00000055	0x00000E74	0x00001714	0	0	85	0	255	0	0	-1	-1	0	-1	-1	 56fa 5b9a 30c0 30f3 30b8 30e7 30f3 ff1a 30de 30eb 30c1 8056 676f 0031
0x00000056	0x00000E98	0x00001732	0	0	86	0	255	0	0	-1	-1	0	-1	-1	 56fa 5b9a 30c0 30f3 30b8 30e7 30f3 ff1a 30de 30eb 30c1 8056 676f 0032
0x00000057	0x00000EBC	0x00001750	0	0	87	0	255	0	0	7350	-1	0	-1	-1	 56fa 5b9a 30c0 30f3 30b8 30e7 30f3 ff1a 30de 30eb 30c1 8056 676f 0033
0x00000058	0x00000EE0	0x0000176E	0	0	88	0	255	0	0	-1	-1	0	-1	-1	 56fa 5b9a 30c0 30f3 30b8 30e7 30f3 ff1a 30de 30eb 30c1 8056 676f 0034
0x00000059	0x00000F04	0x0000178C	0	0	89	0	255	0	0	-1	-1	0	-1	-1	 56fa 5b9a 30c0 30f3 30b8 30e7 30f3 ff1a 30de 30eb 30c1 8056 676f 0035
0x0000005A	0x00000F28	0x000017AA	0	0	78	0	255	0	0	-1	1011	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0031 0031
0x0000005B	0x00000F4C	0x000017CA	0	0	0	0	255	0	0	-1	1012	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0031 0032
0x0000005C	0x00000F70	0x000017EA	0	0	0	0	255	0	0	-1	1013	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0031 0033
0x0000005D	0x00000F94	0x0000180A	0	0	0	0	255	0	0	-1	1014	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0031 0034
0x0000005E	0x00000FB8	0x0000182A	0	0	78	0	255	0	0	-1	1022	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0032 0032
0x0000005F	0x00000FDC	0x0000184A	0	0	0	0	255	0	0	-1	1023	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0032 0033
0x00000060	0x00001000	0x0000186A	0	0	78	0	255	0	0	-1	1034	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0033 0034
0x00000061	0x00001024	0x0000188A	0	0	0	0	255	0	0	-1	1035	0	-1	-1	 30b5 30d6 7279 5fb4 5019 88dc ff1a 9b54 77f3 88dc 6b63 0031 0030 0033 0035
