infoStartAddr:	0x0E40
numEntries:	0x40	64
title:	LOCK_CAM_PARAM_ST
paramStartAddr:	0x00000640
entryID   	paramAddr 	infoAddr  	camDistTarget	rotRangeMinX	lockRotXShiftRatio	chrOrgOffset_Y	chrLockRangeMaxRadius	camFovY	chrLockRangeMaxRadius_forD	chrLockRangeMaxRadius_forPD
0x00000B55	0x00000A80	0x000011B2	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 30c7 30d5 30a9 30eb 30c8 8fd1 8ddd 96e2
0x00000B56	0x00000AA0	0x000011D8	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 666e 901a 306e 90e8 5c4b 0042
0x00000B57	0x00000AC0	0x000011FA	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 666e 901a 306e 90e8 5c4b 0042 3000 8fd1 8ddd 96e2
0x00000B58	0x00000AE0	0x00001224	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 6bb5 5dee 90e8 5c4b 0041
0x00000B59	0x00000B00	0x00001244	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 6bb5 5dee 90e8 5c4b 0041 3000 8fd1 8ddd 96e2
0x00000B5A	0x00000B20	0x0000126C	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 592a 3044 901a 8def
0x00000B5B	0x00000B40	0x0000128A	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 592a 3044 901a 8def 3000 8fd1 8ddd 96e2
0x00000B5C	0x00000B60	0x000012B0	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 4e2d 4e0b 6bb5 592a 3044 901a 8def
0x00000B5D	0x00000B80	0x000012D4	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 4e2d 4e0b 6bb5 592a 3044 901a 8def 3000 8fd1 8ddd 96e2
0x00000B5E	0x00000BA0	0x00001300	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 4e38 3044 90e8 5c4b ff1a 5927
0x00000B5F	0x00000BC0	0x00001322	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 4e38 3044 90e8 5c4b ff1a 5927 3000 8fd1 8ddd 96e2
0x00000B60	0x00000BE0	0x0000134C	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 4e38 3044 90e8 5c4b ff1a 5c0f
0x00000B61	0x00000C00	0x0000136E	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 4e38 3044 90e8 5c4b ff1a 5c0f 3000 8fd1 8ddd 96e2
0x00000B62	0x00000C20	0x00001398	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 30dc 30b9 90e8 5c4b 0031
0x00000B63	0x00000C40	0x000013B8	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 30dc 30b9 90e8 5c4b 0031 3000 8fd1 8ddd 96e2
0x00000B64	0x00000C60	0x000013E0	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 5186 5f62 30dc 30b9 90e8 5c4b
0x00000B65	0x00000C80	0x00001402	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 5186 5f62 30dc 30b9 90e8 5c4b 3000 8fd1 8ddd 96e2
0x00000B66	0x00000CA0	0x0000142C	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 5927 30dc 30b9 90e8 5c4b
0x00000B67	0x00000CC0	0x0000144C	4.000	-30.000	0.350	1.420	22.000	43.000	9.000	5.000	 0076 0073 30c0 30f3 30b8 30e7 30f3 30dc 30b9 0020 5927 30dc 30b9 90e8 5c4b 3000 8fd1 8ddd 96e2
0x00000C80	0x00000CE0	0x00001474	4.000	-40.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 767d 75f4 306e 8718 86db 3000 901a 5e38
0x00000C81	0x00000D00	0x0000148A	4.000	-40.000	0.150	1.420	22.000	43.000	9.000	5.000	 0076 0073 767d 75f4 306e 8718 86db 3000 5168 8ddd 96e2
0x00000CE4	0x00000D20	0x000014A2	4.000	-20.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 90aa 795e 3000 901a 5e38
0x00000CE5	0x00000D40	0x000014B2	4.000	-15.000	0.450	1.420	22.000	43.000	9.000	5.000	 0076 0073 90aa 795e 3000 8fd1 8ddd 96e2
0x00001388	0x00000D60	0x000014C4	4.000	-40.000	0.000	1.420	22.000	43.000	9.000	5.000	 30c0 30f3 30b8 30e7 30f3 4e0b 6bb5 901a 8def
0x00002710	0x00000D80	0x000014D8	2.200	-40.000	0.450	1.220	15.000	43.000	-1.000	-1.000	 8fd1 8ddd 96e2 30ab 30e1 30e9
0x00002711	0x00000DA0	0x000014E6	3.200	-40.000	0.450	1.150	15.000	43.000	-1.000	-1.000	 4e2d 8ddd 96e2 30ab 30e1 30e9
0x00002712	0x00000DC0	0x000014F4	6.000	-20.000	0.400	1.700	15.000	43.000	-1.000	-1.000	 9060 8ddd 96e2 30ab 30e1 30e9
0x00002713	0x00000DE0	0x00001502	4.000	-40.000	0.450	1.420	7.000	43.000	-1.000	-1.000	 6697 95c7 30ed 30c3 30af
0x00002714	0x00000E00	0x0000150E	4.000	-50.000	0.450	1.640	7.000	43.000	-1.000	-1.000	 3010 30d7 30ed 30c8 30de 30c3 30d7 3011 6697 95c7
