infoStartAddr:	0x10C0
numEntries:	0x2C	44
title:	GEM_DROP_DOPING_PARAM_ST
paramStartAddr:	0x00000460
entryID   	paramAddr 	infoAddr  	rankMin	rankMax	normalDistributionAve	normalDistributionSigma	slotTypeRateA	slotTypeRateB	slotTypeRateC	slotTypeRateD	slotTypeRateE	slotTypeRateF	directionalIdRate_0	directionalIdRate_1	directionalIdRate_2	directionalIdRate_3	directionalIdRate_4	directionalIdRate_5	directionalIdRate_6	directionalIdRate_7
0x000018A6	0x00000730	0x000011EE	7	9	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893
0x000018A8	0x00000778	0x0000120C	7	9	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893 005f 30de 30eb 30c1
0x000018AF	0x000007C0	0x00001232	7	9	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0033 3011 50fb 5893
0x00001901	0x00000808	0x0000124C	12	14	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30c8 30a5 30e1 30eb 005f 546a 3044
0x00001909	0x00000850	0x00001274	12	14	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0034 3011 30c8 30a5 30e1 30eb 005f 546a 3044
0x00001914	0x00000898	0x00001298	12	14	0	0.00	1.00	1.00	100.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 30ed 30fc 30e9 30f3
0x0000191D	0x000008E0	0x000012BA	12	14	0	0.00	1.00	1.00	100.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0034 3011 30ed 30fc 30e9 30f3
0x00001964	0x00000928	0x000012D8	15	17	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb
0x00001966	0x00000970	0x000012FA	15	17	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x0000196D	0x000009B8	0x00001324	15	17	0	0.00	100.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 30c8 30a5 30e1 30eb
0x00001978	0x00000A00	0x00001342	15	17	0	0.00	1.00	1.00	100.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3
0x0000197A	0x00000A48	0x00001364	15	17	0	0.00	1.00	1.00	100.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1
0x00001981	0x00000A90	0x0000138E	15	17	0	0.00	1.00	1.00	100.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 30ed 30fc 30e9 30f3
0x00001982	0x00000AD8	0x000013AC	15	17	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba
0x00001984	0x00000B20	0x000013CA	15	17	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba 005f 30de 30eb 30c1
0x0000198B	0x00000B68	0x000013F0	15	17	0	0.00	1.00	100.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 56fa 5b9a 8056 676f 3010 30ec 30d9 30eb 0035 3011 30a4 30ba
0x01406F40	0x00000BB0	0x0000140A	1	1	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 62e0 70b9
0x01409650	0x00000BF8	0x00001410	1	1	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 62e0 70b9 ff08 73fe 5b9f ff09
0x014FB180	0x00000C40	0x0000141E	4	5	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 5893 5730 8857
0x015EF3C0	0x00000C88	0x00001426	1	2	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 5ec3 589f
0x016E3600	0x00000CD0	0x0000142C	2	3	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 8056 5802 8857 0041
0x016E5D10	0x00000D18	0x00001436	1	2	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 8056 5802 8857 0042
0x016E8420	0x00000D60	0x00001440	10	11	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 8056 5802 8857 0043 3000 ff08 5f8c 534a ff09
0x017D7840	0x00000DA8	0x00001454	9	10	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 53e4 57ce
0x018CBA80	0x00000DF0	0x0000145A	13	14	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 30c8 30e9 30c3 30d7 30ed 30fc 30c9
0x019BFCC0	0x00000E38	0x0000146A	7	8	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 68ee
0x01AB3F00	0x00000E80	0x0000146E	5	6	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 751f 8d04 306e 8857 3000 ff08 0031 56de 76ee ff09
0x01E84800	0x00000EC8	0x00001484	5	6	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 5927 5b66 3000 ff08 60aa 5922 6559 5ba4 ff09
0x01F78A40	0x00000F10	0x00001498	6	7	0	0.00	1.00	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 6545 90f7
0x05F397DD	0x00000F58	0x0000149E	1	100	0	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 5317 5d0e 30c6 30b9 30c8 30de 30c3 30d7 0036
0x05F3983D	0x00000FA0	0x000014B2	1	15	0	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 30ae 30df 30c3 30af 30a2 30af 30b7 30e7 30f3 30c6 30b9 30c8
0x05F3C208	0x00000FE8	0x000014CC	1	100	0	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 4e2d 5d8b 30c6 30b9 30c8 30de 30c3 30d7
0x05F3C209	0x00001030	0x000014DE	8	10	0	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	 4e2d 5d8b 30c6 30b9 30c8 30de 30c3 30d7 0032
