infoStartAddr:	0x1AA8
numEntries:	0xA9	169
title:	RESIDENT_FX_PARAM_ST
paramStartAddr:	0x00001018
entryID   	paramAddr 	infoAddr  	sfxId	dmypolyId	pad_0[8]
0x00005DC1	0x000011E8	0x00001D34	924095	701		 006d 0032 0034 005f 677e 660e ff08 5149 6e90 6709 ff09
0x00005DC2	0x000011F8	0x00001D4C	924092	702		 006d 0032 0034 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x00005DC3	0x00001208	0x00001D64	924089	703		 006d 0032 0034 005f 30ac 30b9 706f 0028 5149 6e90 306a 3057 0029
0x00005DC4	0x00001218	0x00001D80	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x00005DC5	0x00001228	0x00001D9A	924101	600		 006d 0032 0034 005f 9999 7089
0x00005DC6	0x00001238	0x00001DA8	924087	705		 006d 0032 0034 005f 6a59 8272 30ac 30b9 706f 0028 5149 6e90 6709 0029
0x00005DC7	0x00001248	0x00001DC6	924321	601		 006d 0032 0034 005f 30de 30f3 30db 30fc 30eb 84b8 6c17
0x00005DC8	0x00001258	0x00001DDE	924098	750		 006d 0032 0034 005f 78d4 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x00005DC9	0x00001268	0x00001DFC	924086	503		 006d 0032 0034 005f 30ac 30b9 706f 30bb 30c3 30c8 5149 6e90
0x00005DCA	0x00001278	0x00001E16	924096	501		 006d 0032 0034 005f 874b 71ed 30bb 30c3 30c8 5149 6e90
0x00005DCB	0x00001288	0x00001E2E	924094	706		 006d 0032 0034 005f 874b 71ed ff08 5149 6e90 306a 3057 30fb 6697 3044 6240 7528 ff09
0x00005DCC	0x00001298	0x00001E52	72	999		 5411 304d 30c6 30b9 30c8
0x00005DCD	0x000012A8	0x00001E5E	924110	800		 006d 0032 0034 005f 6249 304b 3089 6f0f 308c 308b 5149 ff08 6c4e 7528 4f4f 4eba ff09
0x00005DCE	0x000012B8	0x00001E82	924112	801		 006d 0032 0034 005f 7a93 306e 6a2a 306e 30e9 30f3 30bf 30f3
0x00006144	0x000012C8	0x00001E9C	924103	100		 006d 0032 0034 005f 30c6 30b9 30c8
0x000061A8	0x000012D8	0x00001EAC	925070	700		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x000061A9	0x000012E8	0x00001EC4	925073	701		 53e4 57ce 005f 677e 660e ff08 5149 6e90 6709 ff09
0x000061AA	0x000012F8	0x00001EDA	925070	702		 53e4 57ce 005f 874b 71ed 005f
0x000061AB	0x00001308	0x00001EE8	925075	703		 53e4 57ce 005f 30e9 30f3 30bf 30f3 0028 5149 6e90 7121 0029
0x000061AC	0x00001318	0x00001F02	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x000061AD	0x00001328	0x00001F1C	925040	501		 006d 0032 0035 005f 71ed 53f0 70b9 5149 6e90
0x000061AE	0x00001338	0x00001F30	925035	505		 006d 0032 0035 005f 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90 ff08 5c0f ff09
0x000061AF	0x00001348	0x00001F52	925036	506		 006d 0032 0035 005f 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90 ff08 4e2d ff09
0x000061B0	0x00001358	0x00001F74	925037	507		 006d 0032 0035 005f 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90 ff08 5927 ff09
0x000061B1	0x00001368	0x00001F96	925076	503		 006d 0032 0035 005f 30e9 30f3 30bf 30f3 30bb 30c3 30c8 70b9 5149 6e90 ff08 5927 ff09
0x000061B2	0x00001378	0x00001FBA	72	999		 5411 304d 30c6 30b9 30c8
0x000061B3	0x00001388	0x00001FC6	925071	705		 006d 0032 0035 005f 006f 0032 0035 0034 0035 0030 ff08 5149 6e90 6709 ff09
0x000061B4	0x00001398	0x00001FE6	925072	706		 006d 0032 0035 005f 006f 0032 0035 0034 0035 0030 0031 ff08 5149 6e90 6709 ff09
0x00006590	0x000013A8	0x00002008	900101	700		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x00006591	0x000013B8	0x00002020	900105	701		 6c4e 7528 005f 677e 660e ff08 5149 6e90 6709 ff09
0x00006592	0x000013C8	0x00002036	900100	702		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x00006593	0x000013D8	0x0000204C	900116	703		 6c4e 7528 005f 30e9 30f3 30bf 30f3 ff08 5149 6e90 6709 ff09
0x00006594	0x000013E8	0x00002066	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x00006595	0x000013F8	0x00002080	926200	800		 30ef 30fc 30d7 93e1 5e38 99d0
0x00006596	0x00001408	0x0000208E	926030	500		 006d 0032 0036 ff1a 7c60 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90
0x00006597	0x00001418	0x000020AC	926200	999		 5411 304d 30c6 30b9 30c8
0x00006978	0x00001428	0x000020B8	927100	700		 006d 0032 0037 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x00006979	0x00001438	0x000020D0	927110	703		 006d 0032 0037 005f 30e9 30f3 30bf 30f3 ff08 5149 6e90 6709 ff09
0x0000697A	0x00001448	0x000020EC	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x0000697B	0x00001458	0x00002106	927120	705		 006d 0032 0037 005f 71c3 3048 308b 30a6 30b5 30ae ff08 5149 6e90 6709 ff09
0x0000697C	0x00001468	0x00002126	927125	706		 006d 0032 0037 005f 71c3 3048 308b 99ac ff08 5149 6e90 6709 ff09
0x0000697D	0x00001478	0x00002142	72	999		 5411 304d 30c6 30b9 30c8
0x0000697E	0x00001488	0x0000214E	924112	801		 006d 0032 0037 005f 7a93 306e 6a2a 306e 30e9 30f3 30bf 30f3
0x00006982	0x00001498	0x00002168	927110	700		 006d 0032 0037 005f 30e9 30f3 30bf 30f3 ff08 5149 6e90 6709 ff09
0x00006D60	0x000014A8	0x00002184	900101	700		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x00006D61	0x000014B8	0x0000219C	900105	701		 6c4e 7528 005f 677e 660e ff08 5149 6e90 6709 ff09
0x00006D62	0x000014C8	0x000021B2	900100	702		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x00006D63	0x000014D8	0x000021C8	928031	703		 006d 0032 0038 30e9 30f3 30bf 30f3 0028 5149 6e90 3042 308a 0029
0x00006D64	0x000014E8	0x000021E4	928030	704		 006d 0032 0038 30e9 30f3 30bf 30f3 0028 5149 6e90 306a 3057 0029
0x00006D65	0x000014F8	0x00002200	928050	500		 006d 0032 0038 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90
0x00006D66	0x00001508	0x0000221A	928032	503		 006d 0032 0038 30e9 30f3 30bf 30f3 30bb 30c3 30c8 5149 6e90
0x00006D67	0x00001518	0x00002234	72	999		 5411 304d 30c6 30b9 30c8
0x00006D68	0x00001528	0x00002240	928023	800		 30ef 30fc 30d7 304a 76c6 5e38 99d0
0x00006D6A	0x00001538	0x00002250	928030	700		 006d 0032 0038 30e9 30f3 30bf 30f3 0028 5149 6e90 306a 3057 0029
0x00006D6B	0x00001548	0x0000226C	928032	701		 006d 0032 0038 30e9 30f3 30bf 30f3 30bb 30c3 30c8 5149 6e90
0x00006D74	0x00001558	0x00002286	928031	702		 006d 0032 0038 30e9 30f3 30bf 30f3 0028 5149 6e90 3042 308a 0029
0x00007148	0x00001568	0x000022A2	929080	701		 006d 0032 0039 005f 677e 660e ff08 5149 6e90 6709 ff09
0x00007149	0x00001578	0x000022BA	929090	705		 006d 0032 0039 005f 874b 71ed 3010 767d 3011 ff08 5149 6e90 306a 3057 ff09
0x0000714A	0x00001588	0x000022DA	929091	702		 006d 0032 0039 005f 874b 71ed 3010 767d 3011 ff08 5149 6e90 6709 ff09
0x0000714B	0x00001598	0x000022F8	929092	700		 006d 0032 0039 005f 874b 71ed 3010 767d 3011 ff08 5149 6e90 30d5 30ec 30a2 306a 3057 ff09
0x0000714C	0x000015A8	0x0000231E	929095	715		 006d 0032 0039 005f 874b 71ed 3010 9ec4 3011 ff08 5149 6e90 306a 3057 ff09
0x0000714D	0x000015B8	0x0000233E	929096	712		 006d 0032 0039 005f 874b 71ed 3010 9ec4 3011 ff08 5149 6e90 6709 ff09
0x0000714E	0x000015C8	0x0000235C	929097	710		 006d 0032 0039 005f 874b 71ed 3010 9ec4 3011 ff08 5149 6e90 30d5 30ec 30a2 306a 3057 ff09
0x0000714F	0x000015D8	0x00002382	929100	725		 006d 0032 0039 005f 874b 71ed 3010 8d64 3011 ff08 5149 6e90 306a 3057 ff09
0x00007150	0x000015E8	0x000023A2	929101	722		 006d 0032 0039 005f 874b 71ed 3010 8d64 3011 ff08 5149 6e90 6709 ff09
0x00007151	0x000015F8	0x000023C0	929102	720		 006d 0032 0039 005f 874b 71ed 3010 8d64 3011 ff08 5149 6e90 30d5 30ec 30a2 306a 3057 ff09
0x00007152	0x00001608	0x000023E6	929131	703		 006d 0032 0039 005f 30e9 30f3 30bf 30f3 3010 6a59 3011
0x00007153	0x00001618	0x000023FE	929132	713		 006d 0032 0039 005f 30e9 30f3 30bf 30f3 3010 9ec4 3011
0x00007154	0x00001628	0x00002416	929133	723		 006d 0032 0039 005f 30e9 30f3 30bf 30f3 3010 8d64 3011
0x00007155	0x00001638	0x0000242E	929306	750		 006d 0032 0039 005f 5149 308b 77f3
0x00007156	0x00001648	0x0000243E	929107	500		 006d 0032 0039 005f 71ed 53f0 70b9 5149 6e90 0028 5c0f 0029
0x00007157	0x00001658	0x00002458	929108	501		 006d 0032 0039 005f 71ed 53f0 70b9 5149 6e90 0028 5927 0029
0x00007158	0x00001668	0x00002472	929109	502		 006d 0032 0039 005f 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90 0028 5c0f 0029
0x00007159	0x00001678	0x00002494	929110	503		 006d 0032 0039 005f 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90 0028 4e2d 0029
0x0000715A	0x00001688	0x000024B6	929111	504		 006d 0032 0039 005f 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90 0028 5927 0029
0x0000715B	0x00001698	0x000024D8	929140	520		 006d 0032 0039 005f 5dee 3057 8fbc 3080 5149 0028 5c0f 0029
0x0000715C	0x000016A8	0x000024F2	929141	521		 006d 0032 0039 005f 5dee 3057 8fbc 3080 5149 ff08 4e2d ff09
0x0000715D	0x000016B8	0x0000250C	929142	522		 006d 0032 0039 005f 5dee 3057 8fbc 3080 5149 ff08 5927 ff09
0x0000715E	0x000016C8	0x00002526	929145	525		 006d 0032 0039 005f 5dee 3057 8fbc 3080 5149 9752 767d 0028 5c0f 0029
0x0000715F	0x000016D8	0x00002544	929146	526		 006d 0032 0039 005f 5dee 3057 8fbc 3080 5149 9752 767d ff08 4e2d ff09
0x00007160	0x000016E8	0x00002562	929147	527		 006d 0032 0039 005f 5dee 3057 8fbc 3080 5149 9752 767d ff08 5927 ff09
0x00007161	0x000016F8	0x00002580	929120	510		 006d 0032 0039 005f 9752 3044 74b0 5883 70b9 5149 6e90 ff08 0031 ff58 0031 ff09
0x00007162	0x00001708	0x000025A2	929121	511		 006d 0032 0039 005f 9752 3044 74b0 5883 70b9 5149 6e90 ff08 0032 ff58 0032 ff09
0x00007163	0x00001718	0x000025C4	929122	512		 006d 0032 0039 005f 9752 3044 74b0 5883 70b9 5149 6e90 ff08 0033 ff58 0033 ff09
0x00007164	0x00001728	0x000025E6	929123	513		 006d 0032 0039 005f 9752 3044 74b0 5883 70b9 5149 6e90 ff08 0035 ff58 0035 ff09
0x00007165	0x00001738	0x00002608	929124	514		 006d 0032 0039 005f 9752 3044 74b0 5883 70b9 5149 6e90 ff08 0037 ff58 0037 ff09
0x00007166	0x00001748	0x0000262A	929125	540		 006d 0032 0039 005f 6a59 306e 74b0 5883 70b9 5149 6e90 ff08 0031 ff58 0031 ff09
0x00007167	0x00001758	0x0000264C	929126	541		 006d 0032 0039 005f 6a59 306e 74b0 5883 70b9 5149 6e90 ff08 0032 ff58 0032 ff09
0x00007168	0x00001768	0x0000266E	929127	542		 006d 0032 0039 005f 6a59 306e 74b0 5883 70b9 5149 6e90 ff08 0033 ff58 0033 ff09
0x00007169	0x00001778	0x00002690	929128	543		 006d 0032 0039 005f 6a59 306e 74b0 5883 70b9 5149 6e90 ff08 0035 ff58 0035 ff09
0x0000716A	0x00001788	0x000026B2	929129	544		 006d 0032 0039 005f 6a59 306e 74b0 5883 70b9 5149 6e90 ff08 0037 ff58 0037 ff09
0x0000716B	0x00001798	0x000026D4	929150	550		 006d 0032 0039 005f 8d64 306e 74b0 5883 70b9 5149 6e90 ff08 0031 ff58 0031 ff09
0x0000716C	0x000017A8	0x000026F6	929151	551		 006d 0032 0039 005f 8d64 306e 74b0 5883 70b9 5149 6e90 ff08 0032 ff58 0032 ff09
0x0000716D	0x000017B8	0x00002718	929152	552		 006d 0032 0039 005f 8d64 306e 74b0 5883 70b9 5149 6e90 ff08 0033 ff58 0033 ff09
0x0000716E	0x000017C8	0x0000273A	929153	553		 006d 0032 0039 005f 8d64 306e 74b0 5883 70b9 5149 6e90 ff08 0035 ff58 0035 ff09
0x0000716F	0x000017D8	0x0000275C	929154	554		 006d 0032 0039 005f 8d64 306e 74b0 5883 70b9 5149 6e90 ff08 0037 ff58 0037 ff09
0x00007170	0x000017E8	0x0000277E	929236	530		 006d 0032 0039 005f 7802 5d50 5f37 ff08 5c0f ff09
0x00007171	0x000017F8	0x00002794	929237	531		 006d 0032 0039 005f 7802 5d50 5f37 ff08 4e2d ff09
0x00007172	0x00001808	0x000027AA	929238	532		 006d 0032 0039 005f 7802 5d50 5f37 ff08 5927 ff09
0x00007173	0x00001818	0x000027C0	929245	535		 006d 0032 0039 005f 821e 3046 7070 ff08 0031 0030 ff58 0031 0030 ff09
0x00007174	0x00001828	0x000027DE	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x00007175	0x00001838	0x000027F8	929303	600		 006d 0032 0039 005f 9999 7089 306e 7159
0x00007176	0x00001848	0x0000280A	929015	610		 006d 0032 0039 005f 30b5 30d6 30eb 30fc 30c8 6fc3 9727 0036 006d
0x00007177	0x00001858	0x00002826	929016	611		 006d 0032 0039 005f 30b5 30d6 30eb 30fc 30c8 6fc3 9727 0032 0030 006d
0x00007178	0x00001868	0x00002844	929017	612		 006d 0032 0039 005f 30b5 30d6 30eb 30fc 30c8 6fc3 9727 0033 0032 006d
0x00007179	0x00001878	0x00002862	829000	900		 006d 0032 0039 005f 5149 306e 58c1 0031
0x0000717A	0x00001888	0x00002874	829001	901		 006d 0032 0039 005f 5149 306e 58c1 0032
0x0000717B	0x00001898	0x00002886	72	999		 5411 304d 30c6 30b9 30c8
0x0000717C	0x000018A8	0x00002892	929160	706		 006d 0032 0039 005f 305f 304d 706b 306e 7159 ff08 9752 767d 5149 6e90 ff09
0x0000717D	0x000018B8	0x000028B2	929065	760		 006d 0032 0039 005f 71ed 53f0 3010 767d 3011 ff08 874b 71ed ff58 ff17 ff09
0x0000717E	0x000018C8	0x000028D2	929070	765		 006d 0032 0039 005f 6c4e 7528 50cf 3010 767d 3011 ff08 874b 71ed ff58 ff15 ff09
0x0000717F	0x000018D8	0x000028F4	929071	766		 006d 0032 0039 005f 6c4e 7528 50cf 3010 9ec4 8272 3011 ff08 874b 71ed ff58 ff15 ff09
0x00007180	0x000018E8	0x00002918	929242	830		 006d 0032 0039 005f 30b3 30ba 30df 30c3 30af 5f37 ff08 5c0f ff09
0x00007181	0x000018F8	0x00002934	929243	831		 006d 0032 0039 005f 30b3 30ba 30df 30c3 30af 5f37 ff08 4e2d ff09
0x00007182	0x00001908	0x00002950	929244	832		 006d 0032 0039 005f 30b3 30ba 30df 30c3 30af 5f37 ff08 5927 ff09
0x00007183	0x00001918	0x0000296C	929003	-1		 006d 0032 0039 005f 6a19 6e96 5f37 ff08 5c0f ff09
0x00007184	0x00001928	0x00002982	929004	-1		 006d 0032 0039 005f 6a19 6e96 5f37 ff08 4e2d ff09
0x00007185	0x00001938	0x00002998	929005	-1		 006d 0032 0039 005f 6a19 6e96 5f37 ff08 5927 ff09
0x00007D00	0x00001948	0x000029AE	932005	700		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x00007D01	0x00001958	0x000029C6	900105	701		 6c4e 7528 005f 677e 660e ff08 5149 6e90 6709 ff09
0x00007D02	0x00001968	0x000029DC	900100	702		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x00007D03	0x00001978	0x000029F2	932007	703		 6c4e 7528 005f 30e9 30f3 30bf 30f3 0028 5149 6e90 6709 0029
0x00007D04	0x00001988	0x00002A0C	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x00007D05	0x00001998	0x00002A26	932003	750		 53cd 8ee2 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x00007D06	0x000019A8	0x00002A3E	932000	751		 53cd 8ee2 005f 677e 660e ff08 5149 6e90 6709 ff09
0x00007D07	0x000019B8	0x00002A54	932004	752		 53cd 8ee2 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x00007D08	0x000019C8	0x00002A6A	932020	500		 30b7 30e3 30f3 30c7 30ea 30a2 70b9 5149 6e90
0x00007D09	0x000019D8	0x00002A7E	72	999		 5411 304d 30c6 30b9 30c8
0x00007D0A	0x000019E8	0x00002A8A	832000	900		 30de 30eb 30c1 5149 306e 58c1
0x000080E8	0x000019F8	0x00002A98	900101	700		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 306a 3057 ff09
0x000080E9	0x00001A08	0x00002AB0	900105	701		 6c4e 7528 005f 677e 660e ff08 5149 6e90 6709 ff09
0x000080EA	0x00001A18	0x00002AC6	933015	702		 6c4e 7528 005f 874b 71ed ff08 5149 6e90 6709 ff09
0x000080EB	0x00001A28	0x00002ADC	900115	703		 6c4e 7528 005f 30e9 30f3 30bf 30f3 0028 5149 6e90 6709 0029
0x000080EC	0x00001A38	0x00002AF6	900110	704		 6c4e 7528 005f 305f 304d 706b 0028 5149 6e90 5f71 6709 0029
0x000080ED	0x00001A48	0x00002B10	933020	710		 6708 306e 82b1 0028 5149 6e90 5f71 6709 0029
0x000080EE	0x00001A58	0x00002B24	933021	501		 874b 71ed 76bf 306e 5149 6e90
0x000080EF	0x00001A68	0x00002B32	72	999		 5411 304d 30c6 30b9 30c8
0x000080F0	0x00001A78	0x00002B3E	933200	100		 30d1 30c3 30c1 9053 6a19
0x000182B8	0x00001A88	0x00002B4A	21051	90		 0050 0047 8abf 67fb 7528
