infoStartAddr:	0x9570
numEntries:	0x2AA	682
title:	SHOP_LINEUP_PARAM
paramStartAddr:	0x00004030
entryID   	paramAddr 	infoAddr  	equipId	value	mtrlId	eventFlag	qwcId	sellQuantity	shopType	equipType	value_SAN	pad_0[6]
0x0001AE1B	0x00004CD0	0x00009A7A	1260	2000	-1	-1	12101000	-1	0	3	-1		 7363 8a98 3044
0x0001AE78	0x00004CF0	0x00009A82	11000000	8000	-1	-1	12101002	-1	0	0	-1		 5263 676d
0x0001AE79	0x00004D10	0x00009A88	10000000	4000	-1	-1	12101002	-1	0	0	-1		 9283 69cd
0x0001AE7A	0x00004D30	0x00009A8E	1220	680	-1	-1	12101002	-1	0	3	-1		 6cb9 58fa
0x0001AE7B	0x00004D50	0x00009A94	1250	400	-1	-1	12101002	-1	0	3	-1		 80cc 5f8c 706b 708e 74f6
0x0001AEDC	0x00004D70	0x00009AA0	5100000	60000	-1	-1	12101003	-1	0	0	-1		 5263 938c
0x0001AEDD	0x00004D90	0x00009AA6	200000	7000	-1	70009040	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 982d
0x0001AEDE	0x00004DB0	0x00009AB4	201000	17000	-1	70009050	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 80f4
0x0001AEDF	0x00004DD0	0x00009AC2	203000	7000	-1	70009060	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 811a
0x0001AF40	0x00004DF0	0x00009AD0	4000000	40000	-1	-1	12101001	-1	0	0	-1		 53cc 5263
0x0001AF41	0x00004E10	0x00009AD6	180000	10000	-1	70009070	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 982d
0x0001AF42	0x00004E30	0x00009AEC	181000	18000	-1	70009080	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 80f4
0x0001AF43	0x00004E50	0x00009B02	182000	8000	-1	70009090	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 8155
0x0001AF44	0x00004E70	0x00009B18	183000	8000	-1	70009100	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 811a
0x0001AFA4	0x00004E90	0x00009B2E	13000000	26000	-1	-1	12101008	-1	0	0	-1		 7206 69cc
0x0001AFA5	0x00004EB0	0x00009B34	1320	2100	-1	-1	12101008	-1	0	3	-1		 30a8 30f3 30c1 30e3 30f3 30c8 3010 96f7 3011
0x0001B008	0x00004ED0	0x00009B48	8000000	3000	-1	-1	12101004	-1	0	0	-1		 5263 69cc
0x0001B009	0x00004EF0	0x00009B4E	14200000	3000	-1	-1	12101004	-1	0	0	-1		 6559 4f1a 77ed 9283
0x0001B00A	0x00004F10	0x00009B58	1100	600	-1	-1	12101004	-1	0	3	-1		 89e3 6bd2 85ac
0x0001B00B	0x00004F30	0x00009B60	1400	800	-1	-1	12101004	-1	0	3	-1		 5e30 9084
0x0001B00C	0x00004F50	0x00009B66	1412	2000	-1	-1	12101004	-1	0	3	-1		 30e9 30f3 30bf 30f3
0x0001B00D	0x00004F70	0x00009B70	4011	10000	-1	70009250	12101004	1	0	3	-1		 9280 306e 30da 30f3 30c0 30f3 30c8
0x0001B06C	0x00004F90	0x00009B80	8100000	20000	-1	-1	12101005	-1	0	0	-1		 5263 5927 5263
0x0001B06D	0x00004FB0	0x00009B88	6100000	10000	-1	-1	12101005	-1	0	0	-1		 6559 4f1a 9577 9283
0x0001B06E	0x00004FD0	0x00009B92	18100000	8000	-1	-1	12101005	-1	0	0	-1		 706b 708e 653e 5c04 5668
0x0001B06F	0x00004FF0	0x00009B9E	1300	1720	-1	-1	12101005	-1	0	3	-1		 30a8 30f3 30c1 30e3 30f3 30c8 3010 708e 3011
0x0001B070	0x00005010	0x00009BB2	1330	740	-1	-1	12101005	-1	0	3	-1		 9283 5a01 529b 30a2 30c3 30d7
0x0001B071	0x00005030	0x00009BC0	1410	20	-1	-1	12101005	-1	0	3	-1		 9053 6a19
0x0001B072	0x00005050	0x00009BC6	3000	2000	-1	-1	12101005	-1	0	3	-1		 6b66 5668 5f37 5316 7d20 6750 3010 30b3 30e2 30f3 3011
0x0001B073	0x00005070	0x00009BDE	140000	6000	-1	70009110	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 982d
0x0001B074	0x00005090	0x00009BF0	141000	18000	-1	70009120	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 80f4
0x0001B075	0x000050B0	0x00009C02	142000	6000	-1	70009130	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 8155
0x0001B076	0x000050D0	0x00009C14	143000	6000	-1	70009140	12101005	1	0	1	-1		 6559 4f1a 30cf 30f3 30bf 30fc 005f 811a
0x0001B0D0	0x000050F0	0x00009C26	12000000	13000	-1	-1	12101006	-1	0	0	-1		 8eca 8f2a
0x0001B0D1	0x00005110	0x00009C2C	150000	60000	-1	70009150	12101006	1	0	1	-1		 8840 65cf 72e9 308a 005f 982d
0x0001B134	0x00005130	0x00009C3A	10100000	18000	-1	-1	12101007	-1	0	0	-1		 9283 5263
0x0001B135	0x00005150	0x00009C40	2000000	50000	-1	-1	12101007	-1	0	0	-1		 5200
0x0001B136	0x00005170	0x00009C44	14100000	16000	-1	-1	12101007	-1	0	0	-1		 30f4 30a1 30f3 30d1 30a4 30a2 77ed 9283
0x0001B137	0x00005190	0x00009C56	100000	27000	-1	70009160	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 982d
0x0001B138	0x000051B0	0x00009C6C	101000	44000	-1	70009170	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 80f4
0x0001B139	0x000051D0	0x00009C82	102000	21000	-1	70009180	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 8155
0x0001B13A	0x000051F0	0x00009C98	103000	21000	-1	70009190	12101007	1	0	1	-1		 30f4 30a1 30f3 30d1 30a4 30a2 9a0e 58eb 005f 811a
0x0001B198	0x00005210	0x00009CAE	18000000	60000	-1	-1	12101009	-1	0	0	-1		 5674 5c04 5668
0x0001B199	0x00005230	0x00009CB6	1210	600	-1	-1	12101009	-1	0	3	-1		 6bd2 30ca 30a4 30d5
0x0001B19A	0x00005250	0x00009CC0	1101	1200	-1	-1	12101009	-1	0	3	-1		 72c2 6c17 30fb 7363 5316 56de 5fa9
0x0001B19B	0x00005270	0x00009CD0	3010	10000	-1	-1	12101009	-1	0	3	-1		 6b66 5668 5f37 5316 7d20 6750 3010 30a2 30f3 30b3 30e2 30f3 3011
0x0001B1FC	0x00005290	0x00009CEC	9000000	34000	-1	-1	12101010	-1	0	0	-1		 62f3 7363
0x0001B1FD	0x000052B0	0x00009CF2	15000000	18000	-1	-1	12101011	-1	0	0	-1		 5927 7b52
0x0001B1FE	0x000052D0	0x00009CF8	20000000	2000	-1	-1	12101012	-1	0	0	-1		 72e9 4eba 306e 677e 660e
0x0001D4C0	0x000052F0	0x00009D04	1000	540	-1	-1	-1	-1	0	3	-1		 8f38 8840 6db2
0x0001D4C1	0x00005310	0x00009D0C	900	320	-1	-1	-1	-1	0	3	-1		 9283 5f3e
0x0001D4C2	0x00005330	0x00009D12	1200	860	-1	-1	-1	-1	0	3	-1		 706b 708e 74f6
0x0001D4C3	0x00005350	0x00009D1A	1230	10	-1	-1	-1	-1	0	3	-1		 77f3 3053 308d
0x0001D4C4	0x00005370	0x00009D22	60000	500	-1	70009000	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 982d
0x0001D4C5	0x00005390	0x00009D34	61000	1000	-1	70009010	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 80f4
0x0001D4C6	0x000053B0	0x00009D46	62000	500	-1	70009020	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 8155
0x0001D4C7	0x000053D0	0x00009D58	63000	500	-1	70009030	-1	1	0	1	-1		 4e0b 7d1a 30cf 30f3 30bf 30fc 005f 811a
0x0001D4C8	0x000053F0	0x00009D6A	7000	2500	-1	-1	5000	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0031 3011
0x0001D4C9	0x00005410	0x00009D7A	7001	6000	-1	-1	5005	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0032 3011
0x0001D4CA	0x00005430	0x00009D8A	7002	12000	-1	-1	5007	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0033 3011
0x0001D4CB	0x00005450	0x00009D9A	7003	24000	-1	-1	5053	-1	0	3	-1		 5100 5f0f 306e 8840 3010 0034 3011
0x0001D4CC	0x00005470	0x00009DAA	7020	2000	-1	-1	5004	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0031 3011
0x0001D4CD	0x00005490	0x00009DBA	7021	5000	-1	-1	5005	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0032 3011
0x0001D4CE	0x000054B0	0x00009DCA	7022	10000	-1	-1	5007	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0033 3011
0x0001D4CF	0x000054D0	0x00009DDA	7023	20000	-1	-1	5053	-1	0	3	-1		 5893 6240 30ab 30d3 3010 0034 3011
0x0001D524	0x000054F0	0x00009DEA	7000000	1000	-1	-1	12101000	-1	0	0	-1		 30ce 30b3 30ca 30bf
0x0001D525	0x00005510	0x00009DF4	5000000	1100	-1	-1	12101000	-1	0	0	-1		 65a7 7aff
0x0001D526	0x00005530	0x00009DFA	22000000	1200	-1	-1	12101000	-1	0	0	-1		 6756 97ad
0x0001D527	0x00005550	0x00009E00	7100000	1000	-1	-1	12101000	-1	0	0	-1		 30ce 30b3 69cd
0x0001D528	0x00005570	0x00009E08	14000000	1600	-1	-1	12101000	-1	0	0	-1		 5de5 623f 77ed 9283
0x0001D529	0x00005590	0x00009E12	6000000	1700	-1	-1	12101000	-1	0	0	-1		 5de5 623f 9577 9283
0x0001D52A	0x000055B0	0x00009E1C	1240	450	-1	-1	12101000	-1	0	3	-1		 6295 3052 30ca 30a4 30d5
0x0001D52B	0x000055D0	0x00009E28	1260	5000	-1	-1	12101000	-1	0	3	-1		 7363 8a98 3044
0x0001D588	0x000055F0	0x00009E30	11000000	8000	-1	-1	12101002	-1	0	0	-1		 5263 676d
0x0001D589	0x00005610	0x00009E36	10000000	4000	-1	-1	12101002	-1	0	0	-1		 9283 69cd
0x0001D58A	0x00005630	0x00009E3C	1220	1360	-1	-1	12101002	-1	0	3	-1		 6cb9 58fa
0x0001D58B	0x00005650	0x00009E42	1250	900	-1	-1	12101002	-1	0	3	-1		 80cc 5f8c 706b 708e 74f6
0x0001D5EC	0x00005670	0x00009E4E	5100000	60000	-1	-1	12101003	-1	0	0	-1		 5263 938c
0x0001D5ED	0x00005690	0x00009E54	200000	7000	-1	70009040	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 982d
0x0001D5EE	0x000056B0	0x00009E62	201000	17000	-1	70009050	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 80f4
0x0001D5EF	0x000056D0	0x00009E70	203000	7000	-1	70009060	12101003	1	0	1	-1		 62e0 70b9 8001 4eba 005f 811a
0x0001D650	0x000056F0	0x00009E7E	4000000	40000	-1	-1	12101001	-1	0	0	-1		 53cc 5263
0x0001D651	0x00005710	0x00009E84	180000	10000	-1	70009070	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 982d
0x0001D652	0x00005730	0x00009E9A	181000	18000	-1	70009080	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 80f4
0x0001D653	0x00005750	0x00009EB0	182000	8000	-1	70009090	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 8155
0x0001D654	0x00005770	0x00009EC6	183000	8000	-1	70009100	12101001	1	0	1	-1		 5207 308a 88c2 304d 30b8 30e3 30c3 30af 005f 811a
0x0001D6B4	0x00005790	0x00009EDC	13000000	26000	-1	-1	12101008	-1	0	0	-1		 7206 69cc
0x0001D6B5	0x000057B0	0x00009EE2	1320	5000	-1	-1	12101008	-1	0	3	-1		 30a8 30f3 30c1 30e3 30f3 30c8 3010 96f7 3011
0x0001D718	0x000057D0	0x00009EF6	8000000	3000	-1	-1	12101004	-1	0	0	-1		 5263 69cc
0x0001D719	0x000057F0	0x00009EFC	14200000	3000	-1	-1	12101004	-1	0	0	-1		 6559 4f1a 77ed 9283
0x0001D71A	0x00005810	0x00009F06	1100	1300	-1	-1	12101004	-1	0	3	-1		 89e3 6bd2 85ac
0x0001D71B	0x00005830	0x00009F0E	1400	1200	-1	-1	12101004	-1	0	3	-1		 5e30 9084
0x0001D71C	0x00005850	0x00009F14	1412	2000	-1	-1	12101004	-1	0	3	-1		 30e9 30f3 30bf 30f3
0x0001D71D	0x00005870	0x00009F1E	4011	10000	-1	70009250	12101004	1	0	3	-1		 9280 306e 30da 30f3 30c0 30f3 30c8
0x0001D77C	0x00005890	0x00009F2E	8100000	20000	-1	-1	12101005	-1	0	0	-1		 5263 5927 5263
0x0001D77D	0x000058B0	0x00009F36	6100000	10000	-1	-1	12101005	-1	0	0	-1		 6559 4f1a 9577 9283
0x0001D77E	0x000058D0	0x00009F40	18100000	8000	-1	-1	12101005	-1	0	0	-1		 706b 708e 653e 5c04 5668
0x0001D77F	0x000058F0	0x00009F4C	1300	4200	-1	-1	12101005	-1	0	3	-1		 30a8 30f3 30c1 30e3 30f3 30c8 3010 708e 3011
0x0001D780	0x00005910	0x00009F60	1330	1800	-1	-1	12101005	-1	0	3	-1		 9283 5a01 529b 30a2 30c3 30d7
0x0001D781	0x00005930	0x00009F6E	1410	20	-1	-1	12101005	-1	0	3	-1		 9053 6a19
0x0001D782	0x00005950	0x00009F74	3000	2000	-1	-1	12101005	-1	0	3	-1		 6b66 5668 5f37 5316 7d20 6750 3010 30b3 30e2 30f3 3011
