infoStartAddr:	0x0C80
numEntries:	0x38	56
title:	AI_SOUND_PARAM_ST
paramStartAddr:	0x00000580
entryID   	paramAddr 	infoAddr  	radius	lifeFrame	bSpEffectEnable	type	fakeTargetType	interestCategory	useHitDamageTeam	pad1[19]
0x0000083E	0x00000720	0x00000D38	8.000000	1.000000	1	2	0	20	0		 653b 6483 30d2 30c3 30c8 3010 5927 3011
0x00000848	0x00000740	0x00000D4A	10.000000	1.000000	1	2	0	30	0		 653b 6483 30d2 30c3 30c8 3010 9283 5f3e 3011
0x00000BB8	0x00000760	0x00000D5E	4.000000	1.000000	0	0	0	30	0		 30aa 30d6 30b8 30a7 30af 30c8 7834 58ca 97f3 5c0f
0x00000BC2	0x00000780	0x00000D74	10.000000	1.000000	0	0	0	30	0		 30aa 30d6 30b8 30a7 30af 30c8 7834 58ca 97f3 5927
0x00000FA0	0x000007A0	0x00000D8A	13.000000	5.000000	0	0	2	200	0		 30bd 30a6 30eb 30b3 30a4 30f3 ff08 901a 5e38 ff09
0x00000FA1	0x000007C0	0x00000DA0	13.000000	5.000000	0	0	4	200	0		 30bd 30a6 30eb 30b3 30a4 30f3 ff08 7363 ff09
0x00000FA2	0x000007E0	0x00000DB4	13.000000	5.000000	0	0	3	200	0		 30bd 30a6 30eb 30b3 30a4 30f3 ff08 4e0d 6b7b ff09
0x00000FA3	0x00000800	0x00000DCA	5.000000	1.000000	0	0	1	200	0		 5e7b 8074
0x00000FAA	0x00000820	0x00000DD0	0.000000	1.000000	0	0	0	1	0		 77f3 3053 308d
0x00001388	0x00000840	0x00000DD8	10.000000	0.500000	0	0	0	100	0		 5927 7832 004f 0042 004a 005f 7740 5f3e 97f3
0x000013EC	0x00000860	0x00000DEC	5.000000	15.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0035 006d
0x000013ED	0x00000880	0x00000E08	10.000000	14.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0031 0030 006d
0x000013EE	0x000008A0	0x00000E26	15.000000	13.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0031 0035 006d
0x000013EF	0x000008C0	0x00000E44	20.000000	12.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0032 0030 006d
0x000013F0	0x000008E0	0x00000E62	25.000000	11.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0032 0035 006d
0x000013F1	0x00000900	0x00000E80	30.000000	10.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0033 0030 006d
0x000013F2	0x00000920	0x00000E9E	40.000000	9.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0034 0030 006d
0x000013F3	0x00000940	0x00000EBC	50.000000	8.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0035 0030 006d
0x000013F4	0x00000960	0x00000EDA	60.000000	7.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0036 0030 006d
0x000013F5	0x00000980	0x00000EF8	70.000000	6.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0037 0030 006d
0x000013F6	0x000009A0	0x00000F16	80.000000	5.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0038 0030 006d
0x000013F7	0x000009C0	0x00000F34	90.000000	4.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0039 0030 006d
0x000013F8	0x000009E0	0x00000F52	100.000000	3.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0031 0030 0030 006d
0x00001450	0x00000A00	0x00000F72	5.000000	3.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 9306 3073 305f 6249 0020 0031 002f 0033
0x00001451	0x00000A20	0x00000F90	15.000000	3.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 9306 3073 305f 6249 0020 0032 002f 0033
0x00001452	0x00000A40	0x00000FAE	30.000000	3.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 9306 3073 305f 6249 0020 0033 002f 0033
0x0000145A	0x00000A60	0x00000FCC	7.000000	3.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 9306 3073 305f 5b9d 7bb1 0020 0031 002f 0032
0x0000145B	0x00000A80	0x00000FEC	30.000000	1.000000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 9306 3073 305f 5b9d 7bb1 0020 0032 002f 0032
0x00001464	0x00000AA0	0x0000100C	30.000000	0.500000	0	0	0	100	0		 30c0 30f3 30b8 30e7 30f3 005f 706b 85ac 30bf 30eb 306e 7206 767a
0x00001770	0x00000AC0	0x00001028	2.500000	2.000000	0	0	0	100	0		 8056 5802 8857 0041 005f 4eba 5bc4 305b 306e 9418 0032 006d
0x00001771	0x00000AE0	0x00001042	10.000000	2.000000	0	0	0	100	0		 8056 5802 8857 0041 005f 4eba 5bc4 305b 306e 9418 0031 0030 006d
0x00001772	0x00000B00	0x0000105E	20.000000	2.000000	0	0	0	100	0		 8056 5802 8857 0041 005f 4eba 5bc4 305b 306e 9418 0032 0030 006d
0x00001773	0x00000B20	0x0000107A	30.000000	2.000000	0	0	0	100	0		 8056 5802 8857 0041 005f 4eba 5bc4 305b 306e 9418 0033 0030 006d
0x00001774	0x00000B40	0x00001096	40.000000	0.500000	0	0	0	100	0		 8056 5802 8857 0041 005f 4eba 5bc4 305b 306e 9418 0034 0030 006d
0x00001775	0x00000B60	0x000010B2	40.000000	5.000000	0	0	0	100	0		 8056 5802 8857 0041 005f 4eba 5bc4 305b 306e 9418 0034 0030 006d ff08 9577 5bff 547d ff09
0x000017D4	0x00000B80	0x000010D8	20.000000	2.000000	0	0	0	100	0		 5ec3 589f 005f 76ee 899a 307e 3057 97f3
0x00001838	0x00000BA0	0x000010EA	20.000000	2.000000	0	0	0	100	0		 5927 5b66 005f 0050 0043 767a 898b 97f3
0x0000189C	0x00000BC0	0x000010FC	20.000000	1.000000	0	0	0	100	0		 68ee 005f 30c8 30e9 30d0 30b5 30df 97f3
0x00018E70	0x00000BE0	0x0000110E	20.000000	2.000000	0	0	0	100	0		 0063 0031 0030 0032 0030 005f 7fa4 8846 0041 005f 97f3 7206 5f3e
0x0001BD50	0x00000C00	0x0000112A	15.000000	1.000000	0	0	0	100	0		 0063 0031 0031 0034 0030 005f 72c2 4fe1 8005 306e 7363 005f 5420 3048 58f0
0x0001C520	0x00000C20	0x0000114A	15.000000	1.000000	0	0	0	100	0		 0063 0031 0031 0036 0030 005f 30c7 30fc 30e2 30f3 72ac 005f 5420 3048 58f0
0x0001E460	0x00000C40	0x0000116A	15.000000	1.000000	0	0	0	100	0		 0063 0031 0032 0034 0030 005f 72c2 72ac 005f 5420 3048 58f0
