infoStartAddr:	0x1AD0
numEntries:	0x64	100
title:	RITUAL_REQUIRED_MAT_PARAM
paramStartAddr:	0x000009A0
entryID   	paramAddr 	infoAddr  	useSoul	materialItemId_1	materialItemId_2	materialItemId_3	materialItemId_4	materialItemId_5	num_1	num_2	num_3	num_4	num_5
0x000079E0	0x00000E70	0x00001F18	3200	7002	7022	7150	0	0	6	2	6	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0042 ff1a 50fb 5893 005f 30de 30eb 30c1
0x00007A08	0x00000E9C	0x00001F44	0	7050	0	0	0	0	19	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0033 3011 0020 0042 ff1a 50fb 5893 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x00009CA4	0x00000EC8	0x00001F7C	5500	7003	7023	0	0	0	9	6	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044
0x00009CAE	0x00000EF4	0x00001FAA	0	7121	0	0	0	0	2	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 6575 5f37 5316
0x00009CB8	0x00000F20	0x00001FE0	0	7130	0	0	0	0	3	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x00009CEA	0x00000F4C	0x00002018	0	7140	0	0	0	0	3	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 546a 3044
0x0000A410	0x00000F78	0x0000204C	5500	7003	7013	7023	0	0	9	2	5	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3
0x0000A41A	0x00000FA4	0x00002074	0	7121	0	0	0	0	2	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 ff1a 6575 5f37 5316
0x0000A424	0x00000FD0	0x000020A4	0	7130	0	0	0	0	3	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0034 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 ff1a 7279 6b8a 5f37 6575
0x0000C350	0x00000FFC	0x000020D6	11500	7004	7024	7110	0	0	9	5	4	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb
0x0000C35A	0x00001028	0x000020FE	0	7121	0	0	0	0	6	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb ff1a 6575 5f37 5316
0x0000C364	0x00001054	0x0000212E	0	7131	0	0	0	0	4	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb ff1a 7279 6b8a 5f37 6575
0x0000C396	0x00001080	0x00002160	0	7140	0	0	0	0	3	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb ff1a 546a 3044
0x0000C418	0x000010AC	0x0000218E	11500	7004	7024	7110	0	0	9	5	4	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x0000C440	0x000010D8	0x000021BE	0	7050	0	0	0	0	32	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x0000CB20	0x00001104	0x000021FA	11500	7004	7014	7024	7110	0	9	4	2	1	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3
0x0000CB2A	0x00001130	0x00002222	0	7121	0	0	0	0	2	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 ff1a 6575 5f37 5316
0x0000CB34	0x0000115C	0x00002252	0	7131	0	0	0	0	4	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 ff1a 7279 6b8a 5f37 6575
0x0000CB66	0x00001188	0x00002284	0	7140	0	0	0	0	3	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 ff1a 546a 3044
0x0000CBE8	0x000011B4	0x000022B2	11500	7004	7014	7024	7110	0	9	4	2	1	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1
0x0000CC10	0x000011E0	0x000022E2	0	7050	0	0	0	0	32	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x0000CF08	0x0000120C	0x0000231E	11500	7004	7024	7100	7110	0	9	3	3	1	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0044 ff1a 30a4 30ba
0x0000CF12	0x00001238	0x00002342	0	7121	0	0	0	0	6	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0044 ff1a 30a4 30ba ff1a 6575 5f37 5316
0x0000CF1C	0x00001264	0x0000236E	0	7131	0	0	0	0	4	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0044 ff1a 30a4 30ba ff1a 7279 6b8a 5f37 6575
0x0000CF4E	0x00001290	0x0000239C	0	7140	0	0	0	0	3	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0044 ff1a 30a4 30ba ff1a 546a 3044
0x0000CFD0	0x000012BC	0x000023C6	11500	7004	7024	7100	7110	0	9	3	3	1	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0044 ff1a 30a4 30ba 005f 30de 30eb 30c1
0x0000CFF8	0x000012E8	0x000023F2	0	7050	0	0	0	0	32	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0035 3011 0020 0044 ff1a 30a4 30ba 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x0000EAC4	0x00001314	0x0000242A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044
0x0000EACE	0x00001340	0x00002458	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 6575 5f37 5316
0x0000EAD8	0x0000136C	0x0000248E	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x0000EB0A	0x00001398	0x000024C6	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 546a 3044
0x0000F294	0x000013C4	0x000024FA	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044
0x0000F29E	0x000013F0	0x00002528	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044 ff1a 6575 5f37 5316
0x0000F2A8	0x0000141C	0x0000255E	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x0000F2DA	0x00001448	0x00002596	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044 ff1a 546a 3044
0x0000F67C	0x00001474	0x000025CA	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044
0x0000F686	0x000014A0	0x000025F4	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044 ff1a 6575 5f37 5316
0x0000F690	0x000014CC	0x00002626	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x0000F6C2	0x000014F8	0x0000265A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0036 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044 ff1a 546a 3044
0x000111D4	0x00001524	0x0000268A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044
0x000111DE	0x00001550	0x000026B8	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 6575 5f37 5316
0x000111E8	0x0000157C	0x000026EE	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x0001121A	0x000015A8	0x00002726	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 546a 3044 ff1a 546a 3044
0x00011238	0x000015D4	0x0000275A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1
0x00011260	0x00001600	0x0000278A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x0001129C	0x0000162C	0x000027C6	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 3072 3069 3044 546a 3044
0x000112A6	0x00001658	0x000027FA	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 3072 3069 3044 546a 3044 ff1a 6575 5f37 5316
0x000112B0	0x00001684	0x00002836	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 3072 3069 3044 546a 3044 ff1a 7279 6b8a 5f37 6575
0x000112E2	0x000016B0	0x00002874	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 3072 3069 3044 546a 3044 ff1a 546a 3044
0x000112EC	0x000016DC	0x000028AE	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0041 ff1a 30c8 30a5 30e1 30eb 005f 3072 3069 3044 546a 3044 ff1a 3072 3069 3044 546a 3044
0x000119A4	0x00001708	0x000028EE	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044
0x000119AE	0x00001734	0x0000291C	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044 ff1a 6575 5f37 5316
0x000119B8	0x00001760	0x00002952	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x000119EA	0x0000178C	0x0000298A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 546a 3044 ff1a 546a 3044
0x00011A08	0x000017B8	0x000029BE	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1
0x00011A30	0x000017E4	0x000029EE	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x00011A6C	0x00001810	0x00002A2A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 3072 3069 3044 546a 3044
0x00011A76	0x0000183C	0x00002A5E	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 3072 3069 3044 546a 3044 ff1a 6575 5f37 5316
0x00011A80	0x00001868	0x00002A9A	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 3072 3069 3044 546a 3044 ff1a 7279 6b8a 5f37 6575
0x00011AB2	0x00001894	0x00002AD8	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 3072 3069 3044 546a 3044 ff1a 546a 3044
0x00011ABC	0x000018C0	0x00002B12	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0043 ff1a 30ed 30fc 30e9 30f3 005f 3072 3069 3044 546a 3044 ff1a 3072 3069 3044 546a 3044
0x00011D8C	0x000018EC	0x00002B52	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044
0x00011D96	0x00001918	0x00002B7C	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044 ff1a 6575 5f37 5316
0x00011DA0	0x00001944	0x00002BAE	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044 ff1a 7279 6b8a 5f37 6575
0x00011DD2	0x00001970	0x00002BE2	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 546a 3044 ff1a 546a 3044
0x00011DF0	0x0000199C	0x00002C12	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 30de 30eb 30c1
0x00011E18	0x000019C8	0x00002C3E	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 30de 30eb 30c1 ff1a 6575 5bfe 30de 30eb 30c1
0x00011E54	0x000019F4	0x00002C76	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 3072 3069 3044 546a 3044
0x00011E5E	0x00001A20	0x00002CA6	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 3072 3069 3044 546a 3044 ff1a 6575 5f37 5316
0x00011E68	0x00001A4C	0x00002CDE	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 3072 3069 3044 546a 3044 ff1a 7279 6b8a 5f37 6575
0x00011E9A	0x00001A78	0x00002D18	10	7000	0	0	0	0	1	0	0	0	0	 81ea 52d5 751f 6210 8056 676f 3010 30ec 30d9 30eb 0037 3011 0020 0044 ff1a 30a4 30ba 005f 3072 3069 3044 546a 3044 ff1a 546a 3044
