infoStartAddr:	0x2308
numEntries:	0x35	53
title:	MOVE_PARAM_ST
paramStartAddr:	0x00000538
entryID   	paramAddr 	infoAddr  	stayId	walkF	walkB	walkL	walkR	dashF	dashB	dashL	dashR	superDash	escapeF	escapeB	escapeL	escapeR	turnL	trunR	largeTurnL	largeTurnR	stepMove	flyStay	flyWalkF	flyWalkFL	flyWalkFR	flyWalkFL2	flyWalkFR2	flyDashF	flyDashFL	flyDashFR	flyDashFL2	flyDashFR2	dashEscapeF	dashEscapeB	dashEscapeL	dashEscapeR	analogMoveParamId	turnNoAnimAngle	turn45Angle	turn90Angle	turnWaitNoAnimAngle
0x0000006B	0x000018E8	0x0000254E	7002	210	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30a6 30ed 30b3 9271 592b 3000 975e 6226 95d8 6642 ff08 888b ff09
0x0000006C	0x00001978	0x0000256A	7001	210	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30a6 30ed 30b3 9271 592b 3000 975e 6226 95d8 6642 ff08 30d4 30c3 30af 30eb ff09
0x0000006D	0x00001A08	0x0000258C	9000	210	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 5927 8718 86db 3000 306e 305e 304d 8fbc 307f
0x0000006E	0x00001A98	0x000025A0	9000	9100	9101	9102	9103	9200	9201	9202	9203	-1	-1	-1	-1	-1	9300	9301	9300	9301	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30ac 30fc 30b4 30a4 30eb 30c6 30b9 30c8
0x0000006F	0x00001B28	0x000025B2	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	-1	20	20	20	20	20	20	20	20	20	20	20	-1	-1	-1	-1	-1	5	45	90	45	 30c9 30e9 30b4 30f3 30c7 30fc 30e2 30f3 ff08 5751 9053 ff09
0x00000070	0x00001BB8	0x000025CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	5	45	90	45	 5d50 306e 7363 7528
0x00000071	0x00001C48	0x000025D6	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	-1	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	9000	-1	-1	-1	-1	-1	5	45	90	45	 5d50 306e 7363 ff08 5b50 30a8 30a4 ff09 30d3 30c1 30d3 30c1 5f85 6a5f
0x00000072	0x00001CD8	0x000025F4	50000	210	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30a6 30ed 30b3 9271 592b 3000 975e 6226 95d8 6642 ff08 7d20 624b ff09
0x00000073	0x00001D68	0x00002612	0	200	201	612	613	510	501	502	503	-1	-1	-1	-1	-1	612	613	614	615	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30bf 30b3 982d 0020 3000 6226 95d8 6642
0x00000074	0x00001DF8	0x00002624	0	200	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30ac 30fc 30b4 30a4 30eb 7a7a 4e2d ff08 0033 0030 0035 0030 7528 ff09
0x00000075	0x00001E88	0x00002642	10000	10200	10201	10202	10203	10500	10501	10502	10503	-1	-1	-1	-1	-1	10602	10603	10604	10605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30ac 30fc 30b4 30a4 30eb 5730 4e0a ff08 0033 0030 0035 0030 7528 ff09
0x00000076	0x00001F18	0x00002660	9900	9100	9101	9102	9103	9200	9201	9202	9203	-1	-1	-1	-1	-1	7602	7603	7604	7605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 5f71 5973 ff3f 6d88 3048 308b 7528
0x00000077	0x00001FA8	0x00002670	0	200	201	200	200	500	501	500	500	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 8840 30c0 30cb 5c02 7528
0x00000078	0x00002038	0x0000267C	9310	9300	9301	9302	9303	9300	9301	9302	9303	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 30d1 30ea 30a3 72d9 3044
0x00000079	0x000020C8	0x00002688	0	200	201	202	203	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	45	90	45	 3010 0044 004c 0043 3011 6575 57fa 672c 3000 6226 95d8 6642 ff08 8d70 884c ff0f 65cb 56de 30a2 30cb 30e1 306a 3057 30d0 30fc 30b8 30e7 30f3 ff09
0x000000C8	0x00002158	0x000026C4	0	200	201	202	203	500	501	502	503	-1	-1	-1	-1	-1	602	603	604	605	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	65	110	45	 6575 57fa 672c 3000 6226 95d8 6642 3010 30dc 30b9 0032 8db3 6b69 884c 3011
0x00000384	0x000021E8	0x000026E4	0	200	201	202	203	500	201	202	203	-1	-1	-1	-1	-1	602	603	604	605	-1	0	200	200	200	200	200	500	500	500	502	503	-1	-1	-1	-1	-1	5	45	90	45	 0050 0047 7528 0034 8db3 30bf 30a4 30d7
