infoStartAddr:	0x552D8
numEntries:	0x1855	6229
title:	BEHAVIOR_PARAM_ST
paramStartAddr:	0x00024838
entryID   	paramAddr 	infoAddr  	variationId	behaviorJudgeId	ezStateBehaviorType_old	refType	pad0[2]	refId	sfxVariationId	stamina	mp	category	heroPoint	pad1[2]
0x000013BA	0x00024CF8	0x00055782	0	0	0	0		5050	0	0	0	0	0		 738b 57ce 0031 3000 5927 9244 7403
0x000013C4	0x00024D18	0x00055792	0	0	0	0		5060	0	0	0	0	0		 738b 57ce 0031 3000 30a8 30ec 30d9 30fc 30bf 5929 4e95 69cd
0x000013CE	0x00024D38	0x000557AC	0	0	0	1		2900000	0	0	0	0	0		 3010 0053 0050 3011 0020 30c0 30f3 30b8 30e7 30f3 0020 98db 3073 51fa 3059 77e2
0x000013CF	0x00024D58	0x000557CE	0	0	0	1		2400050	0	0	0	0	0		 3010 0053 0050 3011 0020 8056 5802 8857 0041 3000 4ed5 639b 3051 9283
0x000013D8	0x00024D78	0x000557EC	0	0	0	1		1021	0	0	0	0	0		 738b 57ce 0031 3000 706b 3092 5674 304f 30ac 30fc 30b4 30a4 30eb 50cf
0x000013E2	0x00024D98	0x0005580A	0	0	0	0		5090	0	0	0	0	0		 5ec3 90fd 3000 6eb6 5ca9 30c0 30e1 30fc 30b8 3010 6307 8f2a 3067 7121 52b9 3011
0x000013E3	0x00024DB8	0x0005582C	0	0	0	0		5091	0	0	0	0	0		 5ec3 90fd 3000 6eb6 5ca9 30c0 30e1 30fc 30b8 3010 6307 8f2a 3082 8cab 901a 3011
0x000013EC	0x00024DD8	0x0005584E	0	0	0	0		5100	0	0	0	0	0		 5893 5730 0031 3000 30c8 30b2 6a4b 306e 91dd
0x000013F6	0x00024DF8	0x00055862	0	0	0	0		5110	0	0	0	0	0		 3010 0053 0050 3011 0020 30c0 30f3 30b8 30e7 30f3 3000 9244 7403
0x00001400	0x00024E18	0x0005587E	0	0	0	0		5120	0	0	0	0	0		 5893 5730 0031 3000 77f3 50cf 306e 91dd
0x0000140A	0x00024E38	0x00055890	0	0	0	0		5130	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0033 0030 0030 0030 30d5 30a1 30a4 30a2 30d6 30ec 30b9
0x00001414	0x00024E58	0x000558B6	0	0	0	0		5140	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0033 0030 0030 0031 30d5 30a1 30a4 30a2 30d6 30ec 30b9 ff08 5f37 ff09
0x0000141E	0x00024E78	0x000558E2	0	0	0	0		5150	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0033 0030 0030 0032 98db 3073 7acb 3061 30d6 30ec 30b9
0x00001428	0x00024E98	0x00055908	0	0	0	0		5160	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0033 0030 0030 0039 30d6 30ec 30b9 3057 306a 304c 3089 524d 65b9 79fb 52d5 ff06 53cd 8ee2
0x00001432	0x00024EB8	0x0005593C	0	0	0	0		5170	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0033 0030 0031 0030 4e0a 6607 ff06 4e0b 65b9 30d6 30ec 30b9
0x0000143C	0x00024ED8	0x00055964	0	0	0	0		5180	0	0	0	0	0		 5ec3 90fd 3000 5c01 5370 7834 58ca 885d 6483 6ce2
0x00001446	0x00024EF8	0x0005597A	0	0	0	0		5190	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0037 0030 0030 0034 0042 5730 70b9 30d6 30ec 30b9 0033
0x00001450	0x00024F18	0x000559A0	0	0	0	0		5200	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0037 0030 0030 0035 0041 5730 70b9 2192 0042 5730 70b9 79fb 52d5
0x0000145A	0x00024F38	0x000559CA	0	0	0	0		5210	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0037 0030 0030 0038 0042 5730 70b9 30d6 30ec 30b9 0031
0x00001464	0x00024F58	0x000559F0	0	0	0	0		5220	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0037 0030 0030 0039 0042 5730 70b9 30d6 30ec 30b9 0032
0x0000146E	0x00024F78	0x00055A16	0	0	0	0		5230	0	0	0	0	0		 30d8 30eb 30ab 30a4 30c8 005f 0061 0037 0030 0031 0031 0042 5730 70b9 98db 3073 7acb 3061 30d6 30ec 30b9 0032
0x000014B4	0x00024F98	0x00055A44	0	0	0	1		28610	0	0	0	0	0		 0063 0032 0038 0036 0030 005f 5de8 4eba 5974 96b7 005f 30a4 30d9 30f3 30c8 6295 64f2 ff11
0x000014B5	0x00024FB8	0x00055A6A	0	0	0	1		28611	0	0	0	0	0		 0063 0032 0038 0036 0030 005f 5de8 4eba 5974 96b7 005f 30a4 30d9 30f3 30c8 6295 64f2 ff12
0x000014B6	0x00024FD8	0x00055A90	0	0	0	1		28612	0	0	0	0	0		 0063 0032 0038 0036 0030 005f 5de8 4eba 5974 96b7 005f 30a4 30d9 30f3 30c8 6295 64f2 ff13
0x000014B7	0x00024FF8	0x00055AB6	0	0	0	1		28613	0	0	0	0	0		 0063 0032 0038 0036 0030 005f 5de8 4eba 5974 96b7 005f 30a4 30d9 30f3 30c8 6295 64f2 ff14
0x000014B8	0x00025018	0x00055ADC	0	0	0	1		28614	0	0	0	0	0		 0063 0032 0038 0036 0030 005f 5de8 4eba 5974 96b7 005f 30a4 30d9 30f3 30c8 6295 64f2 ff15
0x000014B9	0x00025038	0x00055B02	0	0	0	1		28615	0	0	0	0	0		 0063 0032 0038 0036 0030 005f 5de8 4eba 5974 96b7 005f 30a4 30d9 30f3 30c8 6295 64f2 ff16
0x00001518	0x00025058	0x00055B28	0	0	0	1		62	0	0	0	0	0		 3010 0053 0050 3011 0020 30cf 30f3 30de 30fc 5c0f 8840 7cca
0x00001770	0x00025078	0x00055B42	0	0	0	1		2900011	0	0	0	0	0		 3010 0053 0050 3011 0020 30c0 30f3 30b8 30e7 30f3 0020 7206 767a 30bf 30eb
0x0000177A	0x00025098	0x00055B62	0	0	0	0		6010	0	0	0	0	0		 5b97 6559 8857 0020 305f 304d 706b
0x00001784	0x000250B8	0x00055B72	0	0	0	1		2900020	0	0	0	0	0		 3010 0053 0050 3011 3000 9cf4 5b50 30c6 30b9 30c8
0x00001785	0x000250D8	0x00055B88	0	0	0	1		2400110	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 4eba 5bc4 305b 306e 9418 0031 0030 006d
0x00001786	0x000250F8	0x00055BAC	0	0	0	1		2400120	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 4eba 5bc4 305b 306e 9418 0032 0030 006d
0x00001787	0x00025118	0x00055BD0	0	0	0	1		2400130	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 4eba 5bc4 305b 306e 9418 0033 0030 006d
0x00001788	0x00025138	0x00055BF4	0	0	0	1		2400140	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 4eba 5bc4 305b 306e 9418 0034 0030 006d
0x00001789	0x00025158	0x00055C18	0	0	0	1		2400142	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 4eba 5bc4 305b 306e 9418 0034 0030 006d 6d88 6ec5 307e 3067 306e 6642 9593 304c 9577 3044
0x0000178A	0x00025178	0x00055C50	0	0	0	1		2400102	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 4eba 5bc4 305b 306e 9418 0032 006d 4eba 6563 3089 3057 7528
0x0000178B	0x00025198	0x00055C7C	0	0	0	1		2400060	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 958b 9580 3057 305f 306e 3067 8056 5802 3078
0x0000178C	0x000251B8	0x00055CA2	0	0	0	1		2400122	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 30dd 30a4 30f3 30c8 3092 4e2d 5fc3 306b 8b66 6212
0x0000178D	0x000251D8	0x00055CCA	0	0	0	1		2400099	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 005f 5f3e 4e38 30c6 30b9 30c8
0x0000178E	0x000251F8	0x00055CE8	0	0	0	1		2300000	0	0	0	0	0		 5ec3 589f 3000 5f37 5236 76ee 899a 307e 3057
0x0000178F	0x00025218	0x00055CFC	0	0	0	1		2300010	0	0	0	0	0		 5ec3 589f 3000 76ee 899a 307e 3057 97f3
0x00001790	0x00025238	0x00055D0E	0	0	0	1		2800000	0	0	0	0	0		 751f 8d04 3000 30df 30df 30c3 30af 5f31 4f53 708e
0x00001798	0x00025258	0x00055D24	0	0	0	1		2900500	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 8fd1 8ddd 96e2
0x00001799	0x00025278	0x00055D3E	0	0	0	1		2900501	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 4e2d 8ddd 96e2
0x0000179A	0x00025298	0x00055D58	0	0	0	1		2900502	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 9577 8ddd 96e2
0x0000179B	0x000252B8	0x00055D72	0	0	0	1		2400000	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 8fd1 8ddd 96e2 005f 8056 5802 8857 0041
0x0000179C	0x000252D8	0x00055D96	0	0	0	1		2400001	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 4e2d 8ddd 96e2 005f 8056 5802 8857 0041
0x0000179D	0x000252F8	0x00055DBA	0	0	0	1		2400002	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 9577 8ddd 96e2 005f 8056 5802 8857 0041
0x0000179E	0x00025318	0x00055DDE	0	0	0	1		2400010	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 8fd1 8ddd 96e2 005f 8056 5802 8857 0041 005f 0053 0043
0x0000179F	0x00025338	0x00055E08	0	0	0	1		2400011	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 4e2d 8ddd 96e2 969c 5bb3 7269 56de 907f 005f 8056 5802 8857 0041 005f 0053 0043
0x000017A0	0x00025358	0x00055E3C	0	0	0	1		2400012	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 4e2d 8ddd 96e2 005f 8056 5802 8857 0041 005f 0053 0043
0x000017A1	0x00025378	0x00055E66	0	0	0	1		2400013	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 7832 767a 5c04 9577 8ddd 96e2 005f 8056 5802 8857 0041 005f 0053 0043
0x000017A2	0x00025398	0x00055E90	0	0	0	1		2900105	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0035 006d
0x000017A3	0x000253B8	0x00055EB6	0	0	0	1		2900110	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0031 0030 006d
0x000017A4	0x000253D8	0x00055EDE	0	0	0	1		2900115	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0031 0035 006d
0x000017A5	0x000253F8	0x00055F06	0	0	0	1		2900120	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0032 0030 006d
0x000017A6	0x00025418	0x00055F2E	0	0	0	1		2900125	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0032 0035 006d
0x000017A7	0x00025438	0x00055F56	0	0	0	1		2900130	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0033 0030 006d
0x000017A8	0x00025458	0x00055F7E	0	0	0	1		2900140	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0034 0030 006d
0x000017A9	0x00025478	0x00055FA6	0	0	0	1		2900150	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0035 0030 006d
0x000017AA	0x00025498	0x00055FCE	0	0	0	1		2900160	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0036 0030 006d
0x000017AB	0x000254B8	0x00055FF6	0	0	0	1		2900170	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0037 0030 006d
0x000017AC	0x000254D8	0x0005601E	0	0	0	1		2900180	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0038 0030 006d
0x000017AD	0x000254F8	0x00056046	0	0	0	1		2900190	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0039 0030 006d
0x000017AE	0x00025518	0x0005606E	0	0	0	1		2900200	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 0031 0030 0030 006d
0x000017AF	0x00025538	0x00056098	0	0	0	1		2900100	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 005f 76ee 899a 307e 3057 0031 0030 0030 006d
0x000017B0	0x00025558	0x000560CC	0	0	0	1		2900103	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 005f 4eba 5bc4 305b 306e 9418 005f 76ee 899a 307e 3057 0035 0030 006d
0x000017B1	0x00025578	0x000560FE	0	0	0	1		2400098	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 0041 6bd2 30ac 30b9
0x000017B2	0x00025598	0x00056118	0	0	0	1		2400090	0	0	0	0	0		 3010 0053 0050 3011 3000 8056 5802 8857 0041 6cb9 305f 308b 30c8 30e9 30c3 30d7
0x000017B6	0x000255B8	0x0005613A	0	0	0	1		2300020	0	0	0	0	0		 3010 0053 0050 3011 3000 5ec3 589f 3000 5927 7206 767a
0x000017B7	0x000255D8	0x00056152	0	0	0	1		2300030	0	0	0	0	0		 3010 0053 0050 3011 3000 5ec3 589f 3000 7206 767a 30bf 30eb
0x000017C0	0x000255F8	0x0005616C	0	0	0	1		3200000	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 5b66 3000 706b 85ac 6a3d
0x000017C1	0x00025618	0x00056184	0	0	0	1		3200010	0	0	0	0	0		 3010 0053 0050 3011 3000 5927 5b66 3000 0050 0043 767a 898b 97f3
0x000017CA	0x00025638	0x000561A0	0	0	0	1		2900310	0	0	0	0	0		 3010 0053 0050 3011 3000 9999 7089 3000 6cb9 307e 307f 308c
0x000017D4	0x00025658	0x000561BA	0	0	0	0		6100	0	0	0	0	0		 3010 0053 0050 3011 0020 68ee 3000 30da 30f3 30c7 30e5 30e9 30e0 ff08 4e38 592a ff09
0x000017D5	0x00025678	0x000561DE	0	0	0	0		6101	0	0	0	0	0		 3010 0053 0050 3011 0020 68ee 3000 30c8 30e9 30d0 30b5 30df
0x000017DE	0x00025698	0x000561F8	0	0	0	0		6110	0	0	0	0	0		 8056 5802 8857 0042 3000 711a 706b
0x000017DF	0x000256B8	0x00056208	0	0	0	0		6111	0	0	0	0	0		 8056 5802 8857 0042 3000 85aa 8eca
0x000017E0	0x000256D8	0x00056218	0	0	0	0		6112	0	0	0	0	0		 8056 5802 8857 0042 3000 85aa 8eca 3000 6b62 3081
0x000017E8	0x000256F8	0x0005622E	0	0	0	1		2900320	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0031
0x000017E9	0x00025718	0x0005625C	0	0	0	1		2900321	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0032
0x000017EA	0x00025738	0x0005628A	0	0	0	1		2900322	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0033
0x000017EB	0x00025758	0x000562B8	0	0	0	1		2900323	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0034
0x000017EC	0x00025778	0x000562E6	0	0	0	1		2900324	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0035
0x000017ED	0x00025798	0x00056314	0	0	0	1		2900325	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0036
0x000017EE	0x000257B8	0x00056342	0	0	0	1		2900326	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0037
0x000017EF	0x000257D8	0x00056370	0	0	0	1		2900327	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 9999 7089 3000 6bd2 3000 5100 5f0f 30ec 30d9 30eb 0038
0x000017F2	0x000257F8	0x0005639E	0	0	0	0		6130	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0031
0x000017F3	0x00025818	0x000563DA	0	0	0	0		6131	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0032
0x000017F4	0x00025838	0x00056416	0	0	0	0		6132	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0033
0x000017F5	0x00025858	0x00056452	0	0	0	0		6133	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0034
0x000017F6	0x00025878	0x0005648E	0	0	0	0		6134	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0035
0x000017F7	0x00025898	0x000564CA	0	0	0	0		6135	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0036
0x000017F8	0x000258B8	0x00056506	0	0	0	0		6136	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0037
0x000017F9	0x000258D8	0x00056542	0	0	0	0		6137	0	0	0	0	0		 3010 0053 0050 3011 3000 30c0 30f3 30b8 30e7 30f3 3000 30da 30f3 30c7 30e5 30e9 30e0 ff06 30ae 30ed 30c1 30f3 3000 5100 5f0f 30ec 30d9 30eb 0038
