infoStartAddr:	0x28B8
numEntries:	0xB9	185
title:	CHARMAKEMENUTOP_PARAM_ST
paramStartAddr:	0x00001198
entryID   	paramAddr 	infoAddr  	CommandID	CaptionID	FaceParamID	TableID	ViewCondition	PreviewMode	reserved[11]
0x00000013	0x000013D8	0x00002970	1	426230	13	0	0	2	19	 982c 306e 8272
0x00000014	0x000013F8	0x00002978	1	425760	60	0	0	2	20	 6cd5 4ee4 7dda
0x00000015	0x00001418	0x00002980	11	0	0	0	0	0	21	 ff5d 002d 002d 002d 002d 002d
0x00000016	0x00001438	0x0000298E	10	424000	0	0	0	2	22	 002d 002d 002d 002d 002d ff5b 9854 8a73 7d30
0x00000017	0x00001458	0x000029A2	3	423100	141	200	1	2	23	 9854 30d9 30fc 30b9
0x00000018	0x00001478	0x000029AC	3	423100	141	220	2	2	24	 9854 30d9 30fc 30b9
0x0000001A	0x00001498	0x000029B6	12	424300	0	0	0	2	26	 4f3c 305f 9854
0x0000001B	0x000014B8	0x000029BE	10	424100	0	0	0	2	27	 002d 002d 002d 002d 002d ff5b 7279 5fb4 4ed8 3051
0x0000001C	0x000014D8	0x000029D4	1	424110	96	0	0	2	28	 5e74 9f62 30a4 30e1 30fc 30b8
0x0000001D	0x000014F8	0x000029E2	1	424120	97	0	0	2	29	 6027 5225 30a4 30e1 30fc 30b8
0x0000001E	0x00001518	0x000029F0	1	424130	99	0	0	2	30	 5f62 72b6 8a87 5f35
0x0000001F	0x00001538	0x000029FA	11	0	0	0	0	0	31	 ff5d 002d 002d 002d 002d 002d
0x00000020	0x00001558	0x00002A08	10	424400	0	0	0	2	32	 002d 002d 002d 002d 002d ff5b 9854 306e 5f62 72b6
0x00000021	0x00001578	0x00002A1E	10	425100	0	0	0	2	33	 002d 002d 002d 002d 002d ff5b 9854 306e 30d0 30e9 30f3 30b9
0x00000022	0x00001598	0x00002A38	1	425110	0	0	0	2	34	 9f3b 306e 5360 3081 308b 6bd4 7387
0x00000023	0x000015B8	0x00002A48	1	425120	1	0	0	2	35	 9f3b 3068 984d 306e 6bd4 7387
0x00000024	0x000015D8	0x00002A56	1	425140	3	0	0	2	36	 9854 306e 51f9 51f8
0x00000025	0x000015F8	0x00002A60	1	425150	4	0	0	2	37	 9854 30d1 30fc 30c4 306e 4e0a 4e0b 306e 9593 9694
0x00000026	0x00001618	0x00002A76	1	425160	5	0	0	2	38	 9854 30d1 30fc 30c4 306e 50be 304d
0x00000027	0x00001638	0x00002A86	1	425170	6	0	0	2	39	 9854 30d1 30fc 30c4 306e 5de6 53f3 306e 9593 9694
0x00000028	0x00001658	0x00002A9C	11	0	0	0	0	0	40	 ff5d 002d 002d 002d 002d 002d
0x00000029	0x00001678	0x00002AAA	10	425200	0	0	0	2	41	 002d 002d 002d 002d 002d ff5b 984d 002f 7709 9593
0x0000002A	0x00001698	0x00002AC0	1	425220	15	0	0	2	42	 984d 306e 6df1 3055
0x0000002B	0x000016B8	0x00002ACA	1	425230	16	0	0	2	43	 984d 306e 51f9 51f8
0x0000002C	0x000016D8	0x00002AD4	1	425240	17	0	0	2	44	 9f3b 6881 4e0a 90e8 306e 9ad8 3055
0x0000002D	0x000016F8	0x00002AE4	1	425250	18	0	0	2	45	 9f3b 6881 4e0a 90e8 306e 51f9 51f8 0031
0x0000002E	0x00001718	0x00002AF6	1	425260	19	0	0	2	46	 9f3b 6881 4e0a 90e8 306e 51f9 51f8 0032
0x0000002F	0x00001738	0x00002B08	1	425270	20	0	0	2	47	 9f3b 6881 4e0a 90e8 306e 5e45
0x00000030	0x00001758	0x00002B16	11	0	0	0	0	0	48	 ff5d 002d 002d 002d 002d 002d
0x00000031	0x00001778	0x00002B24	10	425300	0	0	0	2	49	 002d 002d 002d 002d 002d ff5b 7709 9aa8
0x00000032	0x00001798	0x00002B36	1	425310	21	0	0	2	50	 7709 9aa8 306e 9ad8 3055
0x00000033	0x000017B8	0x00002B42	1	425320	22	0	0	2	51	 7709 9aa8 306e 5185 7aef
0x00000034	0x000017D8	0x00002B4E	1	425330	23	0	0	2	52	 7709 9aa8 306e 5916 7aef
0x00000035	0x000017F8	0x00002B5A	11	0	0	0	0	0	53	 ff5d 002d 002d 002d 002d 002d
0x00000036	0x00001818	0x00002B68	10	425400	0	0	0	2	54	 002d 002d 002d 002d 002d ff5b 773c
0x00000037	0x00001838	0x00002B78	1	425410	31	0	0	2	55	 773c 306e 4f4d 7f6e
0x00000038	0x00001858	0x00002B82	1	425420	32	0	0	2	56	 773c 306e 5927 304d 3055
0x00000039	0x00001878	0x00002B8E	1	425430	33	0	0	2	57	 773c 306e 50be 304d
0x0000003A	0x00001898	0x00002B98	1	425440	34	0	0	2	58	 773c 306e 9593 9694
0x0000003B	0x000018B8	0x00002BA2	11	0	0	0	0	0	59	 ff5d 002d 002d 002d 002d 002d
0x0000003C	0x000018D8	0x00002BB0	10	425500	0	0	0	2	60	 002d 002d 002d 002d 002d ff5b 9f3b 7b4b
0x0000003D	0x000018F8	0x00002BC2	1	425510	44	0	0	2	61	 9f3b 7b4b 306e 6df1 3055
0x0000003E	0x00001918	0x00002BCE	1	425520	45	0	0	2	62	 9f3b 7b4b 306e 9577 3055
0x0000003F	0x00001938	0x00002BDA	1	425530	46	0	0	2	63	 9f3b 306e 4f4d 7f6e
0x00000040	0x00001958	0x00002BE4	1	425540	47	0	0	2	64	 9f3b 5148 306e 9ad8 3055
0x00000041	0x00001978	0x00002BF0	1	425550	48	0	0	2	65	 9f3b 306e 51f9 51f8
0x00000042	0x00001998	0x00002BFA	1	425560	49	0	0	2	66	 9f3b 306e 9ad8 3055
0x00000043	0x000019B8	0x00002C04	1	425570	50	0	0	2	67	 9f3b 306e 50be 659c
0x00000044	0x000019D8	0x00002C0E	11	0	0	0	0	0	68	 ff5d 002d 002d 002d 002d 002d
0x00000045	0x000019F8	0x00002C1C	10	425600	0	0	0	2	69	 002d 002d 002d 002d 002d ff5b 5c0f 9f3b
0x00000046	0x00001A18	0x00002C2E	1	425610	51	0	0	2	70	 5c0f 9f3b 306e 50be 659c
0x00000047	0x00001A38	0x00002C3A	1	425620	52	0	0	2	71	 5c0f 9f3b 306e 5927 304d 3055
0x00000048	0x00001A58	0x00002C48	1	425630	53	0	0	2	72	 5c0f 9f3b 306e 5e45
0x00000049	0x00001A78	0x00002C52	1	425640	54	0	0	2	73	 9f3b 5b54 306e 5927 304d 3055
0x0000004A	0x00001A98	0x00002C60	11	0	0	0	0	0	74	 ff5d 002d 002d 002d 002d 002d
0x0000004B	0x00001AB8	0x00002C6E	10	425700	0	0	0	2	75	 002d 002d 002d 002d 002d ff5b 982c
0x0000004C	0x00001AD8	0x00002C7E	1	425710	55	0	0	2	76	 982c 9aa8 306e 9ad8 3055
0x0000004D	0x00001AF8	0x00002C8A	1	425720	56	0	0	2	77	 982c 9aa8 306e 6df1 3055
0x0000004E	0x00001B18	0x00002C96	1	425730	57	0	0	2	78	 982c 9aa8 306e 5e83 3055
0x0000004F	0x00001B38	0x00002CA2	1	425740	58	0	0	2	79	 982c 306e 51f9 51f8
0x00000050	0x00001B58	0x00002CAC	1	425750	59	0	0	2	80	 982c 306e 8089 4ed8 304d
0x00000051	0x00001B78	0x00002CB8	11	0	0	0	0	0	81	 ff5d 002d 002d 002d 002d 002d
0x00000052	0x00001B98	0x00002CC6	10	425800	0	0	0	2	82	 002d 002d 002d 002d 002d ff5b 5507
0x00000053	0x00001BB8	0x00002CD6	1	425810	61	0	0	2	83	 5507 306e 5f62
0x00000054	0x00001BD8	0x00002CDE	1	425820	62	0	0	2	84	 53e3 5143 306e 8868 60c5
0x00000055	0x00001BF8	0x00002CEA	1	425830	63	0	0	2	85	 5507 306e 81a8 3089 307f
0x00000056	0x00001C18	0x00002CF6	1	425840	64	0	0	2	86	 5507 306e 5927 304d 3055
0x00000057	0x00001C38	0x00002D02	1	425850	65	0	0	2	87	 5507 306e 51f9 51f8
0x00000058	0x00001C58	0x00002D0C	1	425860	66	0	0	2	88	 5507 306e 539a 3055
0x00000059	0x00001C78	0x00002D16	11	0	0	0	0	0	89	 ff5d 002d 002d 002d 002d 002d
0x0000005A	0x00001C98	0x00002D24	10	425900	0	0	0	2	90	 002d 002d 002d 002d 002d ff5b 53e3
0x0000005B	0x00001CB8	0x00002D34	1	425910	67	0	0	2	91	 53e3 306e 51f9 51f8
0x0000005C	0x00001CD8	0x00002D3E	1	425920	68	0	0	2	92	 53e3 306e 50be 304d
0x0000005D	0x00001CF8	0x00002D48	1	425930	69	0	0	2	93	 304b 307f 5408 308f 305b
0x0000005E	0x00001D18	0x00002D54	1	425940	70	0	0	2	94	 53e3 306e 4f4d 7f6e
0x0000005F	0x00001D38	0x00002D5E	1	425950	71	0	0	2	95	 53e3 306e 5e45
0x00000060	0x00001D58	0x00002D66	1	425960	72	0	0	2	96	 53e3 304b 3089 984e 306e 8ddd 96e2
0x00000061	0x00001D78	0x00002D76	11	0	0	0	0	0	97	 ff5d 002d 002d 002d 002d 002d
0x00000062	0x00001D98	0x00002D84	10	426000	0	0	0	2	98	 002d 002d 002d 002d 002d ff5b 4e0b 984e
0x00000063	0x00001DB8	0x00002D96	1	426010	76	0	0	2	99	 984e 5148 7aef 306e 524d 5f8c
0x00000064	0x00001DD8	0x00002DA4	1	426020	77	0	0	2	100	 984e 5148 306e 9577 3055
0x00000065	0x00001DF8	0x00002DB0	1	426030	78	0	0	2	101	 984e 5148 306e 7a81 304d 51fa 3057
0x00000066	0x00001E18	0x00002DC0	1	426040	79	0	0	2	102	 984e 5148 306e 6df1 3055
0x00000067	0x00001E38	0x00002DCC	1	426050	80	0	0	2	103	 984e 5148 306e 5927 304d 3055
0x00000068	0x00001E58	0x00002DDA	1	426060	81	0	0	2	104	 984e 5148 306e 9ad8 3055
0x00000069	0x00001E78	0x00002DE6	1	426070	82	0	0	2	105	 984e 5148 306e 5e83 3055
0x0000006A	0x00001E98	0x00002DF2	11	0	0	0	0	0	106	 ff5d 002d 002d 002d 002d 002d
0x0000006B	0x00001EB8	0x00002E00	10	426100	0	0	0	2	107	 002d 002d 002d 002d 002d ff5b 4e0a 984e
0x0000006C	0x00001ED8	0x00002E12	1	426110	83	0	0	2	108	 984e 306e 7a81 304d 51fa 3057
0x0000006D	0x00001EF8	0x00002E20	1	426120	84	0	0	2	109	 984e 306e 5e45
0x0000006E	0x00001F18	0x00002E28	1	426130	85	0	0	2	110	 984e 4e0b 90e8
0x0000006F	0x00001F38	0x00002E30	1	426140	86	0	0	2	111	 984e 306e 8f2a 90ed
0x00000070	0x00001F58	0x00002E3A	11	0	0	0	0	0	112	 ff5d 002d 002d 002d 002d 002d
0x00000071	0x00001F78	0x00002E48	11	0	0	0	0	0	113	 ff5d 002d 002d 002d 002d 002d
0x00000072	0x00001F98	0x00002E56	10	424600	0	0	0	2	114	 002d 002d 002d 002d 002d ff5b 808c 8272 002f 5316 7ca7
0x00000073	0x00001FB8	0x00002E6E	2	421300	109	100	0	2	115	 808c 8272 30d9 30fc 30b9
0x00000074	0x00001FD8	0x00002E7A	10	426200	0	0	0	2	116	 002d 002d 002d 002d 002d ff5b 808c 306e 8272 8abf
0x00000075	0x00001FF8	0x00002E90	1	426210	8	0	0	2	117	 808c 306e 660e 308b 3055
0x00000076	0x00002018	0x00002E9C	1	426240	9	0	0	2	118	 808c 8272 8abf 6574 ff11
0x00000077	0x00002038	0x00002EA8	1	426250	10	0	0	2	119	 808c 8272 8abf 6574 ff12
0x00000078	0x00002058	0x00002EB4	1	426260	11	0	0	2	120	 808c 8272 8abf 6574 ff13
0x00000079	0x00002078	0x00002EC0	1	426220	12	0	0	2	121	 9f3b 6881 306e 8272
0x0000007A	0x00002098	0x00002ECA	1	426230	13	0	0	2	122	 982c 306e 8272
0x0000007B	0x000020B8	0x00002ED2	1	425760	60	0	0	2	123	 6cd5 4ee4 7dda
0x0000007C	0x000020D8	0x00002EDA	11	0	0	0	0	0	124	 ff5d 002d 002d 002d 002d 002d
0x0000007D	0x000020F8	0x00002EE8	10	426300	0	0	0	2	125	 002d 002d 002d 002d 002d ff5b 76ee 5143
0x0000007E	0x00002118	0x00002EFA	1	426310	38	0	0	2	126	 773c 7aa9 306e 8272
0x0000007F	0x00002138	0x00002F04	1	426320	39	0	0	2	127	 773c 7aa9 306e 660e 308b 3055
0x00000080	0x00002158	0x00002F12	1	426330	40	0	0	2	128	 307e 3076 305f 306e 660e 308b 3055
0x00000081	0x00002178	0x00002F22	1	426340	41	0	0	2	129	 307e 3076 305f 306e 8272
0x00000082	0x00002198	0x00002F2E	1	426350	42	0	0	2	130	 30a2 30a4 30e9 30a4 30ca 30fc
0x00000083	0x000021B8	0x00002F3C	1	426360	43	0	0	2	131	 30a2 30a4 30b7 30e3 30c9 30fc
0x00000084	0x000021D8	0x00002F4A	11	0	0	0	0	0	132	 ff5d 002d 002d 002d 002d 002d
0x00000085	0x000021F8	0x00002F58	10	426400	0	0	0	2	133	 002d 002d 002d 002d 002d ff5b 53e3 7d05
0x00000086	0x00002218	0x00002F6A	1	426410	74	0	0	2	134	 53e3 7d05 ff11
0x00000087	0x00002238	0x00002F72	1	426420	75	0	0	2	135	 53e3 7d05 ff12
0x00000088	0x00002258	0x00002F7A	11	0	0	0	0	0	136	 ff5d 002d 002d 002d 002d 002d
0x00000089	0x00002278	0x00002F88	11	0	0	0	0	0	137	 ff5d 002d 002d 002d 002d 002d
0x0000008A	0x00002298	0x00002F96	10	428000	0	0	0	2	138	 002d 002d 002d 002d 002d ff5b 9aea 002f 7709 002f 9aed 002f 307e 3064 3052
0x0000008B	0x000022B8	0x00002FB6	2	428700	147	300	0	2	139	 9aea 002f 7709 002f 9aed 8272
0x0000008C	0x000022D8	0x00002FC4	3	428100	103	700	0	2	140	 9aea
0x0000008D	0x000022F8	0x00002FC8	2	428200	118	300	0	2	141	 9aea 8272
0x0000008E	0x00002318	0x00002FCE	3	423400	104	500	0	2	142	 7709
0x0000008F	0x00002338	0x00002FD2	2	423500	121	300	0	2	143	 7709 8272
0x00000090	0x00002358	0x00002FD8	3	428300	106	600	1	2	144	 9aed
0x00000091	0x00002378	0x00002FDC	3	428300	106	620	2	2	145	 9aed
0x00000092	0x00002398	0x00002FE0	2	428400	127	300	0	2	146	 9aed 8272
0x00000093	0x000023B8	0x00002FE6	3	423600	105	1100	0	2	147	 307e 3064 3052
0x00000094	0x000023D8	0x00002FEE	2	423700	124	300	0	2	148	 307e 3064 3052 8272
0x00000095	0x000023F8	0x00002FF8	11	0	0	0	0	0	149	 ff5d 002d 002d 002d 002d 002d
0x00000096	0x00002418	0x00003006	10	433000	0	0	0	2	150	 002d 002d 002d 002d 002d ff5b 77b3
0x00000097	0x00002438	0x00003016	3	423200	143	1000	0	2	151	 4e21 77b3 306e 5927 304d 3055
0x00000098	0x00002458	0x00003024	2	423300	144	200	0	2	152	 4e21 77b3 306e 8272
0x00000099	0x00002478	0x0000302E	3	427100	102	300	0	2	153	 53f3 77b3 306e 5927 304d 3055
0x0000009A	0x00002498	0x0000303C	2	427200	115	200	0	2	154	 53f3 77b3 306e 8272
0x0000009B	0x000024B8	0x00003046	3	427300	101	400	0	2	155	 5de6 77b3 306e 5927 304d 3055
0x0000009C	0x000024D8	0x00003054	2	427400	112	200	0	2	156	 5de6 77b3 306e 8272
0x0000009D	0x000024F8	0x0000305E	11	0	0	0	0	0	157	 ff5d 002d 002d 002d 002d 002d
0x0000009E	0x00002518	0x0000306C	10	430000	0	0	0	2	158	 002d 002d 002d 002d 002d ff5b 5165 308c 58a8 002f 75e3 002f 30e1 30ac 30cd
0x0000009F	0x00002538	0x0000308C	3	429100	108	800	0	2	159	 5165 308c 58a8 002f 75e3
0x000000A0	0x00002558	0x00003098	2	430100	133	500	0	2	160	 5165 308c 58a8 002f 75e3 306e 8272
0x000000A1	0x00002578	0x000030A8	10	430200	0	0	0	2	161	 002d 002d 002d 002d 002d ff5b 5165 308c 58a8 002f 75e3 306e 8abf 6574
0x000000A2	0x00002598	0x000030C6	1	430210	151	0	0	2	162	 4f4d 7f6e ff08 4e0a 4e0b ff09
0x000000A3	0x000025B8	0x000030D4	1	430220	150	0	0	2	163	 4f4d 7f6e ff08 5de6 53f3 ff09
0x000000A4	0x000025D8	0x000030E2	1	430230	152	0	0	2	164	 89d2 5ea6
0x000000A5	0x000025F8	0x000030E8	1	430240	153	0	0	2	165	 62e1 5927 7387
0x000000A6	0x00002618	0x000030F0	11	0	0	0	0	0	166	 ff5d 002d 002d 002d 002d 002d
0x000000A7	0x00002638	0x000030FE	3	429200	107	900	0	2	167	 30e1 30ac 30cd
0x000000A8	0x00002658	0x00003106	2	430300	130	400	0	2	168	 30e1 30ac 30cd 8272
0x000000A9	0x00002678	0x00003110	11	0	0	0	0	0	169	 ff5d 002d 002d 002d 002d 002d
0x000000AA	0x00002698	0x0000311E	11	0	0	0	0	0	170	 ff5d 002d 002d 002d 002d 002d
0x000000AB	0x000026B8	0x0000312C	14	432100	0	0	0	2	171	 304a 6c17 306b 5165 308a 8aad 307f 8fbc 307f
0x000000AC	0x000026D8	0x00003140	15	432200	0	0	0	2	172	 304a 6c17 306b 5165 308a 4fdd 5b58
0x000000AD	0x000026F8	0x00003150	100	420012	0	0	0	0	173	 521d 671f 5316
0x000000AE	0x00002718	0x00003158	0	0	0	0	0	0	174	
0x000000AF	0x00002738	0x0000315A	0	0	0	0	0	0	175	
0x000000B0	0x00002758	0x0000315C	0	0	0	0	0	0	176	
0x000000B1	0x00002778	0x0000315E	0	0	0	0	0	0	177	
0x000000B2	0x00002798	0x00003160	0	0	0	0	0	0	178	
0x000000B3	0x000027B8	0x00003162	0	0	0	0	0	0	179	
0x000000B4	0x000027D8	0x00003164	0	0	0	0	0	0	180	
0x000000B5	0x000027F8	0x00003166	0	0	0	0	0	0	181	
0x000000B6	0x00002818	0x00003168	0	0	0	0	0	0	182	
0x000000B7	0x00002838	0x0000316A	0	0	0	0	0	0	183	
0x000000B8	0x00002858	0x0000316C	0	0	0	0	0	0	184	
0x000000B9	0x00002878	0x0000316E	0	0	0	0	0	0	185	
