infoStartAddr:	0x11DFB8
numEntries:	0x1A9A	6810
title:	ITEMLOT_PARAM_ST
paramStartAddr:	0x00027EB0
entryID   	paramAddr 	infoAddr  	lotItemId01	lotItemId02	lotItemId03	lotItemId04	lotItemId05	lotItemId06	lotItemId07	lotItemId08	lotItemCategory01	lotItemCategory02	lotItemCategory03	lotItemCategory04	lotItemCategory05	lotItemCategory06	lotItemCategory07	lotItemCategory08	lotItemBasePoint01	lotItemBasePoint02	lotItemBasePoint03	lotItemBasePoint04	lotItemBasePoint05	lotItemBasePoint06	lotItemBasePoint07	lotItemBasePoint08	cumulateLotPoint01	cumulateLotPoint02	cumulateLotPoint03	cumulateLotPoint04	cumulateLotPoint05	cumulateLotPoint06	cumulateLotPoint07	cumulateLotPoint08	getItemFlagId01	getItemFlagId02	getItemFlagId03	getItemFlagId04	getItemFlagId05	getItemFlagId06	getItemFlagId07	getItemFlagId08	getItemFlagId	cumulateNumFlagId	cumulateNumMax	lotItem_Rarity	lotItemNum01	lotItemNum02	lotItemNum03	lotItemNum04	lotItemNum05	lotItemNum06	lotItemNum07	lotItemNum08	enableLuck01:1	enableLuck02:1	enableLuck03:1	enableLuck04:1	enableLuck05:1	enableLuck06:1	enableLuck07:1	enableLuck08:1	cumulateReset01:1	cumulateReset02:1	cumulateReset03:1	cumulateReset04:1	cumulateReset05:1	cumulateReset06:1	cumulateReset07:1	cumulateReset08:1
0x00001590	0x00028478	0x0011E0D8	704	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 8a93 7d04 0042 004a 88c5 7740 6642 306e 004e 0050 0043 6483 7834 5831 916c
0x000015E0	0x0002850C	0x0011E0FC	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 72e9 308a 8a93 7d04 0042 004a 88c5 7740 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30db 30b9 30c8 ff09
0x000015EA	0x000285A0	0x0011E130	900	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 72e9 308a 8a93 7d04 0042 004a 88c5 7740 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30b2 30b9 30c8 ff09
0x00001644	0x00028634	0x0011E164	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 72e9 4eba 72e9 308a 8a93 7d04 0042 004a 88c5 7740 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30db 30b9 30c8 ff09
0x0000164E	0x000286C8	0x0011E198	900	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 72e9 4eba 72e9 308a 8a93 7d04 0042 004a 88c5 7740 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30b2 30b9 30c8 ff09
0x000016A8	0x0002875C	0x0011E1CC	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 306b 72c2 3063 305f 72e9 4eba 72e9 308a 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30db 30b9 30c8 ff09
0x000016B2	0x000287F0	0x0011E1FE	900	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 306b 72c2 3063 305f 72e9 4eba 72e9 308a 6642 306e 30de 30eb 30c1 0050 0076 0050 5831 916c ff08 30b2 30b9 30c8 ff09
0x00001798	0x00028884	0x0011E230	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000040	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 306e 5973 738b
0x00001798	0x00028918	0x0011E23C	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000040	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 306e 5973 738b
0x000017A2	0x000289AC	0x0011E248	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000050	-1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 907f 96e3 6240 306e 76f2 4eba
0x000017AC	0x00028A40	0x0011E256	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000060	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8a3a 7642 6240 306e 5973 533b
0x000017B6	0x00028AD4	0x0011E264	1210	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000070	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30cb 30bb 5973 533b
0x000017C0	0x00028B68	0x0011E26E	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000080	-1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 504f 5c48 306a 8001 4eba
0x000017CA	0x00028BFC	0x0011E27A	1101	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000090	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 5b64 72ec 306a 8001 5a46
0x000017D4	0x00028C90	0x0011E286	1110	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000100	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 611f 67d3 8005 306e 4e5e 98df
0x000017DE	0x00028D24	0x0011E294	1410	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000110	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 5a3c 5a66
0x000017FC	0x00028DB8	0x0011E29A	1240	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000140	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 56da 308f 308c 306e 5c3c 50e7
0x00001806	0x00028E4C	0x0011E2A8	4114	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000150	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 72e9 308a
0x00001807	0x00028EE0	0x0011E2B2	4116	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000151	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 8840 65cf 72e9 308a ff08 53e4 57ce ff09
0x00001810	0x00028F74	0x0011E2C4	4111	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000160	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 5fa9 8b90 8005
0x00001838	0x00029008	0x0011E2CC	1500	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000200	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30af 30e2 7537 30d1 30c3 30c1
0x0000184C	0x0002909C	0x0011E2DA	1501	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000220	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 5a3c 5a66 306e 8d64 5b50
0x0000189C	0x00029130	0x0011E2E6	4112	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000300	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 7363 306e 5b88 8b77 8005
0x000018A6	0x000291C4	0x0011E2F2	1260	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000310	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 6575 004e 0050 0043 005f 5ec3 589f 306e 30cf 30f3 30bf 30fc
0x000018C4	0x00029258	0x0011E30C	1000	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000340	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 6575 004e 0050 0043 005f 751f 8d04 306e 0033 4eba 8846 0031
0x000018CE	0x000292EC	0x0011E326	900	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000350	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 6575 004e 0050 0043 005f 751f 8d04 306e 0033 4eba 8846 0032
0x000018CF	0x00029380	0x0011E340	1330	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000350	-1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 6575 004e 0050 0043 005f 751f 8d04 306e 0033 4eba 8846 0032
0x000018D8	0x00029414	0x0011E35A	1310	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000360	-1	0	1	2	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 6575 004e 0050 0043 005f 751f 8d04 306e 0033 4eba 8846 0033
0x000018E2	0x000294A8	0x0011E374	1410	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000370	-1	0	1	10	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 6575 004e 0050 0043 005f 53e4 57ce 306e 8840 65cf
0x00001900	0x0002953C	0x0011E38A	1110	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000400	-1	0	1	3	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 5fa9 8b90 8005 30a4 30d9 30f3 30c8 7528 004e 0050 0043 0031 ff08 30d8 30f3 30ea 30c3 30af ff09
0x0000190A	0x000295D0	0x0011E3B2	1270	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000410	-1	0	1	5	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 5fa9 8b90 8005 30a4 30d9 30f3 30c8 7528 004e 0050 0043 0032
0x00001B58	0x00029664	0x0011E3CC	0	1400	710100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000500	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0031 3000 901a 5e38 6642
0x00001B59	0x000296F8	0x0011E3E8	0	1400	710100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000500	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0031 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001B62	0x0002978C	0x0011E40E	0	1310	711100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000510	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0032 3000 901a 5e38 6642
0x00001B63	0x00029820	0x0011E42A	0	1310	711100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000510	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0032 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001B6C	0x000298B4	0x0011E450	0	1220	712100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000520	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0033 3000 901a 5e38 6642
0x00001B6D	0x00029948	0x0011E46C	0	1220	712100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000520	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0033 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001B76	0x000299DC	0x0011E492	0	1211	713100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000530	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0034 3000 901a 5e38 6642
0x00001B77	0x00029A70	0x0011E4AE	0	1211	713100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000530	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0034 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001B80	0x00029B04	0x0011E4D4	0	1400	714100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000540	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0035 3000 901a 5e38 6642
0x00001B81	0x00029B98	0x0011E4F0	0	1400	714100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000540	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0035 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001B8A	0x00029C2C	0x0011E516	0	3310	710100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000550	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0036 3000 901a 5e38 6642
0x00001B8B	0x00029CC0	0x0011E532	0	3310	710100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000550	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0036 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001B94	0x00029D54	0x0011E558	0	1310	711100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000560	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0037 3000 901a 5e38 6642
0x00001B95	0x00029DE8	0x0011E574	0	1310	711100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000560	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0037 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001B9E	0x00029E7C	0x0011E59A	0	2310	712100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000570	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0038 3000 901a 5e38 6642
0x00001B9F	0x00029F10	0x0011E5B6	0	2310	712100	700000	701000	702000	0	0	-1	8	15	15	15	15	0	0	500	100	100	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000570	-1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0038 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001BBC	0x00029FA4	0x0011E5DC	0	40310	710100	710000	700000	702000	702000	0	-1	8	15	15	15	15	15	0	300	200	60	140	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000600	-1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0039 3000 901a 5e38 6642
0x00001BBD	0x0002A038	0x0011E5F8	0	40310	710100	710000	700000	702000	702000	0	-1	8	15	15	15	15	15	0	300	200	60	140	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000600	-1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0039 3000 30de 30eb 30c1 53ec 559a 4ee3 7406 6642
0x00001BC6	0x0002A0CC	0x0011E61E	0	40310	711100	711000	700000	701000	702000	0	-1	8	15	15	15	15	15	0	300	200	60	140	120	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000610	-1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	 30c0 30f3 30b8 30e7 30f3 004e 0050 0043 0031 0030 3000 901a 5e38 6642
