infoStartAddr:	0x15D0
numEntries:	0x8A	138
title:	CHARMAKEMENU_LISTITEM_PARAM_ST
paramStartAddr:	0x00000D30
entryID   	paramAddr 	infoAddr  	Value	CaptionID	IconID	reserved[7]
0x000002CE	0x00001280	0x00000000	108	0	67	206	 15d0
0x000002CF	0x00001290	0x00000000	109	0	68	207	 15d0
0x00000320	0x000012A0	0x00001684	0	0	30	32	 30c7 30ab 30fc 30eb
0x00000321	0x000012B0	0x00000000	1	0	31	33	 15d0
0x00000322	0x000012C0	0x00000000	2	0	32	34	 15d0
0x00000323	0x000012D0	0x00000000	3	0	33	35	 15d0
0x00000324	0x000012E0	0x00000000	4	0	34	36	 15d0
0x00000325	0x000012F0	0x00000000	5	0	35	37	 15d0
0x00000326	0x00001300	0x00000000	6	0	36	38	 15d0
0x00000384	0x00001310	0x0000168E	0	0	40	132	 30a2 30af 30bb 30b5 30ea
0x00000385	0x00001320	0x00000000	1	0	41	133	 15d0
0x00000386	0x00001330	0x00000000	2	0	42	134	 15d0
0x00000387	0x00001340	0x00000000	3	0	43	135	 15d0
0x00000388	0x00001350	0x00000000	4	0	44	136	 15d0
0x00000389	0x00001360	0x00000000	5	0	45	137	 15d0
0x0000038A	0x00001370	0x00000000	6	0	46	138	 15d0
0x0000038B	0x00001380	0x00000000	7	0	47	139	 15d0
0x0000038C	0x00001390	0x00000000	8	0	48	140	 15d0
0x000003E8	0x000013A0	0x0000169A	0	0	1	232	 77b3 0028 4e21 77b3 7528 ff09
0x000003E9	0x000013B0	0x00000000	1	0	2	233	 15d0
0x000003EA	0x000013C0	0x00000000	2	0	3	234	 15d0
0x0000044C	0x000013D0	0x000016A8	0	0	110	76	 307e 3064 3052
0x0000044D	0x000013E0	0x00000000	1	0	111	77	 15d0
0x0000044E	0x000013F0	0x00000000	2	0	112	78	 15d0
0x0000044F	0x00001400	0x00000000	3	0	113	79	 15d0
0x00000450	0x00001410	0x00000000	4	0	114	80	 15d0
0x000186A0	0x00001420	0x000016B0	0	402201	0	160	 6027 5225
0x000186A1	0x00001430	0x00000000	1	402202	0	161	 15d0
0x00018704	0x00001440	0x000016B6	0	402301	0	4	 5e74 9f62 5c64
0x00018705	0x00001450	0x00000000	1	402302	0	5	 15d0
0x00018706	0x00001460	0x00000000	2	402303	0	6	 15d0
0x00018768	0x00001470	0x000016BE	0	402401	0	104	 7d20 6027
0x00018769	0x00001480	0x00000000	1	402402	0	105	 15d0
0x0001876A	0x00001490	0x00000000	2	402403	0	106	 15d0
0x0001876B	0x000014A0	0x00000000	3	402404	0	107	 15d0
0x0001876C	0x000014B0	0x00000000	4	402405	0	108	 15d0
0x0001876D	0x000014C0	0x00000000	5	402406	0	109	 15d0
0x0001876E	0x000014D0	0x00000000	6	402407	0	110	 15d0
0x0001876F	0x000014E0	0x00000000	7	402408	0	111	 15d0
0x00018770	0x000014F0	0x00000000	8	402409	0	112	 15d0
0x000187CC	0x00001500	0x000016C4	0	402502	0	204	 8d08 308a 7269
0x000187CD	0x00001510	0x00000000	1	402503	0	205	 15d0
0x000187CE	0x00001520	0x00000000	2	402504	0	206	 15d0
0x000187CF	0x00001530	0x00000000	3	402505	0	207	 15d0
0x000187D0	0x00001540	0x00000000	4	402506	0	208	 15d0
0x000187D1	0x00001550	0x00000000	5	402507	0	209	 15d0
0x000187D2	0x00001560	0x00000000	6	402508	0	210	 15d0
0x000187D3	0x00001570	0x00000000	7	402509	0	211	 15d0
0x000187D4	0x00001580	0x00000000	8	402510	0	212	 15d0
0x000187D5	0x00001590	0x00000000	9	402501	0	213	 15d0
0x00018830	0x000015A0	0x000016CC	0	431110	0	48	 30dc 30a4 30b9
0x00018831	0x000015B0	0x00000000	1	431120	0	49	 15d0
