infoStartAddr:	0x1070
numEntries:	0x4A	74
title:	RETURN_POINT_PARAM_ST
paramStartAddr:	0x00000730
entryID   	paramAddr 	infoAddr  	areaNo	blockNo	returnPointEntityId	returnAnimId	isRegistDeadReturn	warpChairNo	pad1[18]
0x0024D19F	0x00000A70	0x00001378	24	1	2412959	101163	1	-1		 8056 5802 8857 0042 005f 7279 6b8a 005f 30b9 30bf 30fc 30c8 5730 70b9
0x0024F8A6	0x00000A90	0x00001396	24	2	2422950	101163	1	21		 8056 5802 8857 0041 005f 6905 5b50 005f 0043 30b9 30bf 30fc 30c8 ff08 843d 3068 3057 5b50 65b9 9762 ff09
0x0024F8A7	0x00000AB0	0x000013C2	24	2	2422951	101163	1	22		 8056 5802 8857 0043 005f 6905 5b50 005f 6708 306e 843d 3068 3057 5b50 6483 7834
0x0024F8A8	0x00000AD0	0x000013E4	24	2	2422952	101163	1	23		 8056 5802 8857 0043 005f 6905 5b50 005f 6708 304b 3089 306e 4f7f 8005 305f 3061 6483 7834
0x00263126	0x00000AF0	0x0000140A	25	0	2502950	101163	1	24		 53e4 57ce 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x00263127	0x00000B10	0x00001420	25	0	2502951	101163	1	25		 53e4 57ce 005f 6905 5b50 005f 5973 738b 306e 9593
0x00263128	0x00000B30	0x00001436	25	0	2502952	101163	1	26		 53e4 57ce 005f 6905 5b50 005f 738b 306e 6b7b 795e 6483 7834
0x0026312E	0x00000B50	0x00001450	25	0	2502958	101163	1	-1		 53e4 57ce 005f 7279 6b8a 005f 5893 5730 8857 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d 0032
0x0026312F	0x00000B70	0x0000147C	25	0	2502959	0	1	-1		 53e4 57ce 005f 7279 6b8a 005f 5893 5730 8857 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d 0032
0x0027B7C6	0x00000B90	0x000014A8	26	0	2602950	101163	1	27		 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x0027B7C7	0x00000BB0	0x000014C8	26	0	2602951	101163	1	28		 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 6905 5b50 005f 6b7b 3068 95c7 30ec 30c3 30b5 30fc 6483 7834
0x0027B7C8	0x00000BD0	0x000014F2	26	0	2602952	101163	1	29		 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 6905 5b50 005f 60aa 5922 306e 4e3b 6483 7834
0x0027B7C9	0x00000BF0	0x00001516	26	0	2602953	101163	1	29		 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 6905 5b50 005f 7b2c 4e00 0053 0043 30a8 30ec 30d9 30fc 30bf 30fc 524d
0x0027B7CE	0x00000C10	0x00001544	26	0	2602958	101163	1	-1		 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 7279 6b8a 005f 60aa 5922 6559 5ba4 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d 0032
0x0027B7CF	0x00000C30	0x0000157C	26	0	2602959	0	1	-1		 30c8 30e9 30c3 30d7 30ed 30fc 30c9 005f 7279 6b8a 005f 60aa 5922 6559 5ba4 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d
0x00293E66	0x00000C50	0x000015B2	27	0	2702950	101163	1	29		 68ee 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x00293E67	0x00000C70	0x000015C6	27	0	2702951	101163	1	30		 68ee 005f 6905 5b50 005f 86c7 7389 6483 7834
0x002AC506	0x00000C90	0x000015DA	28	0	2802950	101163	1	31		 751f 8d04 8857 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x002AC507	0x00000CB0	0x000015F2	28	0	2802951	101163	1	32		 751f 8d04 8857 005f 6905 5b50 005f 306a 308a 90aa 6483 7834
0x002AC508	0x00000CD0	0x0000160C	28	0	2802952	101163	1	33		 751f 8d04 8857 005f 6905 5b50 005f 6559 4f1a 0031 0046
0x002AC509	0x00000CF0	0x00001624	28	0	2802953	101163	1	34		 751f 8d04 8857 005f 6905 5b50 005f 6559 4f1a 0032 0046
0x002AC50C	0x00000D10	0x0000163C	28	0	2802956	101163	1	-1		 751f 8d04 8857 005f 7279 6b8a 005f 5927 5b66 30af 30ea 30a2 3067 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d 0032
0x002AC50D	0x00000D30	0x0000166C	28	0	2802957	101163	1	-1		 751f 8d04 8857 005f 7279 6b8a 005f 4eba 3055 3089 3044 306b 3055 3089 308f 308c 3066 6765 305f 3068 304d 0032
0x002AC50E	0x00000D50	0x0000169A	28	0	2802958	101163	1	-1		 751f 8d04 8857 005f 7279 6b8a 005f 5927 5b66 30af 30ea 30a2 3067 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d
0x002AC50F	0x00000D70	0x000016C8	28	0	2802959	0	1	-1		 751f 8d04 8857 005f 7279 6b8a 005f 4eba 3055 3089 3044 306b 3055 3089 308f 308c 3066 6765 305f 3068 304d
0x002C4BA6	0x00000D90	0x000016F4	29	0	2902950	101163	1	0		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0030
0x002C4BA7	0x00000DB0	0x00001708	29	0	2902951	101163	1	1		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0031
0x002C4BA8	0x00000DD0	0x0000171C	29	0	2902952	101163	1	2		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0032
0x002C4BA9	0x00000DF0	0x00001730	29	0	2902953	101163	1	3		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0033
0x002C4BAA	0x00000E10	0x00001744	29	0	2902954	101163	1	4		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0034
0x002C4BAB	0x00000E30	0x00001758	29	0	2902955	101163	1	5		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0035
0x002C4BAC	0x00000E50	0x0000176C	29	0	2902956	101163	1	6		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0036
0x002C4BAD	0x00000E70	0x00001780	29	0	2902957	101163	1	7		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0037
0x002C4BAE	0x00000E90	0x00001794	29	0	2902958	101163	1	8		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0038
0x002C4BAF	0x00000EB0	0x000017A8	29	0	2902959	101163	1	9		 30c0 30f3 30b8 30e7 30f3 005f 6905 5b50 0039
0x0030DF86	0x00000ED0	0x000017BC	32	0	3202950	101163	1	35		 5927 5b66 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x0030DF87	0x00000EF0	0x000017D2	32	0	3202951	101163	1	36		 60aa 5922 6821 820e 005f 6905 5b50 005f 0031 0046
0x0030DF88	0x00000F10	0x000017E8	32	0	3202952	101163	1	37		 5927 5b66 005f 6905 5b50 005f 767d 75f4 306e 8718 86db 6483 7834
0x0030DF89	0x00000F30	0x00001804	32	0	3202953	101163	1	38		 60aa 5922 6821 820e 005f 6905 5b50 005f 0032 0046
0x0030DF8C	0x00000F50	0x0000181A	32	0	3202956	101163	1	-1		 60aa 5922 6559 5ba4 005f 7279 6b8a 005f 90aa 795e 6295 3052 3067 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d 0032
0x0030DF8D	0x00000F70	0x0000184A	32	0	3202957	101163	1	-1		 60aa 5922 6559 5ba4 005f 7279 6b8a 005f 751f 8d04 30dc 30b9 5f8c 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d 0032
0x0030DF8E	0x00000F90	0x0000187E	32	0	3202958	0	1	-1		 60aa 5922 6559 5ba4 005f 7279 6b8a 005f 90aa 795e 6295 3052 3067 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d
0x0030DF8F	0x00000FB0	0x000018AC	32	0	3202959	0	1	-1		 60aa 5922 6559 5ba4 005f 7279 6b8a 005f 751f 8d04 30dc 30b9 5f8c 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d
0x00326626	0x00000FD0	0x000018DE	33	0	3302950	101163	1	39		 6545 90f7 005f 6905 5b50 005f 30b9 30bf 30fc 30c8
0x00326627	0x00000FF0	0x000018F4	33	0	3302951	101163	1	40		 6545 90f7 005f 6905 5b50 005f 90aa 795e 6483 7834
0x0032662E	0x00001010	0x0000190A	33	0	3302958	101163	1	-1		 6545 90f7 005f 7279 6b8a 005f 60aa 5922 6559 5ba4 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d 0032
0x0032662F	0x00001030	0x00001938	33	0	3302959	0	1	-1		 6545 90f7 005f 7279 6b8a 005f 60aa 5922 6559 5ba4 304b 3089 30ef 30fc 30d7 3057 3066 304d 305f 3068 304d
