infoStartAddr:	0x8AB0
numEntries:	0x1BB	443
title:	GEM_CATEGORY_PARAM_ST
paramStartAddr:	0x000029C8
entryID   	paramAddr 	infoAddr  	sortNo	manifestRate	directionalId	cateGroupId	excludeGroupId	isNegative:1	enableSlotTypeA:1	enableSlotTypeB:1	enableSlotTypeC:1	enableSlotTypeD:1	enableSlotTypeE:1	enableSlotTypeF:1	holygrailTypeGroup:7	affinityCateId_0	affinityModifyRate_0	affinityCateId_1	affinityModifyRate_1	affinityCateId_2	affinityModifyRate_2	affinityCateId_3	affinityModifyRate_3
0x00000070	0x00002BF8	0x00008B9A	10	1.00	10000	10112	112	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 512a 5148 5ea6 0043 306e 30ab 30c6 30b4 30ea
0x00009CA4	0x00002C30	0x00008BAE	150400	0.01	1	2001	400	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0031 3000 30b5 30d6
0x00009D08	0x00002C68	0x00008BD6	140400	0.01	2	2002	400	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0032 3000 30b5 30d6
0x00009D6C	0x00002CA0	0x00008BFE	130400	0.01	3	2003	400	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0033 3000 30b5 30d6
0x00009DD0	0x00002CD8	0x00008C26	120400	0.01	4	2004	400	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0034 3000 30b5 30d6
0x00009E34	0x00002D10	0x00008C4E	110400	0.01	5	2005	400	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0035 3000 30b5 30d6
0x00009E98	0x00002D48	0x00008C76	100400	0.01	6	2006	400	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0036 3000 30b5 30d6
0x0000C3B4	0x00002D80	0x00008C9E	150500	0.01	1	5001	500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0031 3000 30b5 30d6
0x0000C418	0x00002DB8	0x00008CC8	140500	0.01	2	5002	500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0032 3000 30b5 30d6
0x0000C47C	0x00002DF0	0x00008CF2	130500	0.01	3	5003	500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0033 3000 30b5 30d6
0x0000C4E0	0x00002E28	0x00008D1C	120500	0.01	4	5004	500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0034 3000 30b5 30d6
0x0000C544	0x00002E60	0x00008D46	110500	0.01	5	5005	500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0035 3000 30b5 30d6
0x0000C5A8	0x00002E98	0x00008D70	100500	0.01	6	5006	500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0036 3000 30b5 30d6
0x0000EAC4	0x00002ED0	0x00008D9A	150600	0.05	1	4001	600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0031 3000 30b5 30d6
0x0000EB28	0x00002F08	0x00008DC2	140600	0.05	2	4002	600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0032 3000 30b5 30d6
0x0000EB8C	0x00002F40	0x00008DEA	130600	0.05	3	4003	600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0033 3000 30b5 30d6
0x0000EBF0	0x00002F78	0x00008E12	120600	0.05	4	4004	600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0034 3000 30b5 30d6
0x0000EC54	0x00002FB0	0x00008E3A	110600	0.05	5	4005	600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0035 3000 30b5 30d6
0x0000ECB8	0x00002FE8	0x00008E62	100600	0.05	6	4006	600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0036 3000 30b5 30d6
0x000111D4	0x00003020	0x00008E8A	150700	0.05	1	4001	700	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0031 3000 30b5 30d6
0x00011238	0x00003058	0x00008EB2	140700	0.05	2	4002	700	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0032 3000 30b5 30d6
0x0001129C	0x00003090	0x00008EDA	130700	0.05	3	4003	700	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0033 3000 30b5 30d6
0x00011300	0x000030C8	0x00008F02	120700	0.05	4	4004	700	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0034 3000 30b5 30d6
0x00011364	0x00003100	0x00008F2A	110700	0.05	5	4005	700	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0035 3000 30b5 30d6
0x000113C8	0x00003138	0x00008F52	100700	0.05	6	4006	700	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0036 3000 30b5 30d6
0x000134FC	0x00003170	0x00008F7A	150790	0.10	1	1001	800	0	1	1	1	1	1	1	22	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0031 3000 30b5 30d6 0020 30c0 30f3 30b8 30e7 30f3 0041 0027
0x00013560	0x000031A8	0x00008FB4	140790	0.10	2	1002	800	0	1	1	1	1	1	1	22	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0032 3000 30b5 30d6 0020 30c0 30f3 30b8 30e7 30f3 0041 0027
0x000135C4	0x000031E0	0x00008FEE	130790	0.10	3	1003	800	0	1	1	1	1	1	1	22	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0033 3000 30b5 30d6 0020 30c0 30f3 30b8 30e7 30f3 0041 0027
0x00013628	0x00003218	0x00009028	120790	0.10	4	1004	800	0	1	1	1	1	1	1	22	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0034 3000 30b5 30d6 0020 30c0 30f3 30b8 30e7 30f3 0041 0027
0x0001368C	0x00003250	0x00009062	110790	0.10	5	1005	800	0	1	1	1	1	1	1	22	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0035 3000 30b5 30d6 0020 30c0 30f3 30b8 30e7 30f3 0041 0027
0x000136F0	0x00003288	0x0000909C	100790	0.10	6	1006	800	0	1	1	1	1	1	1	22	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0036 3000 30b5 30d6 0020 30c0 30f3 30b8 30e7 30f3 0041 0027
0x000138E4	0x000032C0	0x000090D6	150800	0.10	1	1001	800	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0031 3000 30b5 30d6
0x00013948	0x000032F8	0x00009100	140800	0.10	2	1002	800	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0032 3000 30b5 30d6
0x000139AC	0x00003330	0x0000912A	130800	0.10	3	1003	800	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0033 3000 30b5 30d6
0x00013A10	0x00003368	0x00009154	120800	0.10	4	1004	800	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0034 3000 30b5 30d6
0x00013A74	0x000033A0	0x0000917E	110800	0.10	5	1005	800	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0035 3000 30b5 30d6
0x00013AD8	0x000033D8	0x000091A8	100800	0.10	6	1006	800	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 7269 7406 3011 ff08 56fa 5b9a 5024 ff09 3000 30b3 30b9 30c8 0036 3000 30b5 30d6
0x0001B1FC	0x00003410	0x000091D2	51100	0.05	11	1011	1100	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 6253 6483 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0031 3000 30e1 30a4 30f3
0x0001B260	0x00003448	0x000091FC	41100	0.05	12	1012	1100	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 6253 6483 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0032 3000 30e1 30a4 30f3
0x0001B2C4	0x00003480	0x00009226	31100	0.05	13	1013	1100	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 6253 6483 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0033 3000 30e1 30a4 30f3
0x0001B328	0x000034B8	0x00009250	21100	0.05	14	1014	1100	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 6253 6483 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0034 3000 30e1 30a4 30f3
0x0001B38C	0x000034F0	0x0000927A	11100	0.05	15	1015	1100	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 6253 6483 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0035 3000 30e1 30a4 30f3
0x0001B3F0	0x00003528	0x000092A4	1100	0.05	16	1016	1100	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 6253 6483 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0036 3000 30e1 30a4 30f3
0x0001D90C	0x00003560	0x000092CE	51200	0.05	11	1011	1200	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 523a 7a81 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0031 3000 30e1 30a4 30f3
0x0001D970	0x00003598	0x000092F8	41200	0.05	12	1012	1200	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 523a 7a81 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0032 3000 30e1 30a4 30f3
0x0001D9D4	0x000035D0	0x00009322	31200	0.05	13	1013	1200	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 523a 7a81 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0033 3000 30e1 30a4 30f3
0x0001DA38	0x00003608	0x0000934C	21200	0.05	14	1014	1200	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 523a 7a81 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0034 3000 30e1 30a4 30f3
0x0001DA9C	0x00003640	0x00009376	11200	0.05	15	1015	1200	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 523a 7a81 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0035 3000 30e1 30a4 30f3
0x0001DB00	0x00003678	0x000093A0	1200	0.05	16	1016	1200	0	1	1	1	1	1	1	11	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 523a 7a81 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0036 3000 30e1 30a4 30f3
0x0002001C	0x000036B0	0x000093CA	51300	0.01	11	2011	1300	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0031 3000 30e1 30a4 30f3
0x00020080	0x000036E8	0x000093F2	41300	0.01	12	2012	1300	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0032 3000 30e1 30a4 30f3
0x000200E4	0x00003720	0x0000941A	31300	0.01	13	2013	1300	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0033 3000 30e1 30a4 30f3
0x00020148	0x00003758	0x00009442	21300	0.01	14	2014	1300	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0034 3000 30e1 30a4 30f3
0x000201AC	0x00003790	0x0000946A	11300	0.01	15	2015	1300	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0035 3000 30e1 30a4 30f3
0x00020210	0x000037C8	0x00009492	1300	0.01	16	2016	1300	0	1	1	1	1	1	1	0	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9283 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0036 3000 30e1 30a4 30f3
0x0002272C	0x00003800	0x000094BA	51400	0.35	11	5011	1400	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0031 3000 30e1 30a4 30f3
0x00022790	0x00003838	0x000094E4	41400	0.35	12	5012	1400	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0032 3000 30e1 30a4 30f3
0x000227F4	0x00003870	0x0000950E	31400	0.35	13	5013	1400	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0033 3000 30e1 30a4 30f3
0x00022858	0x000038A8	0x00009538	21400	0.35	14	5014	1400	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0034 3000 30e1 30a4 30f3
0x000228BC	0x000038E0	0x00009562	11400	0.35	15	5015	1400	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0035 3000 30e1 30a4 30f3
0x00022920	0x00003918	0x0000958C	1400	0.35	16	5016	1400	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 9b54 6cd5 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0036 3000 30e1 30a4 30f3
0x00024E3C	0x00003950	0x000095B6	51500	0.40	11	4011	1500	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0031 3000 30e1 30a4 30f3
0x00024EA0	0x00003988	0x000095DE	41500	0.40	12	4012	1500	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0032 3000 30e1 30a4 30f3
0x00024F04	0x000039C0	0x00009606	31500	0.40	13	4013	1500	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0033 3000 30e1 30a4 30f3
0x00024F68	0x000039F8	0x0000962E	21500	0.40	14	4014	1500	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0034 3000 30e1 30a4 30f3
0x00024FCC	0x00003A30	0x00009656	11500	0.40	15	4015	1500	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0035 3000 30e1 30a4 30f3
0x00025030	0x00003A68	0x0000967E	1500	0.40	16	4016	1500	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0036 3000 30e1 30a4 30f3
0x00025224	0x00003AA0	0x000096A6	51510	0.05	11	4011	1500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0031 3000 30e1 30a4 30f3 0020 30c0 30f3 30b8 30e7 30f3 0043
0x00025288	0x00003AD8	0x000096DC	41510	0.05	12	4012	1500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0032 3000 30e1 30a4 30f3 0020 30c0 30f3 30b8 30e7 30f3 0043
0x000252EC	0x00003B10	0x00009712	31510	0.05	13	4013	1500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0033 3000 30e1 30a4 30f3 0020 30c0 30f3 30b8 30e7 30f3 0043
0x00025350	0x00003B48	0x00009748	21510	0.05	14	4014	1500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0034 3000 30e1 30a4 30f3 0020 30c0 30f3 30b8 30e7 30f3 0043
0x000253B4	0x00003B80	0x0000977E	11510	0.05	15	4015	1500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0035 3000 30e1 30a4 30f3 0020 30c0 30f3 30b8 30e7 30f3 0043
0x00025418	0x00003BB8	0x000097B4	1510	0.05	16	4016	1500	0	1	1	1	1	1	1	45	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 708e 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0036 3000 30e1 30a4 30f3 0020 30c0 30f3 30b8 30e7 30f3 0043
0x0002754C	0x00003BF0	0x000097EA	51600	0.20	11	4011	1600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0031 3000 30e1 30a4 30f3
0x000275B0	0x00003C28	0x00009812	41600	0.20	12	4012	1600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0032 3000 30e1 30a4 30f3
0x00027614	0x00003C60	0x0000983A	31600	0.20	13	4013	1600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0033 3000 30e1 30a4 30f3
0x00027678	0x00003C98	0x00009862	21600	0.20	14	4014	1600	0	1	1	1	1	1	1	34	-65536	0.00	-49280	0.00	-49280	0.00	-49280	0.00	 653b 6483 529b 3010 96f7 3011 ff08 500d 7387 ff09 3000 30b3 30b9 30c8 0034 3000 30e1 30a4 30f3
