infoStartAddr:	0x1120
numEntries:	0x3C	60
title:	RAGDOLL_PARAM_ST
paramStartAddr:	0x000005E0
entryID   	paramAddr 	infoAddr  	hierarchyGain	velocityDamping	accelGain	velocityGain	positionGain	maxLinerVelocity	maxAngularVelocity	snapGain	enable	partsHitMaskNo	pad[14]
0x000004B0	0x00000850	0x000011F6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	176	 5893 738b 306e 672c 4f53
0x000004B1	0x00000880	0x00001202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	177	 5893 738b 306e 3059 3060 308c 2460
0x000004B2	0x000008B0	0x00001212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	178	 5893 738b 306e 3059 3060 308c 2461
0x000004B3	0x000008E0	0x00001222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	3	179	 5893 738b 306e 3059 3060 308c 2462
0x000004BA	0x00000910	0x00001232	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	6	186	 5893 738b 306e 30de 30f3 30c8
0x00000515	0x00000940	0x00001240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	21	 8caa 98df 30c9 30e9 30b4 30f3 306e 5c3b 5c3e
0x00000578	0x00000970	0x00001254	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	120	 6e56 7363 306e 9996 2460
0x00000579	0x000009A0	0x00001260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	121	 6e56 7363 306e 9996 2461
0x0000057A	0x000009D0	0x0000126C	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	3	122	 6e56 7363 306e 9996 2462
0x0000057B	0x00000A00	0x00001278	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	4	123	 6e56 7363 306e 9996 2463
0x0000057C	0x00000A30	0x00001284	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	5	124	 6e56 7363 306e 9996 2464
0x0000057D	0x00000A60	0x00001290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	6	125	 6e56 7363 306e 9996 2465
0x0000057E	0x00000A90	0x0000129C	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	7	126	 6e56 7363 306e 9996 2466
0x000005DD	0x00000AC0	0x000012A8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	221	 30b7 30fc 30b9 306e 7d50 6676 93a7
0x00000641	0x00000AF0	0x000012B8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	65	 30d2 30ed 30a4 30f3 306e 5c3b 5c3e
0x000006A5	0x00000B20	0x000012C8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	165	 30d8 30eb 30ab 30a4 30c8 306e 5c3b 5c3e
0x00000709	0x00000B50	0x000012DA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	9	 5ea7 7985 30c9 30e9 30b4 30f3 306e 5c3b 5c3e
0x0000076D	0x00000B80	0x000012EE	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	109	 30ac 30fc 30b4 30a4 30eb 306e 5c3b 5c3e
0x0000076E	0x00000BB0	0x00001300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	110	 30ac 30fc 30b4 30a4 30eb 0032 4f53 76ee 7834 640d 90e8 4f4d
0x000007D1	0x00000BE0	0x0000131A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	209	 30ac 30fc 30b4 30a4 30eb ff08 8272 9055 3044 ff09 306e 5c3b 5c3e
0x00000835	0x00000C10	0x00001336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	53	 767d 7adc 30b7 30fc 30b9 306e 5c3b 5c3e
0x00000899	0x00000C40	0x00001348	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	153	 91d1 30ad 30e1 30e9 306e 5c3b 5c3e
0x000008FD	0x00000C70	0x00001358	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	253	 9ed2 7adc 306e 5c3b 5c3e
0x00002BC0	0x00000CA0	0x00001364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	192	 6c34 6b7b 4f53 30d3 30fc 30b9 30c8 005f 4e21 8155
0x00005334	0x00000CD0	0x0000137A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	52	 8840 8210 3081 005f 8840 888b 0053
0x00005335	0x00000D00	0x0000138A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	53	 8840 8210 3081 005f 8840 888b 004d
0x00005336	0x00000D30	0x0000139A	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	3	54	 8840 8210 3081 005f 8840 888b 004c
0x00005337	0x00000D60	0x000013AA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	4	55	 8840 8210 3081 005f 8840 888b 004c 004c
0x00007A44	0x00000D90	0x000013BC	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	68	 30d5 30ec 30c3 30b7 30e5 30b4 30fc 30ec 30e0 005f 8840 8c46 005f 53f3 3072 3056 6a2a
0x00007A45	0x00000DC0	0x000013E0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	69	 30d5 30ec 30c3 30b7 30e5 30b4 30fc 30ec 30e0 005f 8840 8c46 005f 5de6 3072 3056 6a2a
0x00007A46	0x00000DF0	0x00001404	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	3	70	 30d5 30ec 30c3 30b7 30e5 30b4 30fc 30ec 30e0 005f 8840 8c46 005f 304a 3057 308a
0x00007A47	0x00000E20	0x00001426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	4	71	 30d5 30ec 30c3 30b7 30e5 30b4 30fc 30ec 30e0 005f 8840 8c46 005f 6b63 9762 9ad8 3044 3068 3053 308d
0x00042A68	0x00000E50	0x00001450	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	104	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 53f3 811a 901a 5e38
0x00042A69	0x00000E80	0x00001470	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	1	105	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 5de6 811a 901a 5e38
0x00042A6A	0x00000EB0	0x00001490	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	2	106	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 53f3 8155 901a 5e38
0x00042A6B	0x00000EE0	0x000014B0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	3	107	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 5de6 8155 901a 5e38
0x00042A72	0x00000F10	0x000014D0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	10	114	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 53f3 811a 5f31 70b9
0x00042A73	0x00000F40	0x000014F0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	11	115	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 5de6 811a 5f31 70b9
0x00042A74	0x00000F70	0x00001510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	12	116	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 53f3 8155 5f31 70b9
0x00042A75	0x00000FA0	0x00001530	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	13	117	 533b 7642 6559 4f1a 306e 30d5 30e9 30f3 30b1 30f3 005f 5de6 8155 5f31 70b9
0x0007C448	0x00000FD0	0x00001550	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	72	 59cb 7956 30d3 30fc 30b9 30c8 005f 5bc4 751f 866b
0x0007D008	0x00001000	0x00001566	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	8	8	 90aa 795e 005f 53f3 624b 0034
0x0007D009	0x00001030	0x00001574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	9	9	 90aa 795e 005f 5de6 624b 0033
0x0007D00D	0x00001060	0x00001582	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	13	13	 90aa 795e 005f 629c 3044 305f 53f3 624b
0x0007D00E	0x00001090	0x00001594	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	14	14	 90aa 795e 005f 629c 3044 305f 5de6 624b
0x00084535	0x000010C0	0x000015A6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	5	53	 60aa 5922 3092 7d99 3050 3082 306e ff08 6700 7d42 5f62 614b ff09 3000 89e6 624b 0031
