infoStartAddr:	0x1AE88
numEntries:	0x7AF	1967
title:	OBJECT_PARAM_ST
paramStartAddr:	0x0000B8A8
entryID   	paramAddr 	infoAddr  	hp	defense	extRefTexId	materialId	animBreakIdMax	isCamHit:1	isBreakByPlayerCollide:1	isAnimBreak:1	isPenetrationBulletHit:1	isChrHit:1	isAttackBacklash:1	isDisableBreakForFirstAppear:1	isLadder:1	isAnimPauseOnRemoPlay:1	isDamageNoHit:1	isMoveObj:1	pad_1:5	defaultLodParamId	breakSfxId	navimeshFlag	pad_2[1]	paintRenderTargetSize	breakAiSoundId	pad_3[8]
0x000001D8	0x0000BB88	0x0001B07E	-1	0	-1	9	0	1	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5c4b 6577 0031 0046 6249
0x000001D9	0x0000BBA8	0x0001B096	-1	0	-1	9	0	0	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 8056 5802 524d 9244 683c 5b50
0x000001DA	0x0000BBC8	0x0001B0B0	-1	0	-1	9	0	0	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5c4b 6577 524d 9244 683c 5b50
0x000001DB	0x0000BBE8	0x0001B0CA	-1	0	-1	4	0	1	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 006d 0032 0030 005f 0030 0031 5c4b 6577 5c0f 6249
0x000001D3	0x0000BC08	0x0001B0E0	1	3	-1	9	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30b7 30e3 30f3 30c7 30ea 30a2 7834 58ca
0x00000201	0x0000BC28	0x0001B0F2	1	0	-1	9	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30d7 30ed 30c8 58fa
0x00000202	0x0000BC48	0x0001B0FC	1	0	-1	9	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30d7 30ed 30c8 58fa
0x00000203	0x0000BC68	0x0001B106	1	0	-1	9	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30d7 30ed 30c8 58fa
0x00000204	0x0000BC88	0x0001B110	1	0	-1	9	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30d7 30ed 30c8 58fa
0x00000258	0x0000BCA8	0x0001B11A	-1	0	-1	29	0	0	0	0	0	0	0	0	0	0	0	0		-1	-1	0		256	0		 30ef 30fc 30d7 304a 3063 3055 3093
0x00000280	0x0000BCC8	0x0001B12A	-1	0	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 5b9d 6b7b 4f53 7528 6c4e 7528 6905 5b50 ff08 30dc 30ed ff09
0x00000282	0x0000BCE8	0x0001B144	-1	0	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 5b9d 6b7b 4f53 7528 6c4e 7528 6905 5b50 ff08 304d 308c 3044 ff09
0x000002BC	0x0000BD08	0x0001B160	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0		-1	-1	0		256	0		 66f8 7f6e 304d
0x000003E8	0x0000BD28	0x0001B168	1	3	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb
0x000003E9	0x0000BD48	0x0001B172	1	3	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb
0x000003EA	0x0000BD68	0x0001B17C	1	3	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb
0x000003ED	0x0000BD88	0x0001B186	1	3	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30d9 30f3 30c1
0x000003F2	0x0000BDA8	0x0001B18E	-1	3	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 30c9 30a2
0x000003F3	0x0000BDC8	0x0001B194	1	3	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 58ca 308c 305f 30c9 30a2
0x000003FC	0x0000BDE8	0x0001B1A0	-1	0	-1	4	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 306f 3057 3054
0x00000406	0x0000BE08	0x0001B1A8	1	0	-1	4	0	1	1	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 5d29 308c 308b 5929 4e95
0x00000407	0x0000BE28	0x0001B1B4	1	0	-1	4	0	1	1	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 5d29 308c 308b 5c4b 6839
0x00000410	0x0000BE48	0x0001B1C0	1	0	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 58ca 308c 308b 624b 3059 308a
0x00000411	0x0000BE68	0x0001B1CE	1	0	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 58ca 308c 308b 624b 3059 308a
0x00000412	0x0000BE88	0x0001B1DC	1	0	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 58ca 308c 308b 624b 3059 308a
0x00000418	0x0000BEA8	0x0001B1EA	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 7acb 3066 304b 3051 305f 8eca 8f2a
0x00000419	0x0000BEC8	0x0001B1FA	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 58ca 308c 304b 3051 7bb1
0x0000041A	0x0000BEE8	0x0001B206	-1	0	-1	1	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 8981 77f3
0x0000041F	0x0000BF08	0x0001B20C	1	0	-1	-1	0	1	0	0	0	1	0	0	0	0	0	0		-1	100008	0		256	0		 9686 8d77 3057 305f 30d8 30c9 30ed
0x00000420	0x0000BF28	0x0001B21C	1	0	-1	-1	0	1	0	0	0	1	0	0	0	0	0	0		-1	100008	0		256	0		 9686 8d77 3057 305f 30d8 30c9 30ed 0032
0x00000422	0x0000BF48	0x0001B22E	1	0	-1	-1	0	1	0	0	0	1	0	0	0	0	0	0		-1	100008	0		256	0		 9686 8d77 3057 305f 30d8 30c9 30ed 0033
0x0000044C	0x0000BF68	0x0001B240	-1	0	-1	1	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 62e1 6563 306e 30e2 30ce 3010 30e9 30b9 30dc 30b9 3011
0x0000044D	0x0000BF88	0x0001B258	-1	0	-1	29	0	0	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 9ce5 7fa4
0x0000044E	0x0000BFA8	0x0001B25E	-1	0	-1	29	0	1	0	0	0	1	1	0	0	0	0	0		-1	-1	0		256	0		 8981 4eba 004f 0042 004a
0x00000456	0x0000BFC8	0x0001B26A	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 71c3 3048 308b 6b7b 4f53 306e 5c71
0x00000460	0x0000BFE8	0x0001B27A	1	3	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 8377 8eca 0041
0x00000462	0x0000C008	0x0001B282	1	3	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 8377 8eca 0041 0028 8377 7269 3042 308a 0029
0x00000469	0x0000C028	0x0001B296	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 7269 58f2 308a 306e 5c0f 7269
0x0000046A	0x0000C048	0x0001B2A4	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 7bb1
0x0000046C	0x0000C068	0x0001B2A8	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 9577 65b9 5f62 306e 7bb1
0x0000046D	0x0000C088	0x0001B2B4	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 7bb1 00d7 0033
0x0000046E	0x0000C0A8	0x0001B2BC	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 9577 65b9 5f62 306e 7bb1 ff08 5c0f 7269 3042 308a ff09
0x0000046F	0x0000C0C8	0x0001B2D4	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 6876
0x00000474	0x0000C0E8	0x0001B2D8	1	0	-1	-1	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 7c60
0x00000479	0x0000C108	0x0001B2DC	1	0	-1	-1	0	1	0	0	0	1	0	0	0	0	0	0		-1	100103	0		256	0		 571f 56a2
0x0000047A	0x0000C128	0x0001B2E2	1	0	-1	-1	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 8377 888b
0x0000047E	0x0000C148	0x0001B2E8	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 6a3d 0041
0x00000480	0x0000C168	0x0001B2EE	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 6a3d 00d7 0033 ff08 7e26 ff09
0x00000481	0x0000C188	0x0001B2FC	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 6a3d 00d7 0035 ff08 6a2a ff09
0x00000482	0x0000C1A8	0x0001B30A	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 4e0d 6b7b 8005 6f2c 3051 6a3d
0x00000483	0x0000C1C8	0x0001B318	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 4e0d 6b7b 8005 6f2c 3051 6a3d 0028 84cb 306a 3057 0029
0x00000484	0x0000C1E8	0x0001B330	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 4e0d 6b7b 8005 6f2c 3051 6a3d ff08 7269 58f2 308a 5c02 7528 ff09
0x00000488	0x0000C208	0x0001B34C	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb 3000 6905 5b50
0x0000048A	0x0000C228	0x0001B35C	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb 3000 6905 5b50 0028 5c0f 7269 0031 0029
0x0000048B	0x0000C248	0x0001B376	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb 3000 6905 5b50 0028 5c0f 7269 0032 0029
0x00000492	0x0000C268	0x0001B390	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 68da
0x00000494	0x0000C288	0x0001B394	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 68da ff08 8377 7269 3042 308a ff09
0x00000497	0x0000C2A8	0x0001B3A4	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 9577 6905 5b50
0x00000498	0x0000C2C8	0x0001B3AC	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 9577 6905 5b50 ff08 8377 7269 3042 308a ff09
0x000004A6	0x0000C2E8	0x0001B3C0	1	90	-1	2	0	1	0	0	0	1	0	0	0	0	0	0		-1	100007	0		256	0		 57ce 4e0b 0032 3000 30dc 30b9 90e8 5c4b 306e 67f1
0x000004B0	0x0000C308	0x0001B3D6	-1	0	-1	9	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 6559 533a 306e 30ec 30d0 30fc
0x000004B1	0x0000C328	0x0001B3E4	-1	0	-1	4	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 6728 9020 6249
0x000004B2	0x0000C348	0x0001B3EC	-1	0	-1	9	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 91e3 9418 306e 30ec 30d0 30fc
0x000004B5	0x0000C368	0x0001B3FA	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 4e0b 6c34 306e 5fa9 5e30 30eb 30fc 30c8
0x000004B6	0x0000C388	0x0001B412	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 30b9 30bf 30fc 30c8 304b 3089 843d 3061 305f 6642 306e 5fa9 5e30
0x000004B7	0x0000C3A8	0x0001B434	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 57ce 90ed 304b 3089 4e0b 5c64 306b 4e0b 308a 308b
0x000004B8	0x0000C3C8	0x0001B450	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 6a4b 811a 306e 4e2d 306e 30b9 30e9 30a4 30c9 5f0f
0x000004B9	0x0000C3E8	0x0001B46C	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 57ce 90ed 306e 5854
0x000004BA	0x0000C408	0x0001B47C	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 5009 5eab
0x000004BB	0x0000C428	0x0001B488	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 5009 5eab
0x000004BC	0x0000C448	0x0001B494	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 6559 4f1a
0x000004BD	0x0000C468	0x0001B4A0	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 6559 4f1a
0x000004BE	0x0000C488	0x0001B4AC	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 6559 4f1a
0x000004BF	0x0000C4A8	0x0001B4B8	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 6559 4f1a
0x000004C0	0x0000C4C8	0x0001B4C4	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 6559 4f1a
0x000004C1	0x0000C4E8	0x0001B4D0	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 62e0 70b9 63a5 5408 90e8
0x000004C2	0x0000C508	0x0001B4E2	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 57ce 4e0b 306e 898b 5f35 308a 53f0
0x000004C3	0x0000C528	0x0001B4F8	-1	0	-1	9	0	0	0	0	1	1	1	0	1	0	0	0		-1	-1	0		256	0		 68af 5b50 ff20 30d8 30eb 30ab 30a4 30c8 3092 907f 3051 3066 6a4b 306e 4e0b
0x000004CE	0x0000C548	0x0001B518	1	90	-1	1	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 6559 4f1a 67f1
0x000004CF	0x0000C568	0x0001B520	1	90	-1	1	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 6559 4f1a 67f1
0x000004D0	0x0000C588	0x0001B528	1	90	-1	1	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 6559 4f1a 67f1
0x000004D1	0x0000C5A8	0x0001B530	1	90	-1	1	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 6559 4f1a 67f1
0x000004D8	0x0000C5C8	0x0001B538	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 6559 4f1a 6905 5b50
0x000004D9	0x0000C5E8	0x0001B542	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 6559 4f1a 6905 5b50 80cc 3082 305f 308c
0x000004DA	0x0000C608	0x0001B554	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 6905 5b50
0x000004DB	0x0000C628	0x0001B55A	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb ff11
0x000004DC	0x0000C648	0x0001B566	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30c6 30fc 30d6 30eb ff12
0x000004E2	0x0000C668	0x0001B572	-1	0	-1	2	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 935b 51b6 5c4b 306e 30c6 30fc 30d6 30eb
0x000004E3	0x0000C688	0x0001B584	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 935b 51b6 5c4b 306e 6876
0x000004E4	0x0000C6A8	0x0001B590	1	3	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 935b 51b6 5c4b 306e 91d1 5e8a 53ca 3073 6905 5b50
0x000004F6	0x0000C6C8	0x0001B5A6	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 673a
0x00000514	0x0000C6E8	0x0001B5AA	-1	90	-1	1	0	1	0	0	1	1	1	0	0	0	0	0		-1	15351	0		256	0		 6559 4f1a 5c4b 6839 306e 50cf
0x00000519	0x0000C708	0x0001B5B8	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 57ce 4e0b 0031 304b 3089 68ee 3078 306e 6249
0x0000051A	0x0000C728	0x0001B5CC	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 57ce 4e0b 0031 304b 3089 57ce 4e0b 0032 3078 306e 6249
0x0000051C	0x0000C748	0x0001B5E4	-1	0	-1	9	0	0	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 9244 683c 5b50 ff09
0x0000051D	0x0000C768	0x0001B5F2	-1	0	-1	9	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249
0x0000051E	0x0000C788	0x0001B5F6	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000520	0x0000C7A8	0x0001B602	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000522	0x0000C7C8	0x0001B60E	-1	0	-1	9	0	1	0	0	0	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 9244 683c 5b50 ff09
0x00000521	0x0000C7E8	0x0001B61C	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000523	0x0000C808	0x0001B628	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000524	0x0000C828	0x0001B634	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000525	0x0000C848	0x0001B640	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000526	0x0000C868	0x0001B64C	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000527	0x0000C888	0x0001B658	-1	0	-1	4	0	1	0	0	1	1	1	0	0	1	0	0		-1	-1	0		256	0		 6249 ff08 6728 88fd ff09
0x00000528	0x0000C8A8	0x0001B664	1	0	-1	1	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 0044 0053 0031 68da
0x00000529	0x0000C8C8	0x0001B66E	1	0	-1	4	0	0	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 885d 7acb
0x0000052A	0x0000C8E8	0x0001B674	1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 30cd 30ba 30df 7bb1
0x0000052B	0x0000C908	0x0001B67E	1	0	-1	4	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 7834 58ca 6249
0x00000532	0x0000C928	0x0001B686	-1	0	-1	4	0	1	0	0	0	1	0	0	0	0	0	0		-1	-1	0		256	0		 8ee2 3052 843d 3061 308b 6a3d
0x00000546	0x0000C948	0x0001B694	-1	0	-1	2	0	1	0	0	1	1	1	0	0	0	0	0		-1	-1	0		256	0		 5973 795e 50cf
0x00000578	0x0000C968	0x0001B69C	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x00000579	0x0000C988	0x0001B6A4	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x0000057A	0x0000C9A8	0x0001B6AC	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x0000057B	0x0000C9C8	0x0001B6B4	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x0000057C	0x0000C9E8	0x0001B6BC	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x0000057D	0x0000CA08	0x0001B6C4	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x0000057E	0x0000CA28	0x0001B6CC	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x0000057F	0x0000CA48	0x0001B6D4	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x00000580	0x0000CA68	0x0001B6DC	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x00000581	0x0000CA88	0x0001B6E4	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
0x00000582	0x0000CAA8	0x0001B6EC	-1	0	-1	29	0	1	0	0	1	1	0	0	0	0	0	0		-1	-1	0		256	0		 5149 308b 9727
