#BOM付きUTF8で保存された場合に一行目が解析不能になるDLPropertiesの不具合に備えてコメントアウト

Num  = 1768
87   = "DamageBlend Normal07"
88   = "DamageBlend_Normal"
89   = "DamageBlendNormal"
90   = "DamageBlendNormal00"
91   = "DamageBlendNormal01"
92   = "DamageBlendNormal02"
93   = "Dash to DashEnd"
94   = "Dash to Run"
95   = "Dash to Walk"
96   = "DashEnd to Run"
97   = "DashEnd to Walk"
98   = "DashStart to Dash"
99   = "DashStart to DashEnd"
100  = "DashStart to Run"
101  = "DashStart to Walk"
102  = "Dead Blast to Dead Blast Idle"
103  = "Dead Burned00 to Dead Burned00 Idle"
104  = "Dead Burned01 to Dead Burned01 Idle"
105  = "Dead Down to Dead Down Idle"
106  = "Dead Fall Facedown to Dead Fall Facedown Idle"
107  = "Dead Fall Faceup to Dead Fall Faceup Idle"
108  = "Dead Fall Ladder to Dead Fall Ladder Idle"
109  = "Dead Jump to Dead Jump Idle"
110  = "Dead Normal00 to Dead Normal00 Idle"
111  = "Dead Normal01 to Dead Normal01 Idle"
112  = "Dead WeakPoint to Dead Normal00 Idle"
113  = "Defense to Locomotion"
114  = "Defense to Locomotion00"
115  = "Die to BeDead"
116  = "Event00"
117  = "Event01"
118  = "Event02"
119  = "Event03"
120  = "Event04"
121  = "Event05"
122  = "Event06"
123  = "Event07"
124  = "Event08"
125  = "Event09"
126  = "Event10"
127  = "Event104005_to_Event104006"
128  = "Event104015_to_Event104016"
129  = "Event104025_to_Event104026"
130  = "Event104035_to_Event104036"
131  = "Event104045_to_Event104046"
132  = "Event11"
133  = "Event12"
134  = "Event13"
135  = "Event14"
136  = "Event15"
137  = "Event16"
138  = "Event17"
139  = "Event18"
140  = "Event19"
141  = "Event20"
142  = "Event21"
143  = "Event22"
144  = "Event23"
145  = "Event24"
146  = "Event25"
147  = "Event7000"
148  = "Event7000_to_Event7001"
149  = "Event7000_to_Event700100"
150  = "Event7000_to_Event700101"
151  = "Event7000_to_Event700102"
152  = "Event7000_to_Event700103"
153  = "Event7001"
154  = "Event7001 to Event7003"
155  = "Event7001 to Event700300"
156  = "Event7001_to_Event7002"
157  = "Event7001_to_Event700200"
158  = "Event7001_to_Event700201"
159  = "Event7001_to_Event700202"
160  = "Event7002 to Event7005"
161  = "Event7003"
162  = "Event7003 to Event7020"
163  = "Event7003_to_Event7004"
164  = "Event7003_to_Event700400"
165  = "Event7003_to_Event700401"
166  = "Event7004"
167  = "Event7004_to_Event7005"
168  = "Event7004_to_Event700500"
169  = "Event7005"
170  = "Event7006_to_Event7008"
171  = "Event7007"
172  = "Event7007_to_Event7008"
173  = "Event7013 to Event7020"
174  = "Event7019_to_Event7001"
175  = "Event7020_to_Event7004"
176  = "Event7021 to Event7020"
177  = "Fall Facedown to Land Facedown"
178  = "Fall Faceup to Land Faceup"
179  = "Fall Ladder to Land Ladder"
180  = "Fall Normal to Land"
181  = "Fall Normal to Land Altitude"
182  = "Fall Normal to Land HighAltitude"
183  = "Falling to Land"
184  = "FallStart to Falling"
185  = "Guard Start to Guard Idle"
186  = "GuardEnd to State01"
187  = "GuardEnd to State03"
188  = "GuardIdle to GuardEnd"
189  = "GuardLower to LocoLower"
190  = "GuardStart to GuardEnd"
191  = "GuardStart to GuardIdle"
192  = "GuardUpper to LocomotionUpper"
193  = "GunReload to GunShot"
194  = "GunReload to GunShot00"
195  = "GunReload to Out Of Ammo"
196  = "GunReloadEnd to GunReloadFull"
197  = "GunReloadEnd to GunReloadLoop"
198  = "GunReloadEnd to GunReloadStart"
199  = "GunReloadEnd to GunReloadStart00"
200  = "GunReloadEnd to GunShot"
201  = "GunReloadEnd to GunShot00"
202  = "GunReloadEnd to Out Of Ammo"
203  = "GunReloadEnd to Out Of Ammo00"
204  = "GunReloadFull to GunShot"
205  = "GunReloadLoop to GunReloadEnd"
206  = "GunReloadLoop to GunReloadFull"
207  = "GunReloadLoop to GunReloadLoop"
208  = "GunReloadLoop to GunReloadLoop00"
209  = "GunReloadStart to GunReloadLoop"
210  = "GunReloadStart to GunShot"
211  = "GunReloadStart to GunShot00"
212  = "GunReloadStart to Out Of Ammo"
213  = "GunReloadStart to Out Of Ammo00"
214  = "GunShoot to State00"
215  = "GunShoot to State0000"
216  = "GunShoot to State0001"
217  = "GunShoot to State0002"
218  = "GunShoot to State10"
219  = "GunShot to GunReload"
220  = "GunShot to GunReload00"
221  = "GunShot to GunReloadStart"
222  = "GunShot to GunReloadStart00"
223  = "GunShot to Out Of Ammo"
224  = "HandLower to LocoLower"
225  = "Idle to Run"
226  = "Idle to Run00"
227  = "Idle to Walk"
228  = "Idle to Walk00"
229  = "Idle_wild"
230  = "Idle00 to Move"
231  = "Idle00 to Move00"
232  = "IdleBase"
233  = "IdleGru to Run"
234  = "IdleGru to Walk"
235  = "IdleUpper to MoveUpper"
236  = "IdleUpper to MoveUpper00"
237  = "Ladder Die End to Ladder Die BeDied"
238  = "Ladder Die Loop to Ladder Die End"
239  = "Ladder Die Start to Ladder Die Loop"
240  = "Ladder Down Left to Ladder Idle Right"
241  = "Ladder Down Right to Ladder Idle Left"
242  = "Ladder Slide Loop01 to Ladder Slide Loop02"
243  = "Ladder Slide Loop02 to Ladder Slide Loop01"
244  = "Ladder Slide Start to Ladder Slide Loop01"
245  = "Ladder Start Above to Ladder Down Left"
246  = "Ladder Start Above to Ladder End Above Right"
247  = "Ladder Start Above to Ladder Idle Right"
248  = "Ladder Start Above to Ladder Idle Right00"
249  = "Ladder Start Below to Ladder End Below Right"
250  = "Ladder Start Below to Ladder Idle Right"
251  = "Ladder Start Below to Ladder Idle Right00"
252  = "Ladder Start Below to Ladder Up Right"
253  = "Ladder Up Left to Ladder Idle Right"
254  = "Ladder Up Right to Ladder Idle Left"
255  = "Ladder_Attack_DownSide00_to_Ladder_Idle00"
256  = "Ladder_Attack_DownSide01_to_Ladder_Idle01"
257  = "Ladder_Attack_UpSide00_to_Ladder_Idle00"
258  = "Ladder_Attack_UpSide01_to_Ladder_Idle01"
259  = "Ladder_Damage_Heavy00_to_Ladder_Idle00"
260  = "Ladder_Damage_Heavy01_to_Ladder_Idle01"
261  = "Ladder_Damage_Light00_to_Ladder_Idle00"
262  = "Ladder_Damage_Light01_to_Ladder_Idle01"
263  = "Ladder_Dead_to_Fall_Ladder"
264  = "Ladder_Down_Loop00_to_Ladder_Down_Loop01"
265  = "Ladder_Down_Loop01_to_Ladder_Idle00"
266  = "Ladder_Fall_End"
267  = "Ladder_Fall_Loop"
268  = "Ladder_Glide_Start_to_Ladder_Glide_During"
269  = "Ladder_Glide_Stop00_to_Ladder_Down_Loop00"
270  = "Ladder_Glide_Stop01_to_Ladder_Down_Loop01"
271  = "Ladder_Idle_Left"
272  = "Ladder_Idle_Left00"
273  = "Ladder_Idle_Left01"
274  = "Ladder_Idle_Left02"
275  = "Ladder_Idle_Left03"
276  = "Ladder_Idle_Left04"
277  = "Ladder_Idle_Left05"
278  = "Ladder_Idle_Left06"
279  = "Ladder_Idle_Left07"
280  = "Ladder_Idle_Left08"
281  = "Ladder_Idle_Left09"
282  = "Ladder_Idle_Right"
283  = "Ladder_Idle_Right00"
284  = "Ladder_Idle_Right01"
285  = "Ladder_Idle_Right02"
286  = "Ladder_Idle_Right03"
287  = "Ladder_Idle_Right04"
288  = "Ladder_Idle_Right05"
289  = "Ladder_Idle_Right06"
290  = "Ladder_Idle_Right07"
291  = "Ladder_Idle_Right08"
292  = "Ladder_Idle_Right09"
293  = "Ladder_Idle_Right10"
294  = "Ladder_Lose_to_Fall_Ladder"
295  = "Ladder_Slide_Idle_Left"
296  = "Ladder_Slide_Idle_Left00"
297  = "Ladder_Slide_Idle_Left01"
298  = "Ladder_Slide_Idle_Right"
299  = "Ladder_Slide_Idle_Right00"
300  = "Ladder_Slide_Idle_Right01"
301  = "Ladder_Start_DonwSide_to_Ladder_Down_Loop00"
302  = "Ladder_Start_UpSide_to_Ladder_Idle00"
303  = "Ladder_Up_Loop00_to_Ladder_Up_Loop01"
304  = "Ladder_Up_Loop01_to_Ladder_Idle00"
305  = "LocoLower to ShotLower"
306  = "LocoLower to ShotLower00"
307  = "LocomotionLower"
308  = "LocomotionLower to GuardLower"
309  = "LocomotionUpper"
310  = "LocomotionUpper to GuardUpper"
311  = "Master"
312  = "MoveLower to IdleGru"
313  = "Out Of Ammo to GunReload"
314  = "Out Of Ammo to GunReloadStart"
315  = "Out Of Ammo to GunReloadStart00"
316  = "Out Of Ammo to GunShot"
317  = "Run"
318  = "Run to DashStart"
319  = "Run to RunEnd"
320  = "Run to Walk"
321  = "Run_mirror"
322  = "Run_mirror00"
323  = "RunEnd to Idle"
324  = "RunEnd to Run"
325  = "RunEnd to Walk"
326  = "ShotLower to LocoLower"
327  = "ShotLower to LocoLower00"
328  = "ShotUpper to LocomotionUpper"
329  = "State00 to LocoLower"
330  = "State00_WC"
331  = "State01"
332  = "State01_WC"
333  = "State02_WC"
334  = "State06 to State10"
335  = "State07 to State10"
336  = "State08 to State10"
337  = "State09 to State10"
338  = "Throw_Dead_to_Throw_Dead_Idle"
339  = "ThrowBeDied"
340  = "ThrowDamage to ThrowDamage00"
341  = "ThrowDamage to ThrowDie"
342  = "ThrowDamage to ThrowDie00"
343  = "ThrowDamage to ThrowPass"
344  = "ThrowDie to ThrowBeDied"
345  = "ThrowDie to ThrowDie00"
346  = "to ChangeWeaponEnd"
347  = "to DamageLv12"
348  = "to DamageLv1200"
349  = "to DamageLv1201"
350  = "to DamageLv1202"
351  = "to DamageLv1203"
352  = "to DamageLv1204"
353  = "to Event101150"
354  = "to Event104030"
355  = "to Event104040"
356  = "to Idle"
357  = "to Idle00"
358  = "to Idle0000"
359  = "to Idle01"
360  = "to Idle02"
361  = "to Idle03"
362  = "to Idle04"
363  = "to IdleBase"
364  = "to IdleGru"
365  = "to IdleUpper"
366  = "to IdleUpper00"
367  = "to Move"
368  = "to MoveUpper"
369  = "to ShotLower"
370  = "to ShotUpper"
371  = "to State00"
372  = "to State0000"
373  = "to State0001"
374  = "to State0002"
375  = "to State0003"
376  = "to State0004"
377  = "to State0005"
378  = "to State0006"
379  = "to State0007"
380  = "to State0008"
381  = "to State0009"
382  = "to State0010"
383  = "to State0011"
384  = "to State01"
385  = "to State0100"
386  = "to State02"
387  = "to State0200"
388  = "to State0201"
389  = "to State03"
390  = "to State0300"
391  = "to State0301"
392  = "to State10"
393  = "to State1000"
394  = "to Throw"
395  = "to ThrowAttack"
396  = "to ThrowPass00"
397  = "to WeaponLower00"
398  = "to WeaponUpper"
399  = "to_Event9000"
400  = "UseItemDrinkLoop to UseItemDrinkEnd"
401  = "UseItemDrinkReady to UseItemDrinkLoop"
402  = "UseMagic SpearReady to UseMagic SpearAction"
403  = "W Event7001"
404  = "W Event7002"
405  = "W Event7003"
406  = "W_a000_000002.hkx"
407  = "W_a000_000111.hkx"
408  = "W_AnimeTest"
409  = "W_Atk Fall State"
410  = "W_Atk LeftHand State"
411  = "W_Atk ModeA State"
412  = "W_Atk ModeB State"
413  = "W_Atk_Power_State"
414  = "W_AtkBoth_GunShot"
415  = "W_AtkBoth_GunShot_Dash"
416  = "W_AtkBoth_GunShot_Out_Of_Ammo"
417  = "W_AtkBoth_GunShot_Rolling"
418  = "W_AtkBoth_GunShot_Step"
419  = "W_AtkBothDash"
420  = "W_AtkBothDashHard"
421  = "W_AtkBothDashL1"
422  = "W_AtkBothDashL2"
423  = "W_AtkBothHard01"
424  = "W_AtkBothHard01_mirror"
425  = "W_AtkBothHard02"
426  = "W_AtkBothHard03"
427  = "W_AtkBothHard04"
428  = "W_AtkBothHardDraw"
429  = "W_AtkBothJump"
430  = "W_AtkBothL1"
431  = "W_AtkBothL2_01"
432  = "W_AtkBothL2_02"
433  = "W_AtkBothL2_03"
434  = "W_AtkBothL2_04"
435  = "W_AtkBothL2_05"
436  = "W_AtkBothLeft_GunShot"
437  = "W_AtkBothLeft_GunShot_Out_Of_Ammo"
438  = "W_AtkBothNormal01"
439  = "W_AtkBothNormal01_mirror"
440  = "W_AtkBothNormal02"
441  = "W_AtkBothNormal03"
442  = "W_AtkBothNormal04"
443  = "W_AtkBothNormal05"
444  = "W_AtkBothNormal06"
445  = "W_AtkBothNormal07"
446  = "W_AtkBothNormal08"
447  = "W_AtkBothNormalDraw"
448  = "W_AtkBothNormalDraw_mirror"
449  = "W_AtkBothPush"
450  = "W_AtkBothRolling"
451  = "W_AtkBothRollingHard"
452  = "W_AtkBothStep"
453  = "W_AtkBothStepHard"
454  = "W_AtkFall_GunShot_End"
455  = "W_AtkFall_GunShot_Loop"
456  = "W_AtkFall_GunShot_Start"
457  = "W_AtkFallEnd"
458  = "W_AtkFallHardEnd"
459  = "W_AtkFallHardLoop"
460  = "W_AtkFallHardStart"
461  = "W_AtkFallLoop"
462  = "W_AtkFallStart"
463  = "W_AtkLeft_GunShot"
464  = "W_AtkLeft_GunShot_Dash"
465  = "W_AtkLeft_GunShot_Out_Of_Ammo"
466  = "W_AtkLeft_GunShot_Rolling"
467  = "W_AtkLeft_GunShot_Step"
468  = "W_AtkLeft_L2Special"
469  = "W_AtkLeft_PowerHardHit01"
470  = "W_AtkLeft_PowerHardHit02"
471  = "W_AtkLeft_PowerLoop01"
472  = "W_AtkLeft_PowerNormalHit01"
473  = "W_AtkLeft_PowerStart01"
474  = "W_AtkLeft_Spray_End"
475  = "W_AtkLeft_Spray_Loop"
476  = "W_AtkLeft_Spray_Start"
477  = "W_AtkLeftHard01"
478  = "W_AtkLeftHard02"
479  = "W_AtkLeftHard03"
480  = "W_AtkLeftNormal01"
481  = "W_AtkLeftNormal02"
482  = "W_AtkLeftNormal03"
483  = "W_AtkPowerHardHit01"
484  = "W_AtkPowerHardHit01_ModeA"
485  = "W_AtkPowerHardHit02"
486  = "W_AtkPowerHardHitB01"
487  = "W_AtkPowerHardHitB02"
488  = "W_AtkPowerLoop01"
489  = "W_AtkPowerLoop01_ModeA"
490  = "W_AtkPowerLoopB01"
491  = "W_AtkPowerNormalHit01"
492  = "W_AtkPowerNormalHit01_ModeA"
493  = "W_AtkPowerNormalHitB01"
494  = "W_AtkPowerStart01"
495  = "W_AtkPowerStart01_mirror"
496  = "W_AtkPowerStart01_ModeA"
497  = "W_AtkPowerStart01_ModeA_mirror"
498  = "W_AtkPowerStartB01"
499  = "W_AtkRightDash"
500  = "W_AtkRightDashHard"
501  = "W_AtkRightHard01"
502  = "W_AtkRightHard01_mirror"
503  = "W_AtkRightHard02"
504  = "W_AtkRightHard03"
505  = "W_AtkRightHard04"
506  = "W_AtkRightHard05"
507  = "W_AtkRightHardDraw"
508  = "W_AtkRightJump"
509  = "W_AtkRightNormal01"
510  = "W_AtkRightNormal01_mirror"
511  = "W_AtkRightNormal02"
512  = "W_AtkRightNormal03"
513  = "W_AtkRightNormal04"
514  = "W_AtkRightNormal05"
515  = "W_AtkRightNormal06"
516  = "W_AtkRightNormalDraw"
517  = "W_AtkRightNormalDraw_mirror"
518  = "W_AtkRightPush"
519  = "W_AtkRightRolling"
520  = "W_AtkRightRollingHard"
521  = "W_AtkRightStep"
522  = "W_AtkRightStepHard"
523  = "W_Attack"
524  = "W_Attack3000"
525  = "W_Attack3001"
526  = "W_Attack3002"
527  = "W_Attack3003"
528  = "W_Attack3004"
529  = "W_Attack3005"
530  = "W_Attack3006"
531  = "W_Attack3007"
532  = "W_Attack3008"
533  = "W_Attack3009"
534  = "W_Attack3010"
535  = "W_Attack3011"
536  = "W_Attack3012"
537  = "W_Attack3013"
538  = "W_Attack3014"
539  = "W_Attack3015"
540  = "W_Attack3016"
541  = "W_Attack3017"
542  = "W_Attack3018"
543  = "W_Attack3019"
544  = "W_Attack3020"
545  = "W_Attack3021"
546  = "W_Attack3022"
547  = "W_Attack3023"
548  = "W_Attack3024"
549  = "W_Attack3025"
550  = "W_Attack3026"
551  = "W_Attack3027"
552  = "W_Attack3028"
553  = "W_Attack3029"
554  = "W_Attack3030"
555  = "W_Attack3031"
556  = "W_Attack3032"
557  = "W_Attack3033"
558  = "W_Attack3034"
559  = "W_Attack3035"
560  = "W_Attack3036"
561  = "W_Attack3037"
562  = "W_Attack3038"
563  = "W_Attack3039"
564  = "W_Attack3050"
565  = "W_Attack3051"
566  = "W_Attack3052"
567  = "W_Attack3053"
568  = "W_Attack3054"
569  = "W_Attack3055"
570  = "W_Attack3056"
571  = "W_Attack3057"
572  = "W_Attack3058"
573  = "W_Attack3059"
574  = "W_Attack3600"
575  = "W_Attack3610"
576  = "W_Attack3611"
577  = "W_Attack3612"
578  = "W_BeDead"
579  = "W_C"
580  = "W_ChangeGimmick"
581  = "W_ChangeGimmick_Left"
582  = "W_ChangeGimmick_Left_mirror"
583  = "W_ChangeGimmick_LeftSide"
584  = "W_ChangeGimmick_LeftSide_mirror"
585  = "W_ChangeGimmick_LeftSide_ModeA"
586  = "W_ChangeGimmick_LeftSide_ModeB"
587  = "W_ChangeGimmick_mirror"
588  = "W_ChangeGimmick_mirror00"
589  = "W_ChangeGimmick_mirror01"
590  = "W_ChangeGimmick_RightSide"
591  = "W_ChangeGimmick_RightSide_mirror"
592  = "W_ChangeGimmick_RightSide_ModeA"
593  = "W_ChangeGimmick_RightSide_ModeB"
594  = "W_ChangeHandEnd"
595  = "W_ChangeHandLower"
596  = "W_ChangeHandStart"
597  = "W_ChangeHandUpper"
598  = "W_ChangeWeapon_Both_Left"
599  = "W_ChangeWeapon_Both_Left_mirror"
600  = "W_ChangeWeapon_Both_Right"
601  = "W_ChangeWeapon_Both_Right_mirror"
602  = "W_ChangeWeaponEnd_Left"
603  = "W_ChangeWeaponEnd_Left_mirror"
604  = "W_ChangeWeaponEnd_Right"
605  = "W_ChangeWeaponEnd_Right_mirror"
606  = "W_ChangeWeaponLower"
607  = "W_ChangeWeaponStart_Left"
608  = "W_ChangeWeaponStart_Left_mirror"
609  = "W_ChangeWeaponStart_Right"
610  = "W_ChangeWeaponStart_Right_mirror"
611  = "W_ChangeWeaponUpper"
612  = "W_CommonMaster"
613  = "W_Damage"
614  = "W_Damage_Bounce00"
615  = "W_Damage_Bounce01"
616  = "W_Damage_Guard_Lv1_HighSp"
617  = "W_Damage_Guard_Lv1_LowSp"
618  = "W_Damage_Guard_Lv1_MiddleSp"
619  = "W_Damage_Guard_Lv2_HighSp"
620  = "W_Damage_Guard_Lv2_LowSp"
621  = "W_Damage_Guard_Lv2_MiddleSp"
622  = "W_Damage_Guard_Lv3_HighSp"
623  = "W_Damage_Guard_Lv3_LowSp"
624  = "W_Damage_Guard_Lv3_MiddleSp"
625  = "W_Damage_Guard_Lv4_HighSp"
626  = "W_Damage_Guard_Lv4_LowSp"
627  = "W_Damage_Guard_Lv4_MiddleSp"
628  = "W_Damage_GuardBreak"
629  = "W_Damage_Lv1_Back"
630  = "W_Damage_Lv1_F_Center"
631  = "W_Damage_Lv1_F_Down"
632  = "W_Damage_Lv1_F_Left"
633  = "W_Damage_Lv1_F_Right"
634  = "W_Damage_Lv1_F_Up"
635  = "W_Damage_Lv1_Left"
636  = "W_Damage_Lv1_Right"
637  = "W_Damage_Lv2_Back"
638  = "W_Damage_Lv2_F_Center"
639  = "W_Damage_Lv2_F_Down"
640  = "W_Damage_Lv2_F_Left"
641  = "W_Damage_Lv2_F_Right"
642  = "W_Damage_Lv2_F_Up"
643  = "W_Damage_Lv2_Left"
644  = "W_Damage_Lv2_Right"
645  = "W_Damage_Lv3_Back"
646  = "W_Damage_Lv3_F_Center"
647  = "W_Damage_Lv3_F_Down"
648  = "W_Damage_Lv3_F_Left"
649  = "W_Damage_Lv3_F_Right"
650  = "W_Damage_Lv3_F_Up"
651  = "W_Damage_Lv3_Left"
652  = "W_Damage_Lv3_Right"
653  = "W_Damage_Lv4"
654  = "W_Damage_Lv5_Back"
655  = "W_Damage_Lv5_Front"
656  = "W_Damage_Lv5_Left"
657  = "W_Damage_Lv5_Right"
658  = "W_Damage_Lv6"
659  = "W_Damage_Lv7"
660  = "W_Damage_Lv8_00"
661  = "W_Damage_Lv8_01"
662  = "W_Damage_Lv8_02"
663  = "W_Damage_Lv9"
664  = "W_Damage_Parry"
665  = "W_Damage_Parry_Back"
666  = "W_Damage_Repelled_Left"
667  = "W_Damage_Repelled_ModeA"
668  = "W_Damage_Repelled_ModeB"
669  = "W_Damage_WeakPoint_Back"
670  = "W_Damage_WeakPoint_Front"
671  = "W_Damage_WeakPoint_Left"
672  = "W_Damage_WeakPoint_Right"
673  = "W_DamageBind"
674  = "W_DamageBlend"
675  = "W_DamageBlend_Ladder_Idle_Left"
676  = "W_DamageBlend_Ladder_Idle_Right"
677  = "W_DamageBlend_Ladder_Normal"
678  = "W_DamageBlend_Lv1_Back"
679  = "W_DamageBlend_Lv1_F_Center"
680  = "W_DamageBlend_Lv1_F_Down"
681  = "W_DamageBlend_Lv1_F_Left"
682  = "W_DamageBlend_Lv1_F_Right"
683  = "W_DamageBlend_Lv1_F_Up"
684  = "W_DamageBlend_Lv1_Left"
685  = "W_DamageBlend_Lv1_Right"
686  = "W_DamageBlend_Lv2_Back"
687  = "W_DamageBlend_Lv2_F_Center"
688  = "W_DamageBlend_Lv2_F_Down"
689  = "W_DamageBlend_Lv2_F_Left"
690  = "W_DamageBlend_Lv2_F_Right"
691  = "W_DamageBlend_Lv2_F_Up"
692  = "W_DamageBlend_Lv2_Left"
693  = "W_DamageBlend_Lv2_Right"
694  = "W_DamageBlend_Lv3_Back"
695  = "W_DamageBlend_Lv3_F_Center"
696  = "W_DamageBlend_Lv3_F_Down"
697  = "W_DamageBlend_Lv3_F_Left"
698  = "W_DamageBlend_Lv3_F_Right"
699  = "W_DamageBlend_Lv3_F_Up"
700  = "W_DamageBlend_Lv3_Left"
701  = "W_DamageBlend_Lv3_Right"
702  = "W_DamageBlend_Normal"
703  = "W_DamageBlend_Parts01"
704  = "W_DamageBlend_Parts02"
705  = "W_DamageBlend_Parts03"
706  = "W_DamageBlend_Parts04"
707  = "W_DamageBlend_Parts05"
708  = "W_DamageBlend_Parts06"
709  = "W_DamageBlend_Parts07"
710  = "W_DamageBlend_Parts08"
711  = "W_DamageBlend_Parts09"
712  = "W_DamageBlend_WholeBody"
713  = "W_DamageBlendNormal"
714  = "W_DamageHeadShot"
715  = "W_DamageLv01"
716  = "W_DamageLv01_mirror"
717  = "W_DamageLv02"
718  = "W_DamageLv03"
719  = "W_DamageLv04"
720  = "W_DamageLv05"
721  = "W_DamageLv06"
722  = "W_DamageLv07"
723  = "W_DamageLv08"
724  = "W_DamageLv09"
725  = "W_DamageLv10"
726  = "W_DamageLv11"
727  = "W_DamageRepelledLv01"
728  = "W_DamageThrow"
729  = "W_DamageThrow_mirror"
730  = "W_Dash"
731  = "W_Dash_mirror"
732  = "W_DashEnd"
733  = "W_DashEnd_mirror"
734  = "W_DashStart"
735  = "W_DashStart_mirror"
736  = "W_Dead"
737  = "W_Dead_Blast"
738  = "W_Dead_Blast_Idle"
739  = "W_Dead_Burned00"
740  = "W_Dead_Burned00_Idle"
741  = "W_Dead_Burned01"
742  = "W_Dead_Burned01_Idle"
743  = "W_Dead_Down"
744  = "W_Dead_Down_Idle"
745  = "W_Dead_Fall_Facedown"
746  = "W_Dead_Fall_Facedown_Idle"
747  = "W_Dead_Fall_Faceup"
748  = "W_Dead_Fall_Faceup_Idle"
749  = "W_Dead_Fall_Ladder"
750  = "W_Dead_Fall_Ladder_Idle"
751  = "W_Dead_Jump"
752  = "W_Dead_Jump_Idle"
753  = "W_Dead_Normal00"
754  = "W_Dead_Normal00_Idle"
755  = "W_Dead_Normal01"
756  = "W_Dead_Normal01_Idle"
757  = "W_Dead_WeakPoint"
758  = "W_Debug"
759  = "W_Defense"
760  = "W_DefenseBreakLv01"
761  = "W_DefenseBreakLv02"
762  = "W_DefenseBreakLv03"
763  = "W_DefenseBreakLv04"
764  = "W_DefenseLv01"
765  = "W_DefenseLv02"
766  = "W_DefenseLv03"
767  = "W_DefenseLv04"
